paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
70603_C3EM00043E,70603_C3EM00043E_Total_samples,SumPCB_ngg,0.67,Unknown,table_p5_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70603_C3EM00043E,70603_C3EM00043E_FS,SumPCB_ngg,90.655,Unknown,table_p5_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
70603_C3EM00043E,70603_C3EM00043E_Total_samples,SumPCB_ngg,0.69,Unknown,table_p5_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70603_C3EM00043E,70603_C3EM00043E_FS,SumPCB_ngg,95.725,Unknown,table_p5_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
70603_C3EM00043E,70603_C3EM00043E_Total_samples,SumPCB_ngg,0.92,Unknown,table_p5_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70603_C3EM00043E,70603_C3EM00043E_FS,SumPCB_ngg,58.510000000000005,Unknown,table_p5_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
70603_C3EM00043E,70603_C3EM00043E_Total_samples,SumPCB_ngg,1.19,Unknown,table_p5_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70603_C3EM00043E,70603_C3EM00043E_FS,SumPCB_ngg,62.49,Unknown,table_p5_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
70603_C3EM00043E,70603_C3EM00043E_Total_samples,SumPCB_ngg,1.34,Unknown,table_p5_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70603_C3EM00043E,70603_C3EM00043E_FS,SumPCB_ngg,65.87,Unknown,table_p5_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
70603_C3EM00043E,70603_C3EM00043E_Total_samples,SumPCB_ngg,0.85,Unknown,table_p5_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
