paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
70621_02757540.2010.504664,70621_02757540.2010.504664_Max.,SumHCH_ngg,2.1,Unknown,table_p7_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70621_02757540.2010.504664,70621_02757540.2010.504664_Max.,SumHCH_ngg,1.2,Unknown,table_p7_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70621_02757540.2010.504664,70621_02757540.2010.504664_Max.,OC_pct,3.1,Unknown,table_p7_ri14_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70621_02757540.2010.504664,70621_02757540.2010.504664_Max.,pH,8.3,Unknown,table_p7_ri15_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70621_02757540.2010.504664,70621_02757540.2010.504664_α-HCH,SumHCH_ngg,1.0,Unknown,table_p12_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70621_02757540.2010.504664,70621_02757540.2010.504664_β-HCH,SumHCH_ngg,1.0,Unknown,table_p12_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70621_02757540.2010.504664,70621_02757540.2010.504664_β-HCH,SumHCH_ngg,0.191,Unknown,table_p12_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70621_02757540.2010.504664,70621_02757540.2010.504664_y-HCH,SumHCH_ngg,1.0,Unknown,table_p12_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70621_02757540.2010.504664,70621_02757540.2010.504664_β-HCH,SumHCH_ngg,0.306,Unknown,table_p12_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70621_02757540.2010.504664,70621_02757540.2010.504664_8-HCH,SumHCH_ngg,1.0,Unknown,table_p12_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70621_02757540.2010.504664,70621_02757540.2010.504664_α-HCH,OC_pct,0.302,Unknown,table_p12_ri11_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70621_02757540.2010.504664,70621_02757540.2010.504664_β-HCH,OC_pct,0.264,Unknown,table_p12_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70621_02757540.2010.504664,70621_02757540.2010.504664_y-HCH,OC_pct,0.171,Unknown,table_p12_ri11_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70621_02757540.2010.504664,70621_02757540.2010.504664_8-HCH,OC_pct,0.338,Unknown,table_p12_ri11_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
