paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
70626_09603123.2011.634392,70626_09603123.2011.634392_PC1,Nap_ngg,0.047,Unknown,table_p10_ri1_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
70626_09603123.2011.634392,70626_09603123.2011.634392_PC2,Nap_ngg,0.68,Unknown,table_p10_ri1_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
70626_09603123.2011.634392,70626_09603123.2011.634392_PC1,Flu_ngg,0.336,Unknown,table_p10_ri3_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
70626_09603123.2011.634392,70626_09603123.2011.634392_PC2,Flu_ngg,0.843,Unknown,table_p10_ri3_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
70626_09603123.2011.634392,70626_09603123.2011.634392_PC1,Ant_ngg,0.963,Unknown,table_p10_ri6_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
70626_09603123.2011.634392,70626_09603123.2011.634392_PC1,Pyr_ngg,0.963,Unknown,table_p10_ri8_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
70626_09603123.2011.634392,70626_09603123.2011.634392_PC1,BaA_ngg,0.977,Unknown,table_p10_ri9_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
70626_09603123.2011.634392,70626_09603123.2011.634392_PC1,Chr_ngg,0.943,Unknown,table_p10_ri10_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
70626_09603123.2011.634392,70626_09603123.2011.634392_PC1,BbF_ngg,0.987,Unknown,table_p10_ri11_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
70626_09603123.2011.634392,70626_09603123.2011.634392_PC1,BkF_ngg,0.98,Unknown,table_p10_ri12_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
70626_09603123.2011.634392,70626_09603123.2011.634392_PC1,BaP_ngg,0.975,Unknown,table_p10_ri13_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
70626_09603123.2011.634392,70626_09603123.2011.634392_PC1,Ind_ngg,0.973,Unknown,table_p10_ri14_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
70626_09603123.2011.634392,70626_09603123.2011.634392_PC1,BghiP_ngg,0.973,Unknown,table_p10_ri16_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
70626_09603123.2011.634392,70626_09603123.2011.634392_Percentage_(%),Pyr_ngg,100.0,Unknown,table_p10_ri1_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
70626_09603123.2011.634392,70626_09603123.2011.634392_Percentage_(%),BaA_ngg,65.5,Unknown,table_p10_ri2_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
70626_09603123.2011.634392,70626_09603123.2011.634392_Percentage_(%),Chr_ngg,65.5,Unknown,table_p10_ri2_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
