paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
70629_10807039.2010.512238,"70629_10807039.2010.512238_95th_centile_measured_concentration_in_soil_(ng/g,_dw)",SumHCH_ngg,19.6,Unknown,table_p7_ri1_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
70629_10807039.2010.512238,"70629_10807039.2010.512238_95th_centile_measured_concentration_in_soil_(ng/g,_dw)",SumHCH_ngg,27.94,Unknown,table_p7_ri2_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
70629_10807039.2010.512238,70629_10807039.2010.512238_Frequency_of_detection,SumHCH_ngg,76.2,Unknown,table_p7_ri2_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
70629_10807039.2010.512238,70629_10807039.2010.512238_50th_centile_measured_concentration_in,SumHCH_ngg,27.88,Unknown,table_p7_ri3_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
70629_10807039.2010.512238,"70629_10807039.2010.512238_95th_centile_measured_concentration_in_soil_(ng/g,_dw)",SumHCH_ngg,1035.52,Unknown,table_p7_ri3_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
70629_10807039.2010.512238,70629_10807039.2010.512238_Frequency_of_detection,SumHCH_ngg,97.1,Unknown,table_p7_ri3_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
70629_10807039.2010.512238,70629_10807039.2010.512238_50th_centile_measured_concentration_in,SumHCH_ngg,0.0,Unknown,table_p7_ri4_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
70629_10807039.2010.512238,"70629_10807039.2010.512238_95th_centile_measured_concentration_in_soil_(ng/g,_dw)",SumHCH_ngg,3.51,Unknown,table_p7_ri4_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
70629_10807039.2010.512238,70629_10807039.2010.512238_Frequency_of_detection,SumHCH_ngg,13.3,Unknown,table_p7_ri4_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
70629_10807039.2010.512238,70629_10807039.2010.512238_50th_centile_measured_concentration_in,Nap_ngg,127.34,Unknown,table_p7_ri9_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
70629_10807039.2010.512238,"70629_10807039.2010.512238_95th_centile_measured_concentration_in_soil_(ng/g,_dw)",Nap_ngg,445.28,Unknown,table_p7_ri9_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
70629_10807039.2010.512238,70629_10807039.2010.512238_Frequency_of_detection,Nap_ngg,89.4,Unknown,table_p7_ri9_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
70629_10807039.2010.512238,70629_10807039.2010.512238_50th_centile_measured_concentration_in,Acy_ngg,0.0,Unknown,table_p7_ri10_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
70629_10807039.2010.512238,"70629_10807039.2010.512238_95th_centile_measured_concentration_in_soil_(ng/g,_dw)",Acy_ngg,0.0,Unknown,table_p7_ri10_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
70629_10807039.2010.512238,70629_10807039.2010.512238_Frequency_of_detection,Acy_ngg,0.0,Unknown,table_p7_ri10_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
70629_10807039.2010.512238,70629_10807039.2010.512238_50th_centile_measured_concentration_in,Ace_ngg,0.0,Unknown,table_p7_ri11_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
70629_10807039.2010.512238,"70629_10807039.2010.512238_95th_centile_measured_concentration_in_soil_(ng/g,_dw)",Ace_ngg,23.07,Unknown,table_p7_ri11_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
70629_10807039.2010.512238,70629_10807039.2010.512238_Frequency_of_detection,Ace_ngg,9.6,Unknown,table_p7_ri11_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
70629_10807039.2010.512238,70629_10807039.2010.512238_50th_centile_measured_concentration_in,Flu_ngg,16.75,Unknown,table_p7_ri12_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
70629_10807039.2010.512238,"70629_10807039.2010.512238_95th_centile_measured_concentration_in_soil_(ng/g,_dw)",Flu_ngg,64.19,Unknown,table_p7_ri12_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
70629_10807039.2010.512238,70629_10807039.2010.512238_Frequency_of_detection,Flu_ngg,89.4,Unknown,table_p7_ri12_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
70629_10807039.2010.512238,70629_10807039.2010.512238_50th_centile_measured_concentration_in,Phe_ngg,49.05,Unknown,table_p7_ri13_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
70629_10807039.2010.512238,"70629_10807039.2010.512238_95th_centile_measured_concentration_in_soil_(ng/g,_dw)",Phe_ngg,205.57,Unknown,table_p7_ri13_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
70629_10807039.2010.512238,70629_10807039.2010.512238_Frequency_of_detection,Phe_ngg,95.2,Unknown,table_p7_ri13_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
70629_10807039.2010.512238,70629_10807039.2010.512238_50th_centile_measured_concentration_in,Ant_ngg,21.54,Unknown,table_p7_ri14_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
70629_10807039.2010.512238,"70629_10807039.2010.512238_95th_centile_measured_concentration_in_soil_(ng/g,_dw)",Ant_ngg,161.62,Unknown,table_p7_ri14_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
70629_10807039.2010.512238,70629_10807039.2010.512238_Frequency_of_detection,Ant_ngg,80.8,Unknown,table_p7_ri14_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
