paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
70638_10807039.2015.1107715,70638_10807039.2015.1107715_$\mathsf_{_L_O_D_s_}_(_\mathsf_{_n_g_}_\cdot_\mathsf_{_g_}_^_{_-_1_}_)$,SumHCH_ngg,0.076,Unknown,table_p4_ri5_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_Recovery_(%),SumHCH_ngg,85.32,Unknown,table_p4_ri5_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_RSD_(%),SumHCH_ngg,6.45,Unknown,table_p4_ri5_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_$\mathsf_{_L_O_D_s_}_(_\mathsf_{_n_g_}_\cdot_\mathsf_{_g_}_^_{_-_1_}_)$,SumHCH_ngg,0.088,Unknown,table_p4_ri5_ci5,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_Recovery_(%),SumHCH_ngg,79.33,Unknown,table_p4_ri5_ci6,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_RSD_(%),SumHCH_ngg,7.98,Unknown,table_p4_ri5_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_$\mathsf_{_L_O_D_s_}_(_\mathsf_{_n_g_}_\cdot_\mathsf_{_g_}_^_{_-_1_}_)$,SumHCH_ngg,0.182,Unknown,table_p4_ri6_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_Recovery_(%),SumHCH_ngg,92.0,Unknown,table_p4_ri6_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_RSD_(%),SumHCH_ngg,8.18,Unknown,table_p4_ri6_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_$\mathsf_{_L_O_D_s_}_(_\mathsf_{_n_g_}_\cdot_\mathsf_{_g_}_^_{_-_1_}_)$,SumHCH_ngg,0.114,Unknown,table_p4_ri6_ci5,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_Recovery_(%),SumHCH_ngg,77.67,Unknown,table_p4_ri6_ci6,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_RSD_(%),SumHCH_ngg,8.06,Unknown,table_p4_ri6_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_$\mathsf_{_L_O_D_s_}_(_\mathsf_{_n_g_}_\cdot_\mathsf_{_g_}_^_{_-_1_}_)$,SumHCH_ngg,0.09,Unknown,table_p4_ri7_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_Recovery_(%),SumHCH_ngg,87.78,Unknown,table_p4_ri7_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_RSD_(%),SumHCH_ngg,12.02,Unknown,table_p4_ri7_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_Minimum,SumDDT_ngg,3.16,Unknown,table_p5_ri6_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_Maximum,SumDDT_ngg,48.35,Unknown,table_p5_ri6_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_CV_(%),SumDDT_ngg,76.59,Unknown,table_p5_ri6_ci6,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_RV,SumDDT_ngg,2.5,Unknown,table_p5_ri6_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_Detection_frequencies_(%),SumHCH_ngg,100.0,Unknown,table_p5_ri7_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_Minimum,SumHCH_ngg,0.24,Unknown,table_p5_ri7_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_Maximum,SumHCH_ngg,3.83,Unknown,table_p5_ri7_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_CV_(%),SumHCH_ngg,61.23,Unknown,table_p5_ri7_ci6,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_RV,SumHCH_ngg,2.5,Unknown,table_p5_ri7_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
