paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
70648_10807039.2017.1373249,70648_10807039.2017.1373249_China,Sum_PAH_ngg,16.0,Unknown,table_p42_ri1_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
70648_10807039.2017.1373249,70648_10807039.2017.1373249_China,Sum_PAH_ngg,15.0,Unknown,table_p42_ri2_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
70648_10807039.2017.1373249,70648_10807039.2017.1373249_China,Sum_PAH_ngg,16.0,Unknown,table_p42_ri3_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
70648_10807039.2017.1373249,70648_10807039.2017.1373249_China,Sum_PAH_ngg,16.0,Unknown,table_p42_ri4_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
70648_10807039.2017.1373249,70648_10807039.2017.1373249_China,Sum_PAH_ngg,16.0,Unknown,table_p42_ri5_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
70648_10807039.2017.1373249,70648_10807039.2017.1373249_China,Sum_PAH_ngg,17.0,Unknown,table_p42_ri6_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
70648_10807039.2017.1373249,70648_10807039.2017.1373249_China,Sum_PAH_ngg,16.0,Unknown,table_p42_ri7_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
70648_10807039.2017.1373249,70648_10807039.2017.1373249_China,Sum_PAH_ngg,16.0,Unknown,table_p42_ri8_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
70648_10807039.2017.1373249,70648_10807039.2017.1373249_China,Sum_PAH_ngg,16.0,Unknown,table_p42_ri9_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
70648_10807039.2017.1373249,70648_10807039.2017.1373249_China,Sum_PAH_ngg,16.0,Unknown,table_p42_ri10_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
70648_10807039.2017.1373249,70648_10807039.2017.1373249_China,Sum_PAH_ngg,16.0,Unknown,table_p42_ri11_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
70648_10807039.2017.1373249,70648_10807039.2017.1373249_China,Sum_PAH_ngg,16.0,Unknown,table_p42_ri12_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
70648_10807039.2017.1373249,70648_10807039.2017.1373249_China,Sum_PAH_ngg,16.0,Unknown,table_p42_ri13_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
70648_10807039.2017.1373249,70648_10807039.2017.1373249_China,Sum_PAH_ngg,16.0,Unknown,table_p42_ri14_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
70648_10807039.2017.1373249,70648_10807039.2017.1373249_China,Sum_PAH_ngg,16.0,Unknown,table_p42_ri15_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
70648_10807039.2017.1373249,70648_10807039.2017.1373249_China,Sum_PAH_ngg,25.0,Unknown,table_p44_ri1_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
70648_10807039.2017.1373249,70648_10807039.2017.1373249_China,Sum_PAH_ngg,16.0,Unknown,table_p44_ri2_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
70648_10807039.2017.1373249,70648_10807039.2017.1373249_China,Sum_PAH_ngg,16.0,Unknown,table_p44_ri3_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
70648_10807039.2017.1373249,70648_10807039.2017.1373249_China,Sum_PAH_ngg,16.0,Unknown,table_p44_ri4_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
70648_10807039.2017.1373249,70648_10807039.2017.1373249_China,Sum_PAH_ngg,16.0,Unknown,table_p44_ri5_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
70648_10807039.2017.1373249,70648_10807039.2017.1373249_China,Sum_PAH_ngg,16.0,Unknown,table_p44_ri6_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
70648_10807039.2017.1373249,70648_10807039.2017.1373249_China,Sum_PAH_ngg,16.0,Unknown,table_p44_ri7_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
70648_10807039.2017.1373249,70648_10807039.2017.1373249_China,Sum_PAH_ngg,16.0,Unknown,table_p44_ri8_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
70648_10807039.2017.1373249,70648_10807039.2017.1373249_China,Sum_PAH_ngg,16.0,Unknown,table_p44_ri9_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
70648_10807039.2017.1373249,70648_10807039.2017.1373249_China,Sum_PAH_ngg,16.0,Unknown,table_p44_ri10_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
70648_10807039.2017.1373249,70648_10807039.2017.1373249_Korea,Sum_PAH_ngg,16.0,Unknown,table_p44_ri11_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
70648_10807039.2017.1373249,70648_10807039.2017.1373249_Vietnam,Sum_PAH_ngg,24.0,Unknown,table_p44_ri12_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
70648_10807039.2017.1373249,70648_10807039.2017.1373249_Japan,Sum_PAH_ngg,12.0,Unknown,table_p44_ri13_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
70648_10807039.2017.1373249,70648_10807039.2017.1373249_Iran,Sum_PAH_ngg,13.0,Unknown,table_p44_ri14_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
