paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_Standard_concentration,SumHCH_ngg,10.0,Unknown,table_p2_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_RSD,SumHCH_ngg,3.33,Unknown,table_p2_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_R,SumHCH_ngg,92.81,Unknown,table_p2_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_MDL,SumHCH_ngg,0.1,Unknown,table_p2_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_Standard_concentration,SumHCH_ngg,10.0,Unknown,table_p2_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_RSD,SumHCH_ngg,4.0,Unknown,table_p2_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_R,SumHCH_ngg,95.83,Unknown,table_p2_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_MDL,SumHCH_ngg,0.12,Unknown,table_p2_ri3_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_Standard_concentration,SumHCH_ngg,10.0,Unknown,table_p2_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_RSD,SumHCH_ngg,0.63,Unknown,table_p2_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_R,SumHCH_ngg,89.5,Unknown,table_p2_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_MDL,SumHCH_ngg,0.02,Unknown,table_p2_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_Standard_concentration,SumHCH_ngg,10.0,Unknown,table_p2_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_RSD,SumHCH_ngg,1.5,Unknown,table_p2_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_R,SumHCH_ngg,89.41,Unknown,table_p2_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_MDL,SumHCH_ngg,0.05,Unknown,table_p2_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_Standard_concentration,SumDDT_ngg,10.0,Unknown,table_p2_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_RSD,SumDDT_ngg,1.8,Unknown,table_p2_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_R,SumDDT_ngg,96.53,Unknown,table_p2_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_MDL,SumDDT_ngg,0.05,Unknown,table_p2_ri8_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_Standard_concentration,SumDDT_ngg,10.0,Unknown,table_p2_ri11_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_RSD,SumDDT_ngg,3.37,Unknown,table_p2_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_R,SumDDT_ngg,99.5,Unknown,table_p2_ri11_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_MDL,SumDDT_ngg,0.1,Unknown,table_p2_ri11_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_Detection_rate,SumHCH_ngg,23.4,Unknown,table_p3_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_Percent,SumHCH_ngg,8.33,Unknown,table_p3_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_Detection_rate,SumHCH_ngg,97.9,Unknown,table_p3_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_Percent,SumHCH_ngg,8.33,Unknown,table_p3_ri3_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_Detection_rate,SumHCH_ngg,95.8,Unknown,table_p3_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_Percent,SumHCH_ngg,1.19,Unknown,table_p3_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_Detection_rate,SumHCH_ngg,30.2,Unknown,table_p3_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_Percent,SumHCH_ngg,2.98,Unknown,table_p3_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_Range‡,SumDDT_ngg,0.63,Unknown,table_p3_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_Detection_rate,SumDDT_ngg,72.91,Unknown,table_p3_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_Percent,SumDDT_ngg,4.17,Unknown,table_p3_ri8_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_Detection_rate,SumDDT_ngg,37.5,Unknown,table_p3_ri11_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_Percent,SumDDT_ngg,9.52,Unknown,table_p3_ri11_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_Range‡,SumHCH_ngg,0.8,Unknown,table_p3_ri25_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_Detection_rate,SumHCH_ngg,58.63,Unknown,table_p3_ri25_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_Percent,SumHCH_ngg,20.83,Unknown,table_p3_ri25_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_Range‡,SumOCP_ngg,5.25,Unknown,table_p3_ri27_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_Range‡,OC_pct,5.25,Unknown,table_p3_ri27_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_Detection_rate,SumOCP_ngg,71.45,Unknown,table_p3_ri27_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_Percent,SumOCP_ngg,100.0,Unknown,table_p3_ri27_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
