paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72157_s11270-012-1265-7,72157_s11270-012-1265-7_PRG,Ace_ngg,3700.0,Unknown,table_p2_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_PRG,Ant_ngg,22000.0,Unknown,table_p2_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_PRG,Ant_ngg,0.62,Unknown,table_p2_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_TEF,Ant_ngg,0.1,Unknown,table_p2_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_PRG,Pyr_ngg,0.062,Unknown,table_p2_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_TEF,Pyr_ngg,1.0,Unknown,table_p2_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_PRG,Flt_ngg,0.62,Unknown,table_p2_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_TEF,Flt_ngg,0.1,Unknown,table_p2_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_PRG,Flt_ngg,6.2,Unknown,table_p2_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_TEF,Flt_ngg,0.01,Unknown,table_p2_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_PRG,Chr_ngg,62.0,Unknown,table_p2_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_TEF,Chr_ngg,0.001,Unknown,table_p2_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_PRG,Ant_ngg,0.062,Unknown,table_p2_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_PRG,DahA_ngg,0.062,Unknown,table_p2_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_TEF,Ant_ngg,1.0,Unknown,table_p2_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_TEF,DahA_ngg,1.0,Unknown,table_p2_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_PRG,Flt_ngg,2.3,Unknown,table_p2_ri11_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
