paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72176_j.geoderma.2009.07.016,72176_j.geoderma.2009.07.016_Retention_time/min,SumHCH_ngg,14.37,Unknown,table_p2_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72176_j.geoderma.2009.07.016,72176_j.geoderma.2009.07.016_Correlation__$\mathsf_{_c_o_e_f_f_i_c_i_e_n_t_s_}_\left(_r_\right)$,SumHCH_ngg,0.9991,Unknown,table_p2_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72176_j.geoderma.2009.07.016,72176_j.geoderma.2009.07.016_Recovery_%,SumHCH_ngg,86.0,Unknown,table_p2_ri1_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72176_j.geoderma.2009.07.016,72176_j.geoderma.2009.07.016_RSD_%,SumHCH_ngg,1.0,Unknown,table_p2_ri1_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72176_j.geoderma.2009.07.016,72176_j.geoderma.2009.07.016_MDL__$\|_\mathbf_{_g_}_/_\mathrm_{_k_g_}_\mathrm_{_d_}_._\mathsf_{_w_}_.$,SumHCH_ngg,0.1,Unknown,table_p2_ri1_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72176_j.geoderma.2009.07.016,72176_j.geoderma.2009.07.016_Retention_time/min,SumHCH_ngg,14.88,Unknown,table_p2_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72176_j.geoderma.2009.07.016,72176_j.geoderma.2009.07.016_Correlation__$\mathsf_{_c_o_e_f_f_i_c_i_e_n_t_s_}_\left(_r_\right)$,SumHCH_ngg,0.9981,Unknown,table_p2_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72176_j.geoderma.2009.07.016,72176_j.geoderma.2009.07.016_Recovery_%,SumHCH_ngg,78.0,Unknown,table_p2_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72176_j.geoderma.2009.07.016,72176_j.geoderma.2009.07.016_RSD_%,SumHCH_ngg,1.9,Unknown,table_p2_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72176_j.geoderma.2009.07.016,72176_j.geoderma.2009.07.016_MDL__$\|_\mathbf_{_g_}_/_\mathrm_{_k_g_}_\mathrm_{_d_}_._\mathsf_{_w_}_.$,SumHCH_ngg,0.05,Unknown,table_p2_ri2_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72176_j.geoderma.2009.07.016,72176_j.geoderma.2009.07.016_Retention_time/min,SumHCH_ngg,15.1,Unknown,table_p2_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72176_j.geoderma.2009.07.016,72176_j.geoderma.2009.07.016_Correlation__$\mathsf_{_c_o_e_f_f_i_c_i_e_n_t_s_}_\left(_r_\right)$,SumHCH_ngg,0.9988,Unknown,table_p2_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72176_j.geoderma.2009.07.016,72176_j.geoderma.2009.07.016_Recovery_%,SumHCH_ngg,80.0,Unknown,table_p2_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72176_j.geoderma.2009.07.016,72176_j.geoderma.2009.07.016_RSD_%,SumHCH_ngg,0.7,Unknown,table_p2_ri3_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72176_j.geoderma.2009.07.016,72176_j.geoderma.2009.07.016_MDL__$\|_\mathbf_{_g_}_/_\mathrm_{_k_g_}_\mathrm_{_d_}_._\mathsf_{_w_}_.$,SumHCH_ngg,0.05,Unknown,table_p2_ri3_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72176_j.geoderma.2009.07.016,72176_j.geoderma.2009.07.016_Retention_time/min,SumHCH_ngg,15.57,Unknown,table_p2_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72176_j.geoderma.2009.07.016,72176_j.geoderma.2009.07.016_Correlation__$\mathsf_{_c_o_e_f_f_i_c_i_e_n_t_s_}_\left(_r_\right)$,SumHCH_ngg,0.9987,Unknown,table_p2_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72176_j.geoderma.2009.07.016,72176_j.geoderma.2009.07.016_Recovery_%,SumHCH_ngg,98.0,Unknown,table_p2_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72176_j.geoderma.2009.07.016,72176_j.geoderma.2009.07.016_RSD_%,SumHCH_ngg,0.6,Unknown,table_p2_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72176_j.geoderma.2009.07.016,72176_j.geoderma.2009.07.016_MDL__$\|_\mathbf_{_g_}_/_\mathrm_{_k_g_}_\mathrm_{_d_}_._\mathsf_{_w_}_.$,SumHCH_ngg,0.05,Unknown,table_p2_ri4_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
