paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72193_s10661-014-4159-x,72193_s10661-014-4159-x_Depths_of_soil_(cm),SumHCH_ngg,0.1,Unknown,table_p2_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_75-80_80-85,SumHCH_ngg,0.17,Unknown,table_p2_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_85-90,SumHCH_ngg,0.19,Unknown,table_p2_ri2_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_Depths_of_soil_(cm),SumHCH_ngg,0.18,Unknown,table_p2_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_75-80_80-85,SumHCH_ngg,1.71,Unknown,table_p2_ri3_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_85-90,SumHCH_ngg,0.4,Unknown,table_p2_ri3_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_Depths_of_soil_(cm),SumHCH_ngg,0.06,Unknown,table_p2_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_75-80_80-85,SumHCH_ngg,0.08,Unknown,table_p2_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_85-90,SumHCH_ngg,0.08,Unknown,table_p2_ri4_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_Depths_of_soil_(cm),SumHCH_ngg,0.12,Unknown,table_p2_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_75-80_80-85,SumHCH_ngg,0.3,Unknown,table_p2_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_85-90,SumHCH_ngg,0.11,Unknown,table_p2_ri5_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_Depths_of_soil_(cm),SumDDT_ngg,1.05,Unknown,table_p2_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_75-80_80-85,SumDDT_ngg,1.36,Unknown,table_p2_ri8_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_85-90,SumDDT_ngg,1.47,Unknown,table_p2_ri8_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_Depths_of_soil_(cm),SumDDT_ngg,2.19,Unknown,table_p2_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_75-80_80-85,SumDDT_ngg,3.15,Unknown,table_p2_ri9_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_85-90,SumDDT_ngg,3.88,Unknown,table_p2_ri9_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_Depths_of_soil_(cm),SumHCH_ngg,0.45,Unknown,table_p2_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_75-80_80-85,SumHCH_ngg,2.25,Unknown,table_p2_ri10_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_85-90,SumHCH_ngg,0.78,Unknown,table_p2_ri10_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_Depths_of_soil_(cm),SumDDT_ngg,5.75,Unknown,table_p2_ri11_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_75-80_80-85,SumDDT_ngg,7.81,Unknown,table_p2_ri11_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_85-90,SumDDT_ngg,7.97,Unknown,table_p2_ri11_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_Depths_of_soil_(cm),SumOCP_ngg,6.2,Unknown,table_p2_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_Depths_of_soil_(cm),OC_pct,6.2,Unknown,table_p2_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_75-80_80-85,SumOCP_ngg,10.06,Unknown,table_p2_ri12_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_75-80_80-85,OC_pct,10.06,Unknown,table_p2_ri12_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_85-90,SumOCP_ngg,8.75,Unknown,table_p2_ri12_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_85-90,OC_pct,8.75,Unknown,table_p2_ri12_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_Depths_of_soil_(cm),SumDDT_ngg,1.03,Unknown,table_p2_ri13_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_75-80_80-85,SumDDT_ngg,1.14,Unknown,table_p2_ri13_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_85-90,SumDDT_ngg,1.83,Unknown,table_p2_ri13_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_Depths_of_soil_(cm),SumHCH_ngg,1.61,Unknown,table_p2_ri14_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_75-80_80-85,SumHCH_ngg,2.03,Unknown,table_p2_ri14_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
