paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72229_s00248-015-0572-0,72229_s00248-015-0572-0_DQ,TotalPHC_mgkg,44940.0,Unknown,table_p2_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72229_s00248-015-0572-0,72229_s00248-015-0572-0_DQ(BLK),TotalPHC_mgkg,0.0,Unknown,table_p2_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72229_s00248-015-0572-0,72229_s00248-015-0572-0_HB,TotalPHC_mgkg,183760.0,Unknown,table_p2_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72229_s00248-015-0572-0,72229_s00248-015-0572-0_HB(BLK),TotalPHC_mgkg,0.0,Unknown,table_p2_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72229_s00248-015-0572-0,72229_s00248-015-0572-0_SL,TotalPHC_mgkg,25560.0,Unknown,table_p2_ri4_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72229_s00248-015-0572-0,72229_s00248-015-0572-0_SL(BLK),TotalPHC_mgkg,0.0,Unknown,table_p2_ri4_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72229_s00248-015-0572-0,72229_s00248-015-0572-0_XJ,TotalPHC_mgkg,43350.0,Unknown,table_p2_ri4_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72229_s00248-015-0572-0,72229_s00248-015-0572-0_XJ(BLK),TotalPHC_mgkg,0.0,Unknown,table_p2_ri4_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72229_s00248-015-0572-0,72229_s00248-015-0572-0_DQ,pH,8.53,Unknown,table_p2_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72229_s00248-015-0572-0,72229_s00248-015-0572-0_DQ(BLK),pH,8.32,Unknown,table_p2_ri12_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72229_s00248-015-0572-0,72229_s00248-015-0572-0_HB,pH,8.22,Unknown,table_p2_ri12_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72229_s00248-015-0572-0,72229_s00248-015-0572-0_HB(BLK),pH,8.73,Unknown,table_p2_ri12_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72229_s00248-015-0572-0,72229_s00248-015-0572-0_SL,pH,8.25,Unknown,table_p2_ri12_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72229_s00248-015-0572-0,72229_s00248-015-0572-0_SL(BLK),pH,7.69,Unknown,table_p2_ri12_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72229_s00248-015-0572-0,72229_s00248-015-0572-0_XJ,pH,7.91,Unknown,table_p2_ri12_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72229_s00248-015-0572-0,72229_s00248-015-0572-0_XJ(BLK),pH,8.03,Unknown,table_p2_ri12_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
