paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72238_s00128-010-0048-3,72238_s00128-010-0048-3_R.T._(min),Chr_ngg,21.43,Unknown,table_p1_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72238_s00128-010-0048-3,72238_s00128-010-0048-3_T.ion,Chr_ngg,240.0,Unknown,table_p1_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72238_s00128-010-0048-3,72238_s00128-010-0048-3_R.T._(min),SumHCH_ngg,11.16,Unknown,table_p1_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72238_s00128-010-0048-3,72238_s00128-010-0048-3_T.ion,SumHCH_ngg,219.0,Unknown,table_p1_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72238_s00128-010-0048-3,72238_s00128-010-0048-3_Q.ions,SumHCH_ngg,181.0,Unknown,table_p1_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72238_s00128-010-0048-3,72238_s00128-010-0048-3_LOD_(ug/kg),SumHCH_ngg,0.55,Unknown,table_p1_ri2_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72238_s00128-010-0048-3,72238_s00128-010-0048-3_R.T._(min),SumHCH_ngg,11.68,Unknown,table_p1_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72238_s00128-010-0048-3,72238_s00128-010-0048-3_T.ion,SumHCH_ngg,219.0,Unknown,table_p1_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72238_s00128-010-0048-3,72238_s00128-010-0048-3_Q.ions,SumHCH_ngg,181.0,Unknown,table_p1_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72238_s00128-010-0048-3,72238_s00128-010-0048-3_LOD_(ug/kg),SumHCH_ngg,2.65,Unknown,table_p1_ri5_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72238_s00128-010-0048-3,72238_s00128-010-0048-3_R.T._(min),SumHCH_ngg,11.76,Unknown,table_p1_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72238_s00128-010-0048-3,72238_s00128-010-0048-3_T.ion,SumHCH_ngg,219.0,Unknown,table_p1_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72238_s00128-010-0048-3,72238_s00128-010-0048-3_Q.ions,SumHCH_ngg,181.0,Unknown,table_p1_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72238_s00128-010-0048-3,72238_s00128-010-0048-3_LOD_(ug/kg),SumHCH_ngg,0.61,Unknown,table_p1_ri6_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72238_s00128-010-0048-3,72238_s00128-010-0048-3_R.T._(min),SumHCH_ngg,12.28,Unknown,table_p1_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72238_s00128-010-0048-3,72238_s00128-010-0048-3_T.ion,SumHCH_ngg,219.0,Unknown,table_p1_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72238_s00128-010-0048-3,72238_s00128-010-0048-3_Q.ions,SumHCH_ngg,181.0,Unknown,table_p1_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72238_s00128-010-0048-3,72238_s00128-010-0048-3_LOD_(ug/kg),SumHCH_ngg,3.12,Unknown,table_p1_ri8_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72238_s00128-010-0048-3,72238_s00128-010-0048-3_R.T._(min),SumDDT_ngg,19.72,Unknown,table_p1_ri21_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72238_s00128-010-0048-3,72238_s00128-010-0048-3_T.ion,SumDDT_ngg,235.0,Unknown,table_p1_ri21_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72238_s00128-010-0048-3,72238_s00128-010-0048-3_Q.ions,SumDDT_ngg,165.0,Unknown,table_p1_ri21_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72238_s00128-010-0048-3,72238_s00128-010-0048-3_LOD_(ug/kg),SumDDT_ngg,0.63,Unknown,table_p1_ri21_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72238_s00128-010-0048-3,72238_s00128-010-0048-3_Max.,SumHCH_ngg,6.54,Unknown,table_p2_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72238_s00128-010-0048-3,72238_s00128-010-0048-3_Detection_frequency_(%),SumHCH_ngg,3.4,Unknown,table_p2_ri1_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72238_s00128-010-0048-3,72238_s00128-010-0048-3_Max.,SumHCH_ngg,92.74,Unknown,table_p2_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72238_s00128-010-0048-3,72238_s00128-010-0048-3_Detection_frequency_(%),SumHCH_ngg,64.4,Unknown,table_p2_ri4_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72238_s00128-010-0048-3,72238_s00128-010-0048-3_Max.,SumHCH_ngg,71.73,Unknown,table_p2_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72238_s00128-010-0048-3,72238_s00128-010-0048-3_Detection_frequency_(%),SumHCH_ngg,33.3,Unknown,table_p2_ri7_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
