paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72250_10807030500536843,72250_10807030500536843_15-17,SumHCH_ngg,0.885,Unknown,table_p5_ri1_ci1,soil,other,,phase14_auto; confidence=high; flag=range_mean,,
72250_10807030500536843,72250_10807030500536843_15-17,SumHCH_ngg,0.885,Unknown,table_p5_ri1_ci2,soil,other,,phase14_auto; confidence=high; flag=range_mean,,
72250_10807030500536843,72250_10807030500536843_15-17,SumDDT_ngg,2.815,Unknown,table_p5_ri1_ci4,soil,other,,phase14_auto; confidence=high; flag=range_mean,,
72250_10807030500536843,72250_10807030500536843_21-29,SumHCH_ngg,1.2854999999999999,Unknown,table_p5_ri2_ci1,soil,other,,phase14_auto; confidence=high; flag=range_mean,,
72250_10807030500536843,72250_10807030500536843_21-29,SumHCH_ngg,1.2905000000000002,Unknown,table_p5_ri2_ci2,soil,other,,phase14_auto; confidence=high; flag=range_mean,,
72250_10807030500536843,72250_10807030500536843_21-29,SumDDT_ngg,2.8415,Unknown,table_p5_ri2_ci4,soil,other,,phase14_auto; confidence=high; flag=range_mean,,
72250_10807030500536843,72250_10807030500536843_47-52,SumHCH_ngg,0.5845,Unknown,table_p5_ri3_ci1,soil,other,,phase14_auto; confidence=high; flag=range_mean,,
72250_10807030500536843,72250_10807030500536843_47-52,SumHCH_ngg,0.5945,Unknown,table_p5_ri3_ci2,soil,other,,phase14_auto; confidence=high; flag=range_mean,,
72250_10807030500536843,72250_10807030500536843_47-52,SumDDT_ngg,2.624,Unknown,table_p5_ri3_ci4,soil,other,,phase14_auto; confidence=high; flag=range_mean,,
72250_10807030500536843,72250_10807030500536843_82,SumHCH_ngg,2.13,Unknown,table_p5_ri4_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
72250_10807030500536843,72250_10807030500536843_82,SumHCH_ngg,2.14,Unknown,table_p5_ri4_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
72250_10807030500536843,72250_10807030500536843_82,SumDDT_ngg,9.22,Unknown,table_p5_ri4_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
