paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72309_s00128-008-9542-2,72309_s00128-008-9542-2_$\mathrm_{_L_O_D_s_~_(_n_g_~_g_^_{_-_1_}_)_}$,Acy_ngg,1.8,Unknown,table_p2_ri1_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
72309_s00128-008-9542-2,72309_s00128-008-9542-2_$\mathrm_{_L_O_D_s_~_(_n_g_~_g_^_{_-_1_}_)_}$,Ace_ngg,1.8,Unknown,table_p2_ri1_ci3,soil,industrial,,phase14_auto; confidence=high; flag=,,
72309_s00128-008-9542-2,72309_s00128-008-9542-2_$\mathrm_{_L_O_D_s_~_(_n_g_~_g_^_{_-_1_}_)_}$,pH,2.2,Unknown,table_p2_ri1_ci5,soil,industrial,,phase14_auto; confidence=high; flag=,,
72309_s00128-008-9542-2,72309_s00128-008-9542-2_$\mathrm_{_L_O_D_s_~_(_n_g_~_g_^_{_-_1_}_)_}$,Flu_ngg,2.2,Unknown,table_p2_ri1_ci7,soil,industrial,,phase14_auto; confidence=high; flag=,,
72309_s00128-008-9542-2,72309_s00128-008-9542-2_$\mathrm_{_L_O_D_s_~_(_n_g_~_g_^_{_-_1_}_)_}$,Pyr_ngg,2.1,Unknown,table_p2_ri1_ci8,soil,industrial,,phase14_auto; confidence=high; flag=,,
72309_s00128-008-9542-2,72309_s00128-008-9542-2_$\mathsf_{_L_O_Q_s_~_(_n_g_~_g_^_{_-_1_}_)_}$__Recoveries_(%),Acy_ngg,3.091,Unknown,table_p2_ri2_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
72309_s00128-008-9542-2,72309_s00128-008-9542-2_$\mathsf_{_L_O_Q_s_~_(_n_g_~_g_^_{_-_1_}_)_}$__Recoveries_(%),Ace_ngg,3.09,Unknown,table_p2_ri2_ci3,soil,industrial,,phase14_auto; confidence=high; flag=,,
72309_s00128-008-9542-2,72309_s00128-008-9542-2_$\mathsf_{_L_O_Q_s_~_(_n_g_~_g_^_{_-_1_}_)_}$__Recoveries_(%),pH,3.7,Unknown,table_p2_ri2_ci5,soil,industrial,,phase14_auto; confidence=high; flag=,,
72309_s00128-008-9542-2,72309_s00128-008-9542-2_$\mathsf_{_L_O_Q_s_~_(_n_g_~_g_^_{_-_1_}_)_}$__Recoveries_(%),Flu_ngg,3.7,Unknown,table_p2_ri2_ci7,soil,industrial,,phase14_auto; confidence=high; flag=,,
72309_s00128-008-9542-2,72309_s00128-008-9542-2_$\mathsf_{_L_O_Q_s_~_(_n_g_~_g_^_{_-_1_}_)_}$__Recoveries_(%),Pyr_ngg,3.4,Unknown,table_p2_ri2_ci8,soil,industrial,,phase14_auto; confidence=high; flag=,,
72309_s00128-008-9542-2,72309_s00128-008-9542-2_RSD%,Flu_ngg,100.0,Unknown,table_p2_ri3_ci7,soil,industrial,,phase14_auto; confidence=high; flag=,,
72309_s00128-008-9542-2,72309_s00128-008-9542-2_RSD%,Pyr_ngg,101.0,Unknown,table_p2_ri3_ci8,soil,industrial,,phase14_auto; confidence=high; flag=,,
72309_s00128-008-9542-2,72309_s00128-008-9542-2_$\mathrm_{_L_O_D_s_~_(_n_g_~_g_^_{_-_1_}_)_}$,Acy_ngg,1.5,Unknown,table_p2_ri6_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
72309_s00128-008-9542-2,72309_s00128-008-9542-2_$\mathrm_{_L_O_D_s_~_(_n_g_~_g_^_{_-_1_}_)_}$,Ace_ngg,2.1,Unknown,table_p2_ri6_ci3,soil,industrial,,phase14_auto; confidence=high; flag=,,
72309_s00128-008-9542-2,72309_s00128-008-9542-2_$\mathrm_{_L_O_D_s_~_(_n_g_~_g_^_{_-_1_}_)_}$,pH,2.0,Unknown,table_p2_ri6_ci5,soil,industrial,,phase14_auto; confidence=high; flag=,,
72309_s00128-008-9542-2,72309_s00128-008-9542-2_$\mathrm_{_L_O_D_s_~_(_n_g_~_g_^_{_-_1_}_)_}$,Flu_ngg,2.1,Unknown,table_p2_ri6_ci7,soil,industrial,,phase14_auto; confidence=high; flag=,,
72309_s00128-008-9542-2,72309_s00128-008-9542-2_$\mathrm_{_L_O_D_s_~_(_n_g_~_g_^_{_-_1_}_)_}$,Pyr_ngg,1.9,Unknown,table_p2_ri6_ci8,soil,industrial,,phase14_auto; confidence=high; flag=,,
72309_s00128-008-9542-2,72309_s00128-008-9542-2_$\mathsf_{_L_O_Q_s_~_(_n_g_~_g_^_{_-_1_}_)_}$,Acy_ngg,2.5,Unknown,table_p2_ri7_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
72309_s00128-008-9542-2,72309_s00128-008-9542-2_$\mathsf_{_L_O_Q_s_~_(_n_g_~_g_^_{_-_1_}_)_}$,Ace_ngg,3.5,Unknown,table_p2_ri7_ci3,soil,industrial,,phase14_auto; confidence=high; flag=,,
72309_s00128-008-9542-2,72309_s00128-008-9542-2_$\mathsf_{_L_O_Q_s_~_(_n_g_~_g_^_{_-_1_}_)_}$,pH,3.3,Unknown,table_p2_ri7_ci5,soil,industrial,,phase14_auto; confidence=high; flag=,,
72309_s00128-008-9542-2,72309_s00128-008-9542-2_$\mathsf_{_L_O_Q_s_~_(_n_g_~_g_^_{_-_1_}_)_}$,Flu_ngg,3.6,Unknown,table_p2_ri7_ci7,soil,industrial,,phase14_auto; confidence=high; flag=,,
72309_s00128-008-9542-2,72309_s00128-008-9542-2_$\mathsf_{_L_O_Q_s_~_(_n_g_~_g_^_{_-_1_}_)_}$,Pyr_ngg,3.2,Unknown,table_p2_ri7_ci8,soil,industrial,,phase14_auto; confidence=high; flag=,,
