paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72325_journal.pone.0205680,72325_journal.pone.0205680_Raw_Data,SumPAE_ngg,2.07,Unknown,table_p7_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72325_journal.pone.0205680,72325_journal.pone.0205680_Standardization_Data,SumPAE_ngg,2.56,Unknown,table_p7_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72325_journal.pone.0205680,72325_journal.pone.0205680_Normalization_Data,SumPAE_ngg,1.29,Unknown,table_p7_ri10_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72325_journal.pone.0205680,72325_journal.pone.0205680_Raw_Data,SumPAE_ngg,1.47,Unknown,table_p7_ri14_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72325_journal.pone.0205680,72325_journal.pone.0205680_Standardization_Data,SumPAE_ngg,1.25,Unknown,table_p7_ri14_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72325_journal.pone.0205680,72325_journal.pone.0205680_Normalization_Data,SumPAE_ngg,0.82,Unknown,table_p7_ri14_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72325_journal.pone.0205680,72325_journal.pone.0205680_Raw_Data,SumPAE_ngg,1.54,Unknown,table_p7_ri15_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72325_journal.pone.0205680,72325_journal.pone.0205680_Standardization_Data,SumPAE_ngg,2.55,Unknown,table_p7_ri15_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72325_journal.pone.0205680,72325_journal.pone.0205680_Normalization_Data,SumPAE_ngg,0.52,Unknown,table_p7_ri15_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72325_journal.pone.0205680,72325_journal.pone.0205680_Raw_Data,SumPAE_ngg,2.72,Unknown,table_p7_ri16_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72325_journal.pone.0205680,72325_journal.pone.0205680_Standardization_Data,SumPAE_ngg,1.34,Unknown,table_p7_ri16_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72325_journal.pone.0205680,72325_journal.pone.0205680_Normalization_Data,SumPAE_ngg,0.73,Unknown,table_p7_ri16_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72325_journal.pone.0205680,72325_journal.pone.0205680_Raw_Data,SumPAE_ngg,1.73,Unknown,table_p7_ri17_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72325_journal.pone.0205680,72325_journal.pone.0205680_Standardization_Data,SumPAE_ngg,1.56,Unknown,table_p7_ri17_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72325_journal.pone.0205680,72325_journal.pone.0205680_Normalization_Data,SumPAE_ngg,1.65,Unknown,table_p7_ri17_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72325_journal.pone.0205680,72325_journal.pone.0205680_Raw_Data,SumPAE_ngg,3.07,Unknown,table_p7_ri18_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72325_journal.pone.0205680,72325_journal.pone.0205680_Standardization_Data,SumPAE_ngg,2.28,Unknown,table_p7_ri18_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72325_journal.pone.0205680,72325_journal.pone.0205680_Normalization_Data,SumPAE_ngg,1.48,Unknown,table_p7_ri18_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72325_journal.pone.0205680,72325_journal.pone.0205680_Raw_Data,SumPAE_ngg,2.13,Unknown,table_p7_ri19_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72325_journal.pone.0205680,72325_journal.pone.0205680_Standardization_Data,SumPAE_ngg,1.42,Unknown,table_p7_ri19_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72325_journal.pone.0205680,72325_journal.pone.0205680_Normalization_Data,SumPAE_ngg,0.82,Unknown,table_p7_ri19_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72325_journal.pone.0205680,72325_journal.pone.0205680_Raw_Data,SumPAE_ngg,0.81,Unknown,table_p7_ri20_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72325_journal.pone.0205680,72325_journal.pone.0205680_Standardization_Data,SumPAE_ngg,2.73,Unknown,table_p7_ri20_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72325_journal.pone.0205680,72325_journal.pone.0205680_Normalization_Data,SumPAE_ngg,1.44,Unknown,table_p7_ri20_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72325_journal.pone.0205680,72325_journal.pone.0205680_Raw_Data,SumPAE_ngg,4.04,Unknown,table_p7_ri21_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
