paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72345_www.scientific.net%252Famr.850-851.1320,72345_www.scientific.net%252Famr.850-851.1320_Arithmetic_mean,SumHCH_ngg,0.06,Unknown,table_p1_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72345_www.scientific.net%252Famr.850-851.1320,72345_www.scientific.net%252Famr.850-851.1320_Standard_deviations,SumHCH_ngg,0.05,Unknown,table_p1_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72345_www.scientific.net%252Famr.850-851.1320,72345_www.scientific.net%252Famr.850-851.1320_Minimum,SumHCH_ngg,0.01,Unknown,table_p1_ri1_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72345_www.scientific.net%252Famr.850-851.1320,72345_www.scientific.net%252Famr.850-851.1320_Maximum,SumHCH_ngg,0.14,Unknown,table_p1_ri1_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72345_www.scientific.net%252Famr.850-851.1320,72345_www.scientific.net%252Famr.850-851.1320_C.V.,SumHCH_ngg,0.89,Unknown,table_p1_ri1_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72345_www.scientific.net%252Famr.850-851.1320,72345_www.scientific.net%252Famr.850-851.1320_Arithmetic_mean,SumHCH_ngg,0.51,Unknown,table_p1_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72345_www.scientific.net%252Famr.850-851.1320,72345_www.scientific.net%252Famr.850-851.1320_Standard_deviations,SumHCH_ngg,0.45,Unknown,table_p1_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72345_www.scientific.net%252Famr.850-851.1320,72345_www.scientific.net%252Famr.850-851.1320_Minimum,SumHCH_ngg,0.07,Unknown,table_p1_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72345_www.scientific.net%252Famr.850-851.1320,72345_www.scientific.net%252Famr.850-851.1320_Maximum,SumHCH_ngg,1.2,Unknown,table_p1_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72345_www.scientific.net%252Famr.850-851.1320,72345_www.scientific.net%252Famr.850-851.1320_C.V.,SumHCH_ngg,0.89,Unknown,table_p1_ri2_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72345_www.scientific.net%252Famr.850-851.1320,72345_www.scientific.net%252Famr.850-851.1320_Arithmetic_mean,SumHCH_ngg,0.43,Unknown,table_p1_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72345_www.scientific.net%252Famr.850-851.1320,72345_www.scientific.net%252Famr.850-851.1320_Standard_deviations,SumHCH_ngg,0.39,Unknown,table_p1_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72345_www.scientific.net%252Famr.850-851.1320,72345_www.scientific.net%252Famr.850-851.1320_Minimum,SumHCH_ngg,0.1,Unknown,table_p1_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72345_www.scientific.net%252Famr.850-851.1320,72345_www.scientific.net%252Famr.850-851.1320_Maximum,SumHCH_ngg,1.1,Unknown,table_p1_ri3_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72345_www.scientific.net%252Famr.850-851.1320,72345_www.scientific.net%252Famr.850-851.1320_C.V.,SumHCH_ngg,0.92,Unknown,table_p1_ri3_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72345_www.scientific.net%252Famr.850-851.1320,72345_www.scientific.net%252Famr.850-851.1320_Arithmetic_mean,SumHCH_ngg,0.08,Unknown,table_p1_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72345_www.scientific.net%252Famr.850-851.1320,72345_www.scientific.net%252Famr.850-851.1320_Standard_deviations,SumHCH_ngg,0.08,Unknown,table_p1_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72345_www.scientific.net%252Famr.850-851.1320,72345_www.scientific.net%252Famr.850-851.1320_Minimum,SumHCH_ngg,0.02,Unknown,table_p1_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72345_www.scientific.net%252Famr.850-851.1320,72345_www.scientific.net%252Famr.850-851.1320_Maximum,SumHCH_ngg,0.21,Unknown,table_p1_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72345_www.scientific.net%252Famr.850-851.1320,72345_www.scientific.net%252Famr.850-851.1320_C.V.,SumHCH_ngg,0.93,Unknown,table_p1_ri4_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
