paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72347_s1001-0742(06)60019-3,72347_s1001-0742(06)60019-3_Max.,Acy_ngg,0.032,Unknown,table_p2_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72347_s1001-0742(06)60019-3,72347_s1001-0742(06)60019-3_Min.,Phe_ngg,0.047,Unknown,table_p2_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72347_s1001-0742(06)60019-3,72347_s1001-0742(06)60019-3_Max.,Phe_ngg,0.542,Unknown,table_p2_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72347_s1001-0742(06)60019-3,72347_s1001-0742(06)60019-3_Min.,Flu_ngg,0.069,Unknown,table_p2_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72347_s1001-0742(06)60019-3,72347_s1001-0742(06)60019-3_Max.,Flu_ngg,0.993,Unknown,table_p2_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72347_s1001-0742(06)60019-3,72347_s1001-0742(06)60019-3_Min.,Pyr_ngg,0.051,Unknown,table_p2_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72347_s1001-0742(06)60019-3,72347_s1001-0742(06)60019-3_Max.,Pyr_ngg,0.75,Unknown,table_p2_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72347_s1001-0742(06)60019-3,72347_s1001-0742(06)60019-3_Min.,BaA_ngg,0.026,Unknown,table_p2_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72347_s1001-0742(06)60019-3,72347_s1001-0742(06)60019-3_Max.,BaA_ngg,0.412,Unknown,table_p2_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72347_s1001-0742(06)60019-3,72347_s1001-0742(06)60019-3_Min.,Chr_ngg,0.053,Unknown,table_p2_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72347_s1001-0742(06)60019-3,72347_s1001-0742(06)60019-3_Max.,Chr_ngg,0.665,Unknown,table_p2_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72347_s1001-0742(06)60019-3,72347_s1001-0742(06)60019-3_Min.,BbF_ngg,0.036,Unknown,table_p2_ri11_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72347_s1001-0742(06)60019-3,72347_s1001-0742(06)60019-3_Max.,BbF_ngg,0.543,Unknown,table_p2_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72347_s1001-0742(06)60019-3,72347_s1001-0742(06)60019-3_Min.,BkF_ngg,0.018,Unknown,table_p2_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72347_s1001-0742(06)60019-3,72347_s1001-0742(06)60019-3_Max.,BkF_ngg,0.308,Unknown,table_p2_ri12_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72347_s1001-0742(06)60019-3,72347_s1001-0742(06)60019-3_Min.,BaP_ngg,0.023,Unknown,table_p2_ri13_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72347_s1001-0742(06)60019-3,72347_s1001-0742(06)60019-3_Max.,BaP_ngg,0.402,Unknown,table_p2_ri13_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72347_s1001-0742(06)60019-3,72347_s1001-0742(06)60019-3_Min.,BghiP_ngg,0.01,Unknown,table_p2_ri16_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72347_s1001-0742(06)60019-3,72347_s1001-0742(06)60019-3_Max.,BghiP_ngg,0.33,Unknown,table_p2_ri16_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72347_s1001-0742(06)60019-3,72347_s1001-0742(06)60019-3_Min.,Sum_PAH_ngg,0.088,Unknown,table_p2_ri17_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72347_s1001-0742(06)60019-3,72347_s1001-0742(06)60019-3_Max.,Sum_PAH_ngg,1.288,Unknown,table_p2_ri17_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72347_s1001-0742(06)60019-3,72347_s1001-0742(06)60019-3_Min.,Sum_PAH_ngg,0.325,Unknown,table_p2_ri18_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72347_s1001-0742(06)60019-3,72347_s1001-0742(06)60019-3_Max.,Sum_PAH_ngg,4.683,Unknown,table_p2_ri18_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72347_s1001-0742(06)60019-3,72347_s1001-0742(06)60019-3_Min.,Sum_PAH_ngg,0.151,Unknown,table_p2_ri19_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72347_s1001-0742(06)60019-3,72347_s1001-0742(06)60019-3_Max.,Sum_PAH_ngg,2.2,Unknown,table_p2_ri19_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72347_s1001-0742(06)60019-3,72347_s1001-0742(06)60019-3_Min.,Sum_PAH_ngg,0.467,Unknown,table_p2_ri20_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72347_s1001-0742(06)60019-3,72347_s1001-0742(06)60019-3_Max.,Sum_PAH_ngg,5.47,Unknown,table_p2_ri20_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
