paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72367_j.scitotenv.2015.10.148,72367_j.scitotenv.2015.10.148_CAS_RN,SumDDT_ngg,39.5,Unknown,table_p2_ri16_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72367_j.scitotenv.2015.10.148,72367_j.scitotenv.2015.10.148_$\mathrm_{_M_}___{_\mathrm_{_w_}_}$__(g/mol),SumDDT_ngg,354.5,Unknown,table_p2_ri16_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72367_j.scitotenv.2015.10.148,72367_j.scitotenv.2015.10.148_$\mathrm_{_L_o_g_P_^_{_a_}_}$,SumDDT_ngg,6.91,Unknown,table_p2_ri16_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72367_j.scitotenv.2015.10.148,72367_j.scitotenv.2015.10.148_CAS_RN,SumHCH_ngg,340.5,Unknown,table_p2_ri17_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72367_j.scitotenv.2015.10.148,72367_j.scitotenv.2015.10.148_$\mathrm_{_M_}___{_\mathrm_{_w_}_}$__(g/mol),SumHCH_ngg,290.8,Unknown,table_p2_ri17_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72367_j.scitotenv.2015.10.148,72367_j.scitotenv.2015.10.148_Vapor_pressurea_(mPa),SumHCH_ngg,1.0,Unknown,table_p2_ri17_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72367_j.scitotenv.2015.10.148,72367_j.scitotenv.2015.10.148_$\mathrm_{_L_o_g_P_^_{_a_}_}$,SumHCH_ngg,2.5,Unknown,table_p2_ri17_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72367_j.scitotenv.2015.10.148,72367_j.scitotenv.2015.10.148_Jujube,SumDDT_ngg,22.0,Unknown,table_p4_ri17_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72367_j.scitotenv.2015.10.148,72367_j.scitotenv.2015.10.148_Jujube,SumDDT_ngg,2.0,Unknown,table_p4_ri18_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72367_j.scitotenv.2015.10.148,72367_j.scitotenv.2015.10.148_Jujube,SumHCH_ngg,2.0,Unknown,table_p4_ri20_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72367_j.scitotenv.2015.10.148,72367_j.scitotenv.2015.10.148_Jujube,SumHCH_ngg,2.0,Unknown,table_p4_ri21_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72367_j.scitotenv.2015.10.148,72367_j.scitotenv.2015.10.148_Jujube,SumHCH_ngg,22.0,Unknown,table_p4_ri22_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72367_j.scitotenv.2015.10.148,72367_j.scitotenv.2015.10.148_Short-term_risk,SumDDT_ngg,0.00024,Unknown,table_p7_ri17_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72367_j.scitotenv.2015.10.148,72367_j.scitotenv.2015.10.148_Use_suggestion,SumDDT_ngg,0.01,Unknown,table_p7_ri17_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72367_j.scitotenv.2015.10.148,72367_j.scitotenv.2015.10.148_Short-term_risk,SumHCH_ngg,0.000103,Unknown,table_p7_ri18_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72367_j.scitotenv.2015.10.148,72367_j.scitotenv.2015.10.148_Use_suggestion,SumHCH_ngg,0.06,Unknown,table_p7_ri18_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
