paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_LODs__$(_\mathrm_{_n_g_}_\mathrm_{_g_}_^_{_-_1_}_)$,SumDDT_ngg,0.027,Unknown,table_p2_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_Recovery_(%),SumDDT_ngg,89.58,Unknown,table_p2_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_RSD_(%),SumDDT_ngg,5.36,Unknown,table_p2_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_$\mathsf_{_L_O_D_s_}_(_\mathsf_{_n_g_g_}_^_{_-_1_}_)$,SumDDT_ngg,0.02,Unknown,table_p2_ri3_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_Recovery_(%),SumDDT_ngg,68.87,Unknown,table_p2_ri3_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_RSD_(%),SumDDT_ngg,7.82,Unknown,table_p2_ri3_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_LODs__$(_\mathrm_{_n_g_}_\mathrm_{_g_}_^_{_-_1_}_)$,SumDDT_ngg,0.015,Unknown,table_p2_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_Recovery_(%),SumDDT_ngg,86.21,Unknown,table_p2_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_RSD_(%),SumDDT_ngg,8.13,Unknown,table_p2_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_$\mathsf_{_L_O_D_s_}_(_\mathsf_{_n_g_g_}_^_{_-_1_}_)$,SumDDT_ngg,0.02,Unknown,table_p2_ri4_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_Recovery_(%),SumDDT_ngg,78.34,Unknown,table_p2_ri4_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
