paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72401_s10661-011-1913-1,72401_s10661-011-1913-1_TEF,Nap_ngg,0.001,Unknown,table_p4_ri1_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_$\underline_{_{_\mathbf_{_B_a_P_}___{_\mathrm_{_e_q_}_}_}_}$,Nap_ngg,0.019,Unknown,table_p4_ri1_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_$\underline_{_{_\mathbf_{_B_a_P_}___{_\mathrm_{_e_q_}_}_}_}$__range,Nap_ngg,0.0215,Unknown,table_p4_ri1_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_TV,Nap_ngg,15.0,Unknown,table_p4_ri1_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_NOE,Nap_ngg,29.0,Unknown,table_p4_ri1_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_TEF,Acy_ngg,0.001,Unknown,table_p4_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_$\underline_{_{_\mathbf_{_B_a_P_}___{_\mathrm_{_e_q_}_}_}_}$,Acy_ngg,0.002,Unknown,table_p4_ri4_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_$\underline_{_{_\mathbf_{_B_a_P_}___{_\mathrm_{_e_q_}_}_}_}$__range,Acy_ngg,0.002,Unknown,table_p4_ri4_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_TEF,Ace_ngg,0.001,Unknown,table_p4_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_$\underline_{_{_\mathbf_{_B_a_P_}___{_\mathrm_{_e_q_}_}_}_}$,Ace_ngg,0.001,Unknown,table_p4_ri5_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_$\underline_{_{_\mathbf_{_B_a_P_}___{_\mathrm_{_e_q_}_}_}_}$__range,Ace_ngg,0.0025,Unknown,table_p4_ri5_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_TEF,Phe_ngg,0.001,Unknown,table_p4_ri7_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_$\underline_{_{_\mathbf_{_B_a_P_}___{_\mathrm_{_e_q_}_}_}_}$,Phe_ngg,0.046,Unknown,table_p4_ri7_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_$\underline_{_{_\mathbf_{_B_a_P_}___{_\mathrm_{_e_q_}_}_}_}$__range,Phe_ngg,0.134,Unknown,table_p4_ri7_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_TV,Phe_ngg,50.0,Unknown,table_p4_ri7_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_NOE,Phe_ngg,7.0,Unknown,table_p4_ri7_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_TEF,Ant_ngg,0.01,Unknown,table_p4_ri8_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_$\underline_{_{_\mathbf_{_B_a_P_}___{_\mathrm_{_e_q_}_}_}_}$,Ant_ngg,0.064,Unknown,table_p4_ri8_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_$\underline_{_{_\mathbf_{_B_a_P_}___{_\mathrm_{_e_q_}_}_}_}$__range,Ant_ngg,0.188,Unknown,table_p4_ri8_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_TV,Ant_ngg,50.0,Unknown,table_p4_ri8_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_NOE,Ant_ngg,0.0,Unknown,table_p4_ri8_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_ROE,Ant_ngg,0.0,Unknown,table_p4_ri8_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_TEF,Flu_ngg,0.001,Unknown,table_p4_ri9_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_$\underline_{_{_\mathbf_{_B_a_P_}___{_\mathrm_{_e_q_}_}_}_}$,Flu_ngg,0.097,Unknown,table_p4_ri9_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_$\underline_{_{_\mathbf_{_B_a_P_}___{_\mathrm_{_e_q_}_}_}_}$__range,Flu_ngg,0.163,Unknown,table_p4_ri9_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_TV,Flu_ngg,15.0,Unknown,table_p4_ri9_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_NOE,Flu_ngg,35.0,Unknown,table_p4_ri9_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_TEF,Pyr_ngg,0.001,Unknown,table_p4_ri10_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_$\underline_{_{_\mathbf_{_B_a_P_}___{_\mathrm_{_e_q_}_}_}_}$,Pyr_ngg,0.072,Unknown,table_p4_ri10_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_$\underline_{_{_\mathbf_{_B_a_P_}___{_\mathrm_{_e_q_}_}_}_}$__range,Pyr_ngg,0.1265,Unknown,table_p4_ri10_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_TEF,BaA_ngg,0.1,Unknown,table_p4_ri11_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_$\underline_{_{_\mathbf_{_B_a_P_}___{_\mathrm_{_e_q_}_}_}_}$,BaA_ngg,4.025,Unknown,table_p4_ri11_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_$\underline_{_{_\mathbf_{_B_a_P_}___{_\mathrm_{_e_q_}_}_}_}$__range,BaA_ngg,6.863,Unknown,table_p4_ri11_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_TV,BaA_ngg,20.0,Unknown,table_p4_ri11_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_NOE,BaA_ngg,23.0,Unknown,table_p4_ri11_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_TEF,Chr_ngg,0.01,Unknown,table_p4_ri12_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_$\underline_{_{_\mathbf_{_B_a_P_}___{_\mathrm_{_e_q_}_}_}_}$,Chr_ngg,0.622,Unknown,table_p4_ri12_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_$\underline_{_{_\mathbf_{_B_a_P_}___{_\mathrm_{_e_q_}_}_}_}$__range,Chr_ngg,1.0515,Unknown,table_p4_ri12_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_TV,Chr_ngg,20.0,Unknown,table_p4_ri12_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_NOE,Chr_ngg,29.0,Unknown,table_p4_ri12_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_TEF,BbF_ngg,0.1,Unknown,table_p4_ri13_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_$\underline_{_{_\mathbf_{_B_a_P_}___{_\mathrm_{_e_q_}_}_}_}$,BbF_ngg,9.362,Unknown,table_p4_ri13_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_$\underline_{_{_\mathbf_{_B_a_P_}___{_\mathrm_{_e_q_}_}_}_}$__range,BbF_ngg,17.185,Unknown,table_p4_ri13_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_TEF,BkF_ngg,0.1,Unknown,table_p4_ri14_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_$\underline_{_{_\mathbf_{_B_a_P_}___{_\mathrm_{_e_q_}_}_}_}$,BkF_ngg,2.97,Unknown,table_p4_ri14_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_$\underline_{_{_\mathbf_{_B_a_P_}___{_\mathrm_{_e_q_}_}_}_}$__range,BkF_ngg,5.3135,Unknown,table_p4_ri14_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_TV,BkF_ngg,25.0,Unknown,table_p4_ri14_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_NOE,BkF_ngg,18.0,Unknown,table_p4_ri14_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_TEF,BaP_ngg,1.0,Unknown,table_p4_ri16_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_$\underline_{_{_\mathbf_{_B_a_P_}___{_\mathrm_{_e_q_}_}_}_}$,BaP_ngg,56.208,Unknown,table_p4_ri16_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_$\underline_{_{_\mathbf_{_B_a_P_}___{_\mathrm_{_e_q_}_}_}_}$__range,BaP_ngg,98.21000000000001,Unknown,table_p4_ri16_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_TV,BaP_ngg,25.0,Unknown,table_p4_ri16_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_NOE,BaP_ngg,24.0,Unknown,table_p4_ri16_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_$\underline_{_{_\mathbf_{_B_a_P_}___{_\mathrm_{_e_q_}_}_}_}$,Sum_PAH_ngg,91.473,Unknown,table_p4_ri22_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_$\underline_{_{_\mathbf_{_B_a_P_}___{_\mathrm_{_e_q_}_}_}_}$__range,Sum_PAH_ngg,159.91,Unknown,table_p4_ri22_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_$\underline_{_{_\mathbf_{_B_a_P_}___{_\mathrm_{_e_q_}_}_}_}$,Sum_PAH_ngg,97.163,Unknown,table_p4_ri23_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_$\underline_{_{_\mathbf_{_B_a_P_}___{_\mathrm_{_e_q_}_}_}_}$__range,Sum_PAH_ngg,169.5035,Unknown,table_p4_ri23_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_1-MN,Acy_ngg,0.65,Unknown,table_p6_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_1-MN,Ace_ngg,0.52,Unknown,table_p6_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_Acy,Ace_ngg,0.73,Unknown,table_p6_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_1-MN,Phe_ngg,0.56,Unknown,table_p6_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_Acy,Phe_ngg,0.79,Unknown,table_p6_ri6_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_Ace_Fl,Phe_ngg,0.69,Unknown,table_p6_ri6_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_Phe,Phe_ngg,0.64,Unknown,table_p6_ri6_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
