paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72402_j.chemosphere.2009.01.027,72402_j.chemosphere.2009.01.027_Roadside_(n_=_17),Nap_ngg,10.2,Unknown,table_p2_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72402_j.chemosphere.2009.01.027,72402_j.chemosphere.2009.01.027_Commercial_district_(n_=_8),Nap_ngg,144.0,Unknown,table_p2_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72402_j.chemosphere.2009.01.027,72402_j.chemosphere.2009.01.027_$\mathrm_{_P_a_r_k_}_\left(_n_=_6_\right)$,Nap_ngg,57.8,Unknown,table_p2_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72402_j.chemosphere.2009.01.027,72402_j.chemosphere.2009.01.027_Residential_district_(n_=_12),Nap_ngg,11.6,Unknown,table_p2_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72402_j.chemosphere.2009.01.027,72402_j.chemosphere.2009.01.027_Greenbelts_(n_=_12),Nap_ngg,49.6,Unknown,table_p2_ri2_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72402_j.chemosphere.2009.01.027,72402_j.chemosphere.2009.01.027_Roadside_(n_=_17),Acy_ngg,1.03,Unknown,table_p2_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72402_j.chemosphere.2009.01.027,72402_j.chemosphere.2009.01.027_Commercial_district_(n_=_8),Acy_ngg,40.4,Unknown,table_p2_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72402_j.chemosphere.2009.01.027,72402_j.chemosphere.2009.01.027_$\mathrm_{_P_a_r_k_}_\left(_n_=_6_\right)$,Acy_ngg,10.6,Unknown,table_p2_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72402_j.chemosphere.2009.01.027,72402_j.chemosphere.2009.01.027_Residential_district_(n_=_12),Acy_ngg,1.78,Unknown,table_p2_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72402_j.chemosphere.2009.01.027,72402_j.chemosphere.2009.01.027_Greenbelts_(n_=_12),Acy_ngg,8.98,Unknown,table_p2_ri5_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72402_j.chemosphere.2009.01.027,72402_j.chemosphere.2009.01.027_Roadside_(n_=_17),Ace_ngg,4.11,Unknown,table_p2_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72402_j.chemosphere.2009.01.027,72402_j.chemosphere.2009.01.027_Commercial_district_(n_=_8),Ace_ngg,521.0,Unknown,table_p2_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72402_j.chemosphere.2009.01.027,72402_j.chemosphere.2009.01.027_$\mathrm_{_P_a_r_k_}_\left(_n_=_6_\right)$,Ace_ngg,69.3,Unknown,table_p2_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72402_j.chemosphere.2009.01.027,72402_j.chemosphere.2009.01.027_Residential_district_(n_=_12),Ace_ngg,0.891,Unknown,table_p2_ri6_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72402_j.chemosphere.2009.01.027,72402_j.chemosphere.2009.01.027_Greenbelts_(n_=_12),Ace_ngg,14.3,Unknown,table_p2_ri6_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
