paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72403_s00128-021-03312-6,72403_s00128-021-03312-6_SDª,Nap_ngg,8.79,Unknown,table_p3_ri2_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_TEFb,Nap_ngg,0.001,Unknown,table_p3_ri2_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_BaPeqd_(mg_BaPeq_/kg),Nap_ngg,0.00129,Unknown,table_p3_ri2_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_SDª,Acy_ngg,5.07,Unknown,table_p3_ri3_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_TEFb,Acy_ngg,0.001,Unknown,table_p3_ri3_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_Carcinogenic_groupc,Acy_ngg,3.0,Unknown,table_p3_ri3_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_BaPeqd_(mg_BaPeq_/kg),Acy_ngg,0.000751,Unknown,table_p3_ri3_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_SDª,Ace_ngg,128.0,Unknown,table_p3_ri4_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_TEFb,Ace_ngg,0.001,Unknown,table_p3_ri4_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_Carcinogenic_groupc,Ace_ngg,3.0,Unknown,table_p3_ri4_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_BaPeqd_(mg_BaPeq_/kg),Ace_ngg,0.00267,Unknown,table_p3_ri4_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_SDª,Phe_ngg,36.3,Unknown,table_p3_ri6_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_TEFb,Phe_ngg,0.001,Unknown,table_p3_ri6_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_Carcinogenic_groupc,Phe_ngg,3.0,Unknown,table_p3_ri6_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_BaPeqd_(mg_BaPeq_/kg),Phe_ngg,0.0011,Unknown,table_p3_ri6_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_SDª,Ant_ngg,13.8,Unknown,table_p3_ri7_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_TEFb,Ant_ngg,0.01,Unknown,table_p3_ri7_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_Carcinogenic_groupc,Ant_ngg,3.0,Unknown,table_p3_ri7_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_BaPeqd_(mg_BaPeq_/kg),Ant_ngg,0.00243,Unknown,table_p3_ri7_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_SDª,Flu_ngg,32.9,Unknown,table_p3_ri8_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_TEFb,Flu_ngg,0.001,Unknown,table_p3_ri8_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_Carcinogenic_groupc,Flu_ngg,3.0,Unknown,table_p3_ri8_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_BaPeqd_(mg_BaPeq_/kg),Flu_ngg,0.0012,Unknown,table_p3_ri8_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_SDª,Pyr_ngg,31.2,Unknown,table_p3_ri9_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_TEFb,Pyr_ngg,0.001,Unknown,table_p3_ri9_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_Carcinogenic_groupc,Pyr_ngg,3.0,Unknown,table_p3_ri9_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_BaPeqd_(mg_BaPeq_/kg),Pyr_ngg,0.00112,Unknown,table_p3_ri9_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_SDª,BaA_ngg,112.0,Unknown,table_p3_ri10_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_TEFb,BaA_ngg,0.1,Unknown,table_p3_ri10_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_BaPeqd_(mg_BaPeq_/kg),BaA_ngg,0.0463,Unknown,table_p3_ri10_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_SDª,Chr_ngg,139.0,Unknown,table_p3_ri11_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
