paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72405_s10661-011-1895-z,72405_s10661-011-1895-z_1,Nap_ngg,20.36,Unknown,table_p3_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_2,Acy_ngg,13.75,Unknown,table_p3_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_6,Acy_ngg,15.78,Unknown,table_p3_ri2_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_8,Acy_ngg,21.12,Unknown,table_p3_ri2_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_10,Acy_ngg,62.86,Unknown,table_p3_ri2_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_11,Acy_ngg,23.92,Unknown,table_p3_ri2_ci11,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_4,Ace_ngg,1.0,Unknown,table_p3_ri3_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_1,Phe_ngg,0.76,Unknown,table_p3_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_2,Phe_ngg,2.75,Unknown,table_p3_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_3,Phe_ngg,7.28,Unknown,table_p3_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_4,Phe_ngg,2.39,Unknown,table_p3_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_5,Phe_ngg,4.06,Unknown,table_p3_ri5_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_6,Phe_ngg,13.72,Unknown,table_p3_ri5_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
