paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72422_s12665-013-2349-4,72422_s12665-013-2349-4_Floor_soil_(ng/g),SumHCH_ngg,0.091,Unknown,table_p4_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72422_s12665-013-2349-4,72422_s12665-013-2349-4_Upper_rim_soil_(ng/g),SumHCH_ngg,0.022,Unknown,table_p4_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72422_s12665-013-2349-4,72422_s12665-013-2349-4_Floor_soil_(ng/g),SumHCH_ngg,0.019,Unknown,table_p4_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72422_s12665-013-2349-4,72422_s12665-013-2349-4_Floor_soil_(ng/g),SumHCH_ngg,0.021,Unknown,table_p4_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72422_s12665-013-2349-4,72422_s12665-013-2349-4_Floor_soil_(ng/g),SumHCH_ngg,0.005,Unknown,table_p4_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72422_s12665-013-2349-4,72422_s12665-013-2349-4_Floor_soil_(ng/g),SumHCH_ngg,0.136,Unknown,table_p4_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72422_s12665-013-2349-4,72422_s12665-013-2349-4_Upper_rim_soil_(ng/g),SumHCH_ngg,0.022,Unknown,table_p4_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72422_s12665-013-2349-4,72422_s12665-013-2349-4_Upper_rim_soil_(ng/g),SumDDT_ngg,0.39,Unknown,table_p4_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72422_s12665-013-2349-4,72422_s12665-013-2349-4_Upper_rim_soil_(ng/g),SumDDT_ngg,0.036,Unknown,table_p4_ri12_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72422_s12665-013-2349-4,72422_s12665-013-2349-4_Floor_soil_(ng/g),SumDDT_ngg,0.057,Unknown,table_p4_ri13_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72422_s12665-013-2349-4,72422_s12665-013-2349-4_Upper_rim_soil_(ng/g),SumDDT_ngg,0.509,Unknown,table_p4_ri13_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72422_s12665-013-2349-4,72422_s12665-013-2349-4_Floor_soil_(ng/g),SumOCP_ngg,0.418,Unknown,table_p4_ri27_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72422_s12665-013-2349-4,72422_s12665-013-2349-4_Floor_soil_(ng/g),OC_pct,0.418,Unknown,table_p4_ri27_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72422_s12665-013-2349-4,72422_s12665-013-2349-4_Upper_rim_soil_(ng/g),SumOCP_ngg,1.173,Unknown,table_p4_ri27_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72422_s12665-013-2349-4,72422_s12665-013-2349-4_Upper_rim_soil_(ng/g),OC_pct,1.173,Unknown,table_p4_ri27_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72422_s12665-013-2349-4,72422_s12665-013-2349-4_Floor_soil_(ng/g),SumHCH_ngg,4.333,Unknown,table_p4_ri28_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
