paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72453_Zeya Wang 等 - 2021 - Vertical distribution a,"72453_Zeya Wang 等 - 2021 - Vertical distribution a_Three_Gorges_Reservoir,_China",Sum_PAH_ngg,133.84,Unknown,table_p4_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72453_Zeya Wang 等 - 2021 - Vertical distribution a,"72453_Zeya Wang 等 - 2021 - Vertical distribution a_West_Plain,_Florida,_the_USA",Sum_PAH_ngg,4055.0,Unknown,table_p4_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72453_Zeya Wang 等 - 2021 - Vertical distribution a,"72453_Zeya Wang 等 - 2021 - Vertical distribution a_Yangtze_River_Delta,_China",Sum_PAH_ngg,266.6,Unknown,table_p4_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72453_Zeya Wang 等 - 2021 - Vertical distribution a,"72453_Zeya Wang 等 - 2021 - Vertical distribution a_Huanghuai_plain,_China",Sum_PAH_ngg,129.5,Unknown,table_p4_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72453_Zeya Wang 等 - 2021 - Vertical distribution a,"72453_Zeya Wang 等 - 2021 - Vertical distribution a_Western_Tibetan_plateau,_China",Sum_PAH_ngg,30.8,Unknown,table_p4_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72453_Zeya Wang 等 - 2021 - Vertical distribution a,"72453_Zeya Wang 等 - 2021 - Vertical distribution a_Farmlands_of_Henan_Province,_China",Sum_PAH_ngg,24.2,Unknown,table_p4_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72453_Zeya Wang 等 - 2021 - Vertical distribution a,"72453_Zeya Wang 等 - 2021 - Vertical distribution a_Rawalpindi,_Pakistan",Sum_PAH_ngg,763.0,Unknown,table_p4_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72453_Zeya Wang 等 - 2021 - Vertical distribution a,"72453_Zeya Wang 等 - 2021 - Vertical distribution a_Terai_Belt,_North_India",Sum_PAH_ngg,20.95,Unknown,table_p4_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72453_Zeya Wang 等 - 2021 - Vertical distribution a,"72453_Zeya Wang 等 - 2021 - Vertical distribution a_Suburb_of_Taihu_plain,_China",Sum_PAH_ngg,4420.0,Unknown,table_p4_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72453_Zeya Wang 等 - 2021 - Vertical distribution a,"72453_Zeya Wang 等 - 2021 - Vertical distribution a_Jianghan_Plain,_China",Sum_PAH_ngg,393.12,Unknown,table_p4_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72453_Zeya Wang 等 - 2021 - Vertical distribution a,72453_Zeya Wang 等 - 2021 - Vertical distribution a_Ring,Sum_PAH_ngg,2.0,Unknown,table_p6_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72453_Zeya Wang 等 - 2021 - Vertical distribution a,72453_Zeya Wang 等 - 2021 - Vertical distribution a_Ring,Sum_PAH_ngg,4.0,Unknown,table_p6_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72453_Zeya Wang 等 - 2021 - Vertical distribution a,72453_Zeya Wang 等 - 2021 - Vertical distribution a_Coefficient,Sum_PAH_ngg,0.843,Unknown,table_p6_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72453_Zeya Wang 等 - 2021 - Vertical distribution a,72453_Zeya Wang 等 - 2021 - Vertical distribution a_Ring,Sum_PAH_ngg,2.0,Unknown,table_p15_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72453_Zeya Wang 等 - 2021 - Vertical distribution a,72453_Zeya Wang 等 - 2021 - Vertical distribution a_Ring,Sum_PAH_ngg,4.0,Unknown,table_p15_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72453_Zeya Wang 等 - 2021 - Vertical distribution a,72453_Zeya Wang 等 - 2021 - Vertical distribution a_Coefficient,Sum_PAH_ngg,0.843,Unknown,table_p15_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
