paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_2,Nap_ngg,1.3,Unknown,table_p1_ri1_ci2,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_3,Nap_ngg,1.7,Unknown,table_p1_ri1_ci3,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_4,Nap_ngg,0.4,Unknown,table_p1_ri1_ci4,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_5,Nap_ngg,0.82,Unknown,table_p1_ri1_ci5,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_6,Nap_ngg,4.0,Unknown,table_p1_ri1_ci6,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_1,Ace_ngg,2.1,Unknown,table_p1_ri3_ci1,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_3,Ace_ngg,8.1,Unknown,table_p1_ri3_ci3,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_5,Ace_ngg,0.33,Unknown,table_p1_ri3_ci5,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_6,Ace_ngg,0.43,Unknown,table_p1_ri3_ci6,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_1,Ant_ngg,100.0,Unknown,table_p1_ri6_ci1,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_2,Ant_ngg,12.7,Unknown,table_p1_ri6_ci2,sediment,mining,,phase14_auto; confidence=high; flag=,,
72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri,72523_Belin Tavakoly Sany 等 - 2012 - Ecological ri_3,Ant_ngg,58.8,Unknown,table_p1_ri6_ci3,sediment,mining,,phase14_auto; confidence=high; flag=,,
