paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_NCs,Nap_ngg,12.0,Unknown,table_p4_ri2_ci1,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG2_(n_=_12),Nap_ngg,12.6,Unknown,table_p4_ri2_ci3,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_G2_(n_=_10),Nap_ngg,0.1,Unknown,table_p4_ri2_ci4,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_G1_(n_=_9),Nap_ngg,13.4,Unknown,table_p4_ri2_ci5,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_S3_(n_=_10),Nap_ngg,0.1,Unknown,table_p4_ri2_ci6,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG1_(n_=_2),Nap_ngg,31.3,Unknown,table_p4_ri2_ci7,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_S2_(n_=_7),Nap_ngg,0.3,Unknown,table_p4_ri2_ci8,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_S1_(n_=_2),Nap_ngg,21.3,Unknown,table_p4_ri2_ci9,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_NCs,Acy_ngg,0.7,Unknown,table_p4_ri3_ci1,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_MPCs,Acy_ngg,70.0,Unknown,table_p4_ri3_ci2,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG2_(n_=_12),Acy_ngg,328.8,Unknown,table_p4_ri3_ci3,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_G2_(n_=_10),Acy_ngg,3.3,Unknown,table_p4_ri3_ci4,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_G1_(n_=_9),Acy_ngg,272.2,Unknown,table_p4_ri3_ci5,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_S3_(n_=_10),Acy_ngg,2.7,Unknown,table_p4_ri3_ci6,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG1_(n_=_2),Acy_ngg,340.0,Unknown,table_p4_ri3_ci7,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_S2_(n_=_7),Acy_ngg,3.4,Unknown,table_p4_ri3_ci8,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_S1_(n_=_2),Acy_ngg,228.7,Unknown,table_p4_ri3_ci9,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_NCs,Ace_ngg,0.7,Unknown,table_p4_ri4_ci1,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_MPCs,Ace_ngg,70.0,Unknown,table_p4_ri4_ci2,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG2_(n_=_12),Ace_ngg,97.7,Unknown,table_p4_ri4_ci3,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
