paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
Kun Chen 等 - 2024 - Spatial heterogeneity of polyc,Kun Chen 等 - 2024 - Spatial heterogeneity of polyc_Range_(m),Sum_PAH_ngg,30.84,Unknown,table_p5_ri2_ci2,soil,,,phase14_batch2; matrix=score=168:high; conf=high; flag=,,
Kun Chen 等 - 2024 - Spatial heterogeneity of polyc,Kun Chen 等 - 2024 - Spatial heterogeneity of polyc_Co,Sum_PAH_ngg,1.395,Unknown,table_p5_ri2_ci3,soil,,,phase14_batch2; matrix=score=168:high; conf=high; flag=,,
Kun Chen 等 - 2024 - Spatial heterogeneity of polyc,Kun Chen 等 - 2024 - Spatial heterogeneity of polyc_$\mathbb_{_G_}___{_0_}_\mathbb_{_G_}_\mathbb_{_G_}$,Sum_PAH_ngg,2.791,Unknown,table_p5_ri2_ci4,soil,,,phase14_batch2; matrix=score=168:high; conf=high; flag=,,
Kun Chen 等 - 2024 - Spatial heterogeneity of polyc,Kun Chen 等 - 2024 - Spatial heterogeneity of polyc_R²,Sum_PAH_ngg,0.638,Unknown,table_p5_ri2_ci6,soil,,,phase14_batch2; matrix=score=168:high; conf=high; flag=,,
Kun Chen 等 - 2024 - Spatial heterogeneity of polyc,Kun Chen 等 - 2024 - Spatial heterogeneity of polyc_RSS,Sum_PAH_ngg,0.926,Unknown,table_p5_ri2_ci7,soil,,,phase14_batch2; matrix=score=168:high; conf=high; flag=,,
Kun Chen 等 - 2024 - Spatial heterogeneity of polyc,Kun Chen 等 - 2024 - Spatial heterogeneity of polyc_Range_(m),Sum_PAH_ngg,3.54,Unknown,table_p5_ri3_ci2,soil,,,phase14_batch2; matrix=score=168:high; conf=high; flag=,,
Kun Chen 等 - 2024 - Spatial heterogeneity of polyc,Kun Chen 等 - 2024 - Spatial heterogeneity of polyc_Co,Sum_PAH_ngg,0.259,Unknown,table_p5_ri3_ci3,soil,,,phase14_batch2; matrix=score=168:high; conf=high; flag=,,
Kun Chen 等 - 2024 - Spatial heterogeneity of polyc,Kun Chen 等 - 2024 - Spatial heterogeneity of polyc_$\mathbb_{_G_}___{_0_}_\mathbb_{_G_}_\mathbb_{_G_}$,Sum_PAH_ngg,1.584,Unknown,table_p5_ri3_ci4,soil,,,phase14_batch2; matrix=score=168:high; conf=high; flag=,,
Kun Chen 等 - 2024 - Spatial heterogeneity of polyc,Kun Chen 等 - 2024 - Spatial heterogeneity of polyc_R²,Sum_PAH_ngg,0.435,Unknown,table_p5_ri3_ci6,soil,,,phase14_batch2; matrix=score=168:high; conf=high; flag=,,
Kun Chen 等 - 2024 - Spatial heterogeneity of polyc,Kun Chen 等 - 2024 - Spatial heterogeneity of polyc_RSS,Sum_PAH_ngg,0.557,Unknown,table_p5_ri3_ci7,soil,,,phase14_batch2; matrix=score=168:high; conf=high; flag=,,
Kun Chen 等 - 2024 - Spatial heterogeneity of polyc,Kun Chen 等 - 2024 - Spatial heterogeneity of polyc_Range_(m),Sum_PAH_ngg,153.0,Unknown,table_p5_ri4_ci2,soil,,,phase14_batch2; matrix=score=168:high; conf=high; flag=,,
