paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
P00008,WYT1,SumDDT_ngg,123.5,ng/g,Table 4,soil,agricultural,Shandong,"Table 4 DDTs列直接读取(p,p'-DDE+p,p'-DDD+p,p'-DDT+o,p'-DDT)",35.92304,116.79648
P00008,WYT2,SumDDT_ngg,153.4,ng/g,Table 4,soil,agricultural,Shandong,"Table 4 DDTs列直接读取(p,p'-DDE+p,p'-DDD+p,p'-DDT+o,p'-DDT)",35.92241,116.78217
P00008,WYT3,SumDDT_ngg,58.9,ng/g,Table 4,soil,agricultural,Shandong,"Table 4 DDTs列直接读取(p,p'-DDE+p,p'-DDD+p,p'-DDT+o,p'-DDT)",35.92575,116.80101
P00008,WYT4,SumDDT_ngg,24.8,ng/g,Table 4,soil,agricultural,Shandong,"Table 4 DDTs列直接读取(p,p'-DDE+p,p'-DDD+p,p'-DDT+o,p'-DDT)",35.93099,116.86177
P00008,WYT5,SumDDT_ngg,86.9,ng/g,Table 4,soil,agricultural,Shandong,"Table 4 DDTs列直接读取(p,p'-DDE+p,p'-DDD+p,p'-DDT+o,p'-DDT)",35.93279,116.8617
P00008,WYT6,SumDDT_ngg,57.8,ng/g,Table 4,soil,agricultural,Shandong,"Table 4 DDTs列直接读取(p,p'-DDE+p,p'-DDD+p,p'-DDT+o,p'-DDT)",35.95981,116.91425
P00008,WYT7,SumDDT_ngg,64.7,ng/g,Table 4,soil,agricultural,Shandong,"Table 4 DDTs列直接读取(p,p'-DDE+p,p'-DDD+p,p'-DDT+o,p'-DDT)",35.97548,116.95935
P00008,WYT8,SumDDT_ngg,45.9,ng/g,Table 4,soil,agricultural,Shandong,"Table 4 DDTs列直接读取(p,p'-DDE+p,p'-DDD+p,p'-DDT+o,p'-DDT)",35.97117,117.0423
P00008,WYT9,SumDDT_ngg,197.0,ng/g,Table 4,soil,agricultural,Shandong,"Table 4 DDTs列直接读取(p,p'-DDE+p,p'-DDD+p,p'-DDT+o,p'-DDT)",35.96941,117.06027
P00008,WYT10,SumDDT_ngg,75.2,ng/g,Table 4,soil,agricultural,Shandong,"Table 4 DDTs列直接读取(p,p'-DDE+p,p'-DDD+p,p'-DDT+o,p'-DDT)",35.95994,117.09148
P00008,WYT11,SumDDT_ngg,18.5,ng/g,Table 4,soil,agricultural,Shandong,"Table 4 DDTs列直接读取(p,p'-DDE+p,p'-DDD+p,p'-DDT+o,p'-DDT)",35.92143,117.08991
P00008,WYT12,SumDDT_ngg,14.7,ng/g,Table 4,soil,agricultural,Shandong,"Table 4 DDTs列直接读取(p,p'-DDE+p,p'-DDD+p,p'-DDT+o,p'-DDT)",35.91231,117.03247
P00008,WYT13,SumDDT_ngg,8.4,ng/g,Table 4,soil,agricultural,Shandong,"Table 4 DDTs列直接读取(p,p'-DDE+p,p'-DDD+p,p'-DDT+o,p'-DDT)",35.93303,117.00872
P00008,WYT14,SumDDT_ngg,18.2,ng/g,Table 4,soil,agricultural,Shandong,"Table 4 DDTs列直接读取(p,p'-DDE+p,p'-DDD+p,p'-DDT+o,p'-DDT)",35.93293,117.00859
P00008,WYT15,SumDDT_ngg,14.9,ng/g,Table 4,soil,agricultural,Shandong,"Table 4 DDTs列直接读取(p,p'-DDE+p,p'-DDD+p,p'-DDT+o,p'-DDT)",35.91915,116.96325
