paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes
P00208,S1,SumPCB_ngg,45,ng/g,Table 2,sediment,urban,Guangdong,"wet season Aug 2012; paper reports sumPCBs as sum of 7 congeners (PCB28/52/101/118/138/153/180); matrix=sediment per paper title"
P00208,S2,SumPCB_ngg,35.2,ng/g,Table 2,sediment,urban,Guangdong,"wet season Aug 2012; paper reports sumPCBs as sum of 7 congeners (PCB28/52/101/118/138/153/180); matrix=sediment per paper title"
P00208,S3,SumPCB_ngg,44.6,ng/g,Table 2,sediment,urban,Guangdong,"wet season Aug 2012; paper reports sumPCBs as sum of 7 congeners (PCB28/52/101/118/138/153/180); matrix=sediment per paper title"
P00208,S4,SumPCB_ngg,37.3,ng/g,Table 2,sediment,urban,Guangdong,"wet season Aug 2012; paper reports sumPCBs as sum of 7 congeners (PCB28/52/101/118/138/153/180); matrix=sediment per paper title"
P00208,S5,SumPCB_ngg,48.5,ng/g,Table 2,sediment,urban,Guangdong,"wet season Aug 2012; paper reports sumPCBs as sum of 7 congeners (PCB28/52/101/118/138/153/180); matrix=sediment per paper title"
P00208,S6,SumPCB_ngg,67.6,ng/g,Table 2,sediment,urban,Guangdong,"wet season Aug 2012; paper reports sumPCBs as sum of 7 congeners (PCB28/52/101/118/138/153/180); matrix=sediment per paper title"
P00208,S7,SumPCB_ngg,48.2,ng/g,Table 2,sediment,urban,Guangdong,"wet season Aug 2012; paper reports sumPCBs as sum of 7 congeners (PCB28/52/101/118/138/153/180); matrix=sediment per paper title"
P00208,S8,SumPCB_ngg,85.5,ng/g,Table 2,sediment,urban,Guangdong,"wet season Aug 2012; paper reports sumPCBs as sum of 7 congeners (PCB28/52/101/118/138/153/180); matrix=sediment per paper title"
P00208,S9,SumPCB_ngg,47,ng/g,Table 2,sediment,urban,Guangdong,"wet season Aug 2012; paper reports sumPCBs as sum of 7 congeners (PCB28/52/101/118/138/153/180); matrix=sediment per paper title"
P00208,S10,SumPCB_ngg,94.1,ng/g,Table 2,sediment,urban,Guangdong,"wet season Aug 2012; paper reports sumPCBs as sum of 7 congeners (PCB28/52/101/118/138/153/180); matrix=sediment per paper title"
P00208,S11,SumPCB_ngg,48.1,ng/g,Table 2,sediment,urban,Guangdong,"wet season Aug 2012; paper reports sumPCBs as sum of 7 congeners (PCB28/52/101/118/138/153/180); matrix=sediment per paper title"
P00208,S12,SumPCB_ngg,42.9,ng/g,Table 2,sediment,urban,Guangdong,"wet season Aug 2012; paper reports sumPCBs as sum of 7 congeners (PCB28/52/101/118/138/153/180); matrix=sediment per paper title"
P00208,S13,SumPCB_ngg,30.7,ng/g,Table 2,sediment,urban,Guangdong,"wet season Aug 2012; paper reports sumPCBs as sum of 7 congeners (PCB28/52/101/118/138/153/180); matrix=sediment per paper title"
P00208,S14,SumPCB_ngg,34.7,ng/g,Table 2,sediment,urban,Guangdong,"wet season Aug 2012; paper reports sumPCBs as sum of 7 congeners (PCB28/52/101/118/138/153/180); matrix=sediment per paper title"
P00208,S15,SumPCB_ngg,29.5,ng/g,Table 2,sediment,urban,Guangdong,"wet season Aug 2012; paper reports sumPCBs as sum of 7 congeners (PCB28/52/101/118/138/153/180); matrix=sediment per paper title"
P00208,S16,SumPCB_ngg,35.7,ng/g,Table 2,sediment,urban,Guangdong,"wet season Aug 2012; paper reports sumPCBs as sum of 7 congeners (PCB28/52/101/118/138/153/180); matrix=sediment per paper title"
P00208,S17,SumPCB_ngg,23.9,ng/g,Table 2,sediment,urban,Guangdong,"wet season Aug 2012; paper reports sumPCBs as sum of 7 congeners (PCB28/52/101/118/138/153/180); matrix=sediment per paper title"
P00208,S18,SumPCB_ngg,29.9,ng/g,Table 2,sediment,urban,Guangdong,"wet season Aug 2012; paper reports sumPCBs as sum of 7 congeners (PCB28/52/101/118/138/153/180); matrix=sediment per paper title"
P00208,S19,SumPCB_ngg,37.4,ng/g,Table 2,sediment,urban,Guangdong,"wet season Aug 2012; paper reports sumPCBs as sum of 7 congeners (PCB28/52/101/118/138/153/180); matrix=sediment per paper title"
