paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes
P00401,S1,Sum_PAH_ngg,38865.97,ng/g,Table 2,soil,industrial,Guangxi,"Table 2 ∑PAHs行直接读取(16 EPA PAH total); 重工业区 Liuzhou Iron&Steel Group 厂界内"
P00401,S1,BaP_ngg,1432.33,ng/g,Table 2,soil,industrial,Guangxi,"Table 2 BaP行直接读取; 重工业区"
P00401,S2,Sum_PAH_ngg,697.97,ng/g,Table 2,soil,industrial,Guangxi,"Table 2 ∑PAHs行直接读取; 重工业区"
P00401,S2,BaP_ngg,28.88,ng/g,Table 2,soil,industrial,Guangxi,"Table 2 BaP行直接读取; 重工业区"
P00401,S3,Sum_PAH_ngg,372.55,ng/g,Table 2,soil,industrial,Guangxi,"Table 2 ∑PAHs行直接读取; 重工业区"
P00401,S3,BaP_ngg,29.83,ng/g,Table 2,soil,industrial,Guangxi,"Table 2 BaP行直接读取; 重工业区"
P00401,S4,Sum_PAH_ngg,146.27,ng/g,Table 2,soil,industrial,Guangxi,"Table 2 ∑PAHs行直接读取; 重工业区"
P00401,S4,BaP_ngg,11.88,ng/g,Table 2,soil,industrial,Guangxi,"Table 2 BaP行直接读取; 重工业区"
P00401,S5,Sum_PAH_ngg,766.15,ng/g,Table 2,soil,industrial,Guangxi,"Table 2 ∑PAHs行直接读取; 重工业区"
P00401,S5,BaP_ngg,69.75,ng/g,Table 2,soil,industrial,Guangxi,"Table 2 BaP行直接读取; 重工业区"
P00401,S6,Sum_PAH_ngg,1174.95,ng/g,Table 2,soil,industrial,Guangxi,"Table 2 ∑PAHs行直接读取; 重工业区"
P00401,S6,BaP_ngg,101.03,ng/g,Table 2,soil,industrial,Guangxi,"Table 2 BaP行直接读取; 重工业区"
P00401,S7,Sum_PAH_ngg,1250.92,ng/g,Table 2,soil,industrial,Guangxi,"Table 2 ∑PAHs行直接读取; 重工业区"
P00401,S7,BaP_ngg,130.37,ng/g,Table 2,soil,industrial,Guangxi,"Table 2 BaP行直接读取; 重工业区"
P00401,S8,Sum_PAH_ngg,886.18,ng/g,Table 2,soil,industrial,Guangxi,"Table 2 ∑PAHs行直接读取; 重工业区 Liuzhou Chemical Co."
P00401,S8,BaP_ngg,57.06,ng/g,Table 2,soil,industrial,Guangxi,"Table 2 BaP行直接读取; 重工业区"
P00401,S9,Sum_PAH_ngg,151.94,ng/g,Table 2,soil,urban,Guangxi,"Table 2 ∑PAHs行直接读取; 商住区"
P00401,S9,BaP_ngg,12.76,ng/g,Table 2,soil,urban,Guangxi,"Table 2 BaP行直接读取; 商住区"
P00401,S10,Sum_PAH_ngg,225.07,ng/g,Table 2,soil,industrial,Guangxi,"Table 2 ∑PAHs行直接读取; 工业区 LiuGong Machinery Co."
P00401,S10,BaP_ngg,21.08,ng/g,Table 2,soil,industrial,Guangxi,"Table 2 BaP行直接读取; 工业区"
P00401,S11,Sum_PAH_ngg,5273.19,ng/g,Table 2,soil,industrial,Guangxi,"Table 2 ∑PAHs行直接读取; 工业区 污水灌溉菜地"
P00401,S11,BaP_ngg,561.43,ng/g,Table 2,soil,industrial,Guangxi,"Table 2 BaP行直接读取; 工业区"
P00401,S12,Sum_PAH_ngg,1254.70,ng/g,Table 2,soil,industrial,Guangxi,"Table 2 ∑PAHs行直接读取; 工业区"
P00401,S12,BaP_ngg,106.64,ng/g,Table 2,soil,industrial,Guangxi,"Table 2 BaP行直接读取; 工业区"
P00401,S13,Sum_PAH_ngg,522.12,ng/g,Table 2,soil,industrial,Guangxi,"Table 2 ∑PAHs行直接读取; 工业区"
P00401,S13,BaP_ngg,44.46,ng/g,Table 2,soil,industrial,Guangxi,"Table 2 BaP行直接读取; 工业区"
P00401,S14,Sum_PAH_ngg,418.35,ng/g,Table 2,soil,industrial,Guangxi,"Table 2 ∑PAHs行直接读取; 工业区"
P00401,S14,BaP_ngg,29.13,ng/g,Table 2,soil,industrial,Guangxi,"Table 2 BaP行直接读取; 工业区"
P00401,S15,Sum_PAH_ngg,806.11,ng/g,Table 2,soil,urban,Guangxi,"Table 2 ∑PAHs行直接读取; 商住区"
P00401,S15,BaP_ngg,64.60,ng/g,Table 2,soil,urban,Guangxi,"Table 2 BaP行直接读取; 商住区"
P00401,S16,Sum_PAH_ngg,501.23,ng/g,Table 2,soil,urban,Guangxi,"Table 2 ∑PAHs行直接读取; 商住区"
P00401,S16,BaP_ngg,48.11,ng/g,Table 2,soil,urban,Guangxi,"Table 2 BaP行直接读取; 商住区"
P00401,S17,Sum_PAH_ngg,1106.02,ng/g,Table 2,soil,urban,Guangxi,"Table 2 ∑PAHs行直接读取; 商住区"
P00401,S17,BaP_ngg,232.05,ng/g,Table 2,soil,urban,Guangxi,"Table 2 BaP行直接读取; 商住区"
P00401,S18,Sum_PAH_ngg,297.45,ng/g,Table 2,soil,urban,Guangxi,"Table 2 ∑PAHs行直接读取; 商住区"
P00401,S18,BaP_ngg,27.81,ng/g,Table 2,soil,urban,Guangxi,"Table 2 BaP行直接读取; 商住区"
P00401,S19,Sum_PAH_ngg,337.72,ng/g,Table 2,soil,urban,Guangxi,"Table 2 ∑PAHs行直接读取; 商住区"
P00401,S19,BaP_ngg,25.45,ng/g,Table 2,soil,urban,Guangxi,"Table 2 BaP行直接读取; 商住区"
P00401,S20,Sum_PAH_ngg,168.20,ng/g,Table 2,soil,urban,Guangxi,"Table 2 ∑PAHs行直接读取; 商住区"
P00401,S20,BaP_ngg,14.08,ng/g,Table 2,soil,urban,Guangxi,"Table 2 BaP行直接读取; 商住区"
P00401,S21,Sum_PAH_ngg,49.93,ng/g,Table 2,soil,agricultural,Guangxi,"Table 2 ∑PAHs行直接读取; 农村背景点"
P00401,S21,BaP_ngg,1.72,ng/g,Table 2,soil,agricultural,Guangxi,"Table 2 BaP行直接读取; 农村背景点"
