paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes
P02403,3,Nap_ngg,35.50,ng/g,SI Table T0001 (supplementary CSV),soil,e_waste,Zhejiang,SI CSV direct read; compound=Nap; 27 sites x 37 compounds matrix; original unit ng/g
P02403,4–1,Nap_ngg,56.60,ng/g,SI Table T0001 (supplementary CSV),soil,e_waste,Zhejiang,SI CSV direct read; compound=Nap; 27 sites x 37 compounds matrix; original unit ng/g
P02403,4–2,Nap_ngg,37.40,ng/g,SI Table T0001 (supplementary CSV),soil,e_waste,Zhejiang,SI CSV direct read; compound=Nap; 27 sites x 37 compounds matrix; original unit ng/g
P02403,5,Nap_ngg,59.00,ng/g,SI Table T0001 (supplementary CSV),soil,e_waste,Zhejiang,SI CSV direct read; compound=Nap; 27 sites x 37 compounds matrix; original unit ng/g
P02403,6,Nap_ngg,64.60,ng/g,SI Table T0001 (supplementary CSV),soil,e_waste,Zhejiang,SI CSV direct read; compound=Nap; 27 sites x 37 compounds matrix; original unit ng/g
P02403,7,Nap_ngg,5.07,ng/g,SI Table T0001 (supplementary CSV),soil,e_waste,Zhejiang,SI CSV direct read; compound=Nap; 27 sites x 37 compounds matrix; original unit ng/g
P02403,8,Nap_ngg,17.90,ng/g,SI Table T0001 (supplementary CSV),soil,e_waste,Zhejiang,SI CSV direct read; compound=Nap; 27 sites x 37 compounds matrix; original unit ng/g
P02403,9,Nap_ngg,22.00,ng/g,SI Table T0001 (supplementary CSV),soil,e_waste,Zhejiang,SI CSV direct read; compound=Nap; 27 sites x 37 compounds matrix; original unit ng/g
P02403,10,Nap_ngg,28.50,ng/g,SI Table T0001 (supplementary CSV),soil,e_waste,Zhejiang,SI CSV direct read; compound=Nap; 27 sites x 37 compounds matrix; original unit ng/g
P02403,11–1,Nap_ngg,26.30,ng/g,SI Table T0001 (supplementary CSV),soil,e_waste,Zhejiang,SI CSV direct read; compound=Nap; 27 sites x 37 compounds matrix; original unit ng/g
P02403,11–2,Nap_ngg,54.60,ng/g,SI Table T0001 (supplementary CSV),soil,e_waste,Zhejiang,SI CSV direct read; compound=Nap; 27 sites x 37 compounds matrix; original unit ng/g
