paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes
P04243,A1,SumPCB_ngg,0.023,ng/g,Table 1,soil,industrial,Gansu,"19 PCB单体总和(12 dl-PCBs+7 indicator+CB-209); Table1直接读取; pg/g÷1000=ng/g; 水泥窑协同处置城市垃圾周边土壤"
P04243,A2,SumPCB_ngg,0.0352,ng/g,Table 1,soil,industrial,Gansu,"19 PCB单体总和(12 dl-PCBs+7 indicator+CB-209); Table1直接读取; pg/g÷1000=ng/g; 水泥窑协同处置城市垃圾周边土壤"
P04243,A3,SumPCB_ngg,0.0201,ng/g,Table 1,soil,industrial,Gansu,"19 PCB单体总和(12 dl-PCBs+7 indicator+CB-209); Table1直接读取; pg/g÷1000=ng/g; 水泥窑协同处置城市垃圾周边土壤"
P04243,A4,SumPCB_ngg,0.0461,ng/g,Table 1,soil,industrial,Gansu,"19 PCB单体总和(12 dl-PCBs+7 indicator+CB-209); Table1直接读取; pg/g÷1000=ng/g; 水泥窑协同处置城市垃圾周边土壤"
P04243,A5,SumPCB_ngg,0.0331,ng/g,Table 1,soil,industrial,Gansu,"19 PCB单体总和(12 dl-PCBs+7 indicator+CB-209); Table1直接读取; pg/g÷1000=ng/g; 水泥窑协同处置城市垃圾周边土壤"
P04243,A6,SumPCB_ngg,0.044,ng/g,Table 1,soil,industrial,Gansu,"19 PCB单体总和(12 dl-PCBs+7 indicator+CB-209); Table1直接读取; pg/g÷1000=ng/g; 水泥窑协同处置城市垃圾周边土壤"
P04243,A7,SumPCB_ngg,0.0329,ng/g,Table 1,soil,industrial,Gansu,"19 PCB单体总和(12 dl-PCBs+7 indicator+CB-209); Table1直接读取; pg/g÷1000=ng/g; 水泥窑协同处置城市垃圾周边土壤"
P04243,A8,SumPCB_ngg,0.0224,ng/g,Table 1,soil,industrial,Gansu,"19 PCB单体总和(12 dl-PCBs+7 indicator+CB-209); Table1直接读取; pg/g÷1000=ng/g; 水泥窑协同处置城市垃圾周边土壤"
P04243,A9,SumPCB_ngg,0.036,ng/g,Table 1,soil,industrial,Gansu,"19 PCB单体总和(12 dl-PCBs+7 indicator+CB-209); Table1直接读取; pg/g÷1000=ng/g; 水泥窑协同处置城市垃圾周边土壤"
P04243,A10,SumPCB_ngg,0.0216,ng/g,Table 1,soil,industrial,Gansu,"19 PCB单体总和(12 dl-PCBs+7 indicator+CB-209); Table1直接读取; pg/g÷1000=ng/g; 水泥窑协同处置城市垃圾周边土壤"
P04243,A11,SumPCB_ngg,0.0409,ng/g,Table 1,soil,industrial,Gansu,"19 PCB单体总和(12 dl-PCBs+7 indicator+CB-209); Table1直接读取; pg/g÷1000=ng/g; 水泥窑协同处置城市垃圾周边土壤"
P04243,A12,SumPCB_ngg,0.0211,ng/g,Table 1,soil,industrial,Gansu,"19 PCB单体总和(12 dl-PCBs+7 indicator+CB-209); Table1直接读取; pg/g÷1000=ng/g; 水泥窑协同处置城市垃圾周边土壤"
P04243,A13,SumPCB_ngg,0.0108,ng/g,Table 1,soil,industrial,Gansu,"19 PCB单体总和(12 dl-PCBs+7 indicator+CB-209); Table1直接读取; pg/g÷1000=ng/g; 水泥窑协同处置城市垃圾周边土壤"
P04243,A14,SumPCB_ngg,0.0181,ng/g,Table 1,soil,industrial,Gansu,"19 PCB单体总和(12 dl-PCBs+7 indicator+CB-209); Table1直接读取; pg/g÷1000=ng/g; 水泥窑协同处置城市垃圾周边土壤"
P04243,A15,SumPCB_ngg,0.0595,ng/g,Table 1,soil,industrial,Gansu,"19 PCB单体总和(12 dl-PCBs+7 indicator+CB-209); Table1直接读取; pg/g÷1000=ng/g; 水泥窑协同处置城市垃圾周边土壤"
P04243,A16,SumPCB_ngg,0.0212,ng/g,Table 1,soil,industrial,Gansu,"19 PCB单体总和(12 dl-PCBs+7 indicator+CB-209); Table1直接读取; pg/g÷1000=ng/g; 水泥窑协同处置城市垃圾周边土壤"
P04243,A17,SumPCB_ngg,0.0416,ng/g,Table 1,soil,industrial,Gansu,"19 PCB单体总和(12 dl-PCBs+7 indicator+CB-209); Table1直接读取; pg/g÷1000=ng/g; 水泥窑协同处置城市垃圾周边土壤"
P04243,BKG,SumPCB_ngg,0.011,ng/g,Table 1,soil,industrial,Gansu,"背景参考样(距厂15km自然保护区); 19 PCB单体总和; Table1直接读取; pg/g÷1000=ng/g"
