paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes
P10998,WS-4400,SumPCB_ngg,0.221,ng/g,Table 1,soil,other,Tibet,Table 1 direct read Sigma19PCBs; pg/g div 1000 = ng/g
P10998,WS-4400,SumPBDE_ngg,0.0111,ng/g,Table 1,soil,other,Tibet,Table 1 direct read Sigma16PBDEs; pg/g div 1000 = ng/g
P10998,WS-4300,SumPCB_ngg,0.268,ng/g,Table 1,soil,other,Tibet,Table 1 direct read Sigma19PCBs; pg/g div 1000 = ng/g
P10998,WS-4300,SumPBDE_ngg,0.0093,ng/g,Table 1,soil,other,Tibet,Table 1 direct read Sigma16PBDEs; pg/g div 1000 = ng/g
P10998,WS-4200,SumPCB_ngg,0.099,ng/g,Table 1,soil,other,Tibet,Table 1 direct read Sigma19PCBs; pg/g div 1000 = ng/g
P10998,WS-4200,SumPBDE_ngg,0.0196,ng/g,Table 1,soil,other,Tibet,Table 1 direct read Sigma16PBDEs; pg/g div 1000 = ng/g
P10998,WS-4100,SumPCB_ngg,0.243,ng/g,Table 1,soil,other,Tibet,Table 1 direct read Sigma19PCBs; pg/g div 1000 = ng/g
P10998,WS-4100,SumPBDE_ngg,0.0312,ng/g,Table 1,soil,other,Tibet,Table 1 direct read Sigma16PBDEs; pg/g div 1000 = ng/g
P10998,WS-4000,SumPCB_ngg,0.19,ng/g,Table 1,soil,other,Tibet,Table 1 direct read Sigma19PCBs; pg/g div 1000 = ng/g
P10998,WS-3900,SumPCB_ngg,0.088,ng/g,Table 1,soil,other,Tibet,Table 1 direct read Sigma19PCBs; pg/g div 1000 = ng/g
P10998,WS-3900,SumPBDE_ngg,0.0057,ng/g,Table 1,soil,other,Tibet,Table 1 direct read Sigma16PBDEs; pg/g div 1000 = ng/g
P10998,WS-3800,SumPCB_ngg,0.131,ng/g,Table 1,soil,other,Tibet,Table 1 direct read Sigma19PCBs; pg/g div 1000 = ng/g
P10998,WS-3800,SumPBDE_ngg,0.0154,ng/g,Table 1,soil,other,Tibet,Table 1 direct read Sigma16PBDEs; pg/g div 1000 = ng/g
P10998,LS-4500,SumPCB_ngg,0.033,ng/g,Table 1,soil,other,Tibet,Table 1 direct read Sigma19PCBs; pg/g div 1000 = ng/g
P10998,LS-4500,SumPBDE_ngg,0.013,ng/g,Table 1,soil,other,Tibet,Table 1 direct read Sigma16PBDEs; pg/g div 1000 = ng/g
P10998,LS-4400,SumPCB_ngg,0.064,ng/g,Table 1,soil,other,Tibet,Table 1 direct read Sigma19PCBs; pg/g div 1000 = ng/g
P10998,LS-4400,SumPBDE_ngg,0.0078,ng/g,Table 1,soil,other,Tibet,Table 1 direct read Sigma16PBDEs; pg/g div 1000 = ng/g
P10998,LS-4300,SumPCB_ngg,0.225,ng/g,Table 1,soil,other,Tibet,Table 1 direct read Sigma19PCBs; pg/g div 1000 = ng/g
P10998,LS-4300,SumPBDE_ngg,0.0382,ng/g,Table 1,soil,other,Tibet,Table 1 direct read Sigma16PBDEs; pg/g div 1000 = ng/g
P10998,LS-4200,SumPCB_ngg,0.177,ng/g,Table 1,soil,other,Tibet,Table 1 direct read Sigma19PCBs; pg/g div 1000 = ng/g
P10998,LS-4200,SumPBDE_ngg,0.0114,ng/g,Table 1,soil,other,Tibet,Table 1 direct read Sigma16PBDEs; pg/g div 1000 = ng/g
P10998,LS-4100,SumPCB_ngg,0.147,ng/g,Table 1,soil,other,Tibet,Table 1 direct read Sigma19PCBs; pg/g div 1000 = ng/g
P10998,LS-4100,SumPBDE_ngg,0.0247,ng/g,Table 1,soil,other,Tibet,Table 1 direct read Sigma16PBDEs; pg/g div 1000 = ng/g
P10998,LS-4000,SumPCB_ngg,0.095,ng/g,Table 1,soil,other,Tibet,Table 1 direct read Sigma19PCBs; pg/g div 1000 = ng/g
P10998,LS-4000,SumPBDE_ngg,0.0093,ng/g,Table 1,soil,other,Tibet,Table 1 direct read Sigma16PBDEs; pg/g div 1000 = ng/g
P10998,LS-3900,SumPCB_ngg,0.059,ng/g,Table 1,soil,other,Tibet,Table 1 direct read Sigma19PCBs; pg/g div 1000 = ng/g
P10998,LS-3900,SumPBDE_ngg,0.0106,ng/g,Table 1,soil,other,Tibet,Table 1 direct read Sigma16PBDEs; pg/g div 1000 = ng/g
P10998,LS-3800,SumPCB_ngg,0.08,ng/g,Table 1,soil,other,Tibet,Table 1 direct read Sigma19PCBs; pg/g div 1000 = ng/g
P10998,LS-3800,SumPBDE_ngg,0.0128,ng/g,Table 1,soil,other,Tibet,Table 1 direct read Sigma16PBDEs; pg/g div 1000 = ng/g
