paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Min,Acy_ngg,0.38,Unknown,table_p5_ri2_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Max,Acy_ngg,24.0,Unknown,table_p5_ri2_ci2,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Median,Acy_ngg,3.7,Unknown,table_p5_ri2_ci3,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Mean,Acy_ngg,5.9,Unknown,table_p5_ri2_ci4,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_SD,Acy_ngg,6.1,Unknown,table_p5_ri2_ci5,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Min,Ace_ngg,1.8,Unknown,table_p5_ri3_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Max,Ace_ngg,58.0,Unknown,table_p5_ri3_ci2,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Median,Ace_ngg,5.6,Unknown,table_p5_ri3_ci3,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Mean,Ace_ngg,11.0,Unknown,table_p5_ri3_ci4,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_SD,Ace_ngg,13.0,Unknown,table_p5_ri3_ci5,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
