paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
Shuai Wu - 2012 - Distribution of polychlorinated ,Shuai Wu - 2012 - Distribution of polychlorinated _Min,SumPCB_ngg,2.6,Unknown,table_p2_ri17_ci2,soil,,,phase14_batch2; matrix=score=170:high; conf=medium; flag=,,
Shuai Wu - 2012 - Distribution of polychlorinated ,Shuai Wu - 2012 - Distribution of polychlorinated _Max,SumPCB_ngg,19.56,Unknown,table_p2_ri17_ci3,soil,,,phase14_batch2; matrix=score=170:high; conf=medium; flag=,,
Shuai Wu - 2012 - Distribution of polychlorinated ,Shuai Wu - 2012 - Distribution of polychlorinated _Median,SumPCB_ngg,11.3,Unknown,table_p2_ri17_ci4,soil,,,phase14_batch2; matrix=score=170:high; conf=medium; flag=,,
Shuai Wu - 2012 - Distribution of polychlorinated ,Shuai Wu - 2012 - Distribution of polychlorinated _Mean,SumPCB_ngg,11.01,Unknown,table_p2_ri17_ci5,soil,,,phase14_batch2; matrix=score=170:high; conf=medium; flag=,,
Shuai Wu - 2012 - Distribution of polychlorinated ,Shuai Wu - 2012 - Distribution of polychlorinated _Std._Dev.,SumPCB_ngg,3.982,Unknown,table_p2_ri17_ci6,soil,,,phase14_batch2; matrix=score=170:high; conf=medium; flag=,,
Shuai Wu - 2012 - Distribution of polychlorinated ,Shuai Wu - 2012 - Distribution of polychlorinated _World,SumPCB_ngg,5.41,Unknown,table_p3_ri2_ci2,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
Shuai Wu - 2012 - Distribution of polychlorinated ,Shuai Wu - 2012 - Distribution of polychlorinated _China,SumPCB_ngg,0.424,Unknown,table_p3_ri3_ci2,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
Shuai Wu - 2012 - Distribution of polychlorinated ,Shuai Wu - 2012 - Distribution of polychlorinated _Dalian,SumPCB_ngg,1.337,Unknown,table_p3_ri4_ci2,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
Shuai Wu - 2012 - Distribution of polychlorinated ,Shuai Wu - 2012 - Distribution of polychlorinated _Tibet,SumPCB_ngg,0.186,Unknown,table_p3_ri5_ci2,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
Shuai Wu - 2012 - Distribution of polychlorinated ,Shuai Wu - 2012 - Distribution of polychlorinated _Hong_Kong,SumPCB_ngg,0.11,Unknown,table_p3_ri6_ci2,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
Shuai Wu - 2012 - Distribution of polychlorinated ,Shuai Wu - 2012 - Distribution of polychlorinated _Great_Britain,SumPCB_ngg,5.03,Unknown,table_p3_ri7_ci2,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
Shuai Wu - 2012 - Distribution of polychlorinated ,Shuai Wu - 2012 - Distribution of polychlorinated _Madrid,SumPCB_ngg,32.0,Unknown,table_p3_ri9_ci2,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
Shuai Wu - 2012 - Distribution of polychlorinated ,Shuai Wu - 2012 - Distribution of polychlorinated _Beijing,SumPCB_ngg,11.01,Unknown,table_p3_ri11_ci2,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
Shuai Wu - 2012 - Distribution of polychlorinated ,Shuai Wu - 2012 - Distribution of polychlorinated _Maximum,SumPCB_ngg,0.881,Unknown,table_p4_ri6_ci3,soil,,,phase14_batch2; matrix=score=170:high; conf=medium; flag=,,
Shuai Wu - 2012 - Distribution of polychlorinated ,Shuai Wu - 2012 - Distribution of polychlorinated _Mean,SumPCB_ngg,0.223,Unknown,table_p4_ri6_ci4,soil,,,phase14_batch2; matrix=score=170:high; conf=medium; flag=,,
