paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
_dup_10934529.2021.1927597,_dup_10934529.2021.1927597_$\mathsf_{_R_f_D_}___{_\mathsf_{_o_}_}$,Nap_ngg,0.02,Unknown,table_p4_ri1_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_10934529.2021.1927597,_dup_10934529.2021.1927597_$\mathsf_{_R_f_D___{_d_}_}$,Nap_ngg,0.02,Unknown,table_p4_ri1_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_10934529.2021.1927597,_dup_10934529.2021.1927597_$\mathsf_{_R_f_D_}___{_\mathrm_{_i_}_}$,Nap_ngg,0.00072,Unknown,table_p4_ri1_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_10934529.2021.1927597,_dup_10934529.2021.1927597_$\mathsf_{_R_f_D_}___{_\mathsf_{_o_}_}$,Flu_ngg,0.04,Unknown,table_p4_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_10934529.2021.1927597,_dup_10934529.2021.1927597_$\mathsf_{_R_f_D___{_d_}_}$,Flu_ngg,0.04,Unknown,table_p4_ri4_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_10934529.2021.1927597,_dup_10934529.2021.1927597_$\mathsf_{_R_f_D_}___{_\mathrm_{_i_}_}$,Flu_ngg,0.02,Unknown,table_p4_ri4_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_10934529.2021.1927597,_dup_10934529.2021.1927597_$\mathsf_{_R_f_D_}___{_\mathsf_{_o_}_}$,Phe_ngg,0.03,Unknown,table_p4_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_10934529.2021.1927597,_dup_10934529.2021.1927597_$\mathsf_{_R_f_D___{_d_}_}$,Phe_ngg,0.03,Unknown,table_p4_ri5_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_10934529.2021.1927597,_dup_10934529.2021.1927597_$\mathsf_{_R_f_D_}___{_\mathrm_{_i_}_}$,Phe_ngg,0.015,Unknown,table_p4_ri5_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_10934529.2021.1927597,_dup_10934529.2021.1927597_$\mathsf_{_R_f_D_}___{_\mathsf_{_o_}_}$,Ant_ngg,0.3,Unknown,table_p4_ri6_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_10934529.2021.1927597,_dup_10934529.2021.1927597_$\mathsf_{_R_f_D___{_d_}_}$,Ant_ngg,0.3,Unknown,table_p4_ri6_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_10934529.2021.1927597,_dup_10934529.2021.1927597_$\mathsf_{_R_f_D_}___{_\mathrm_{_i_}_}$,Ant_ngg,0.15,Unknown,table_p4_ri6_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_10934529.2021.1927597,_dup_10934529.2021.1927597_$\mathsf_{_R_f_D_}___{_\mathsf_{_o_}_}$,Pyr_ngg,0.03,Unknown,table_p4_ri8_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_10934529.2021.1927597,_dup_10934529.2021.1927597_$\mathsf_{_R_f_D_}___{_\mathsf_{_o_}_}$,BaP_ngg,0.03,Unknown,table_p4_ri8_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_10934529.2021.1927597,_dup_10934529.2021.1927597_$\mathsf_{_R_f_D___{_d_}_}$,Pyr_ngg,0.03,Unknown,table_p4_ri8_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_10934529.2021.1927597,_dup_10934529.2021.1927597_$\mathsf_{_R_f_D___{_d_}_}$,BaP_ngg,0.03,Unknown,table_p4_ri8_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
