paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
_dup_clen.201400054,_dup_clen.201400054_SQG_ERL-ERM_(ng/g),Nap_ngg,1130.0,Unknown,table_p18_ri2_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_clen.201400054,_dup_clen.201400054_%_of_stations,Nap_ngg,100.0,Unknown,table_p18_ri2_ci2,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_clen.201400054,_dup_clen.201400054_SQG_ERL-ERM_(ng/g),Ace_ngg,342.0,Unknown,table_p18_ri3_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_clen.201400054,_dup_clen.201400054_%_of_stations,Ace_ngg,95.0,Unknown,table_p18_ri3_ci2,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_clen.201400054,_dup_clen.201400054_SQG_TEL-PEL,Ace_ngg,5.0,Unknown,table_p18_ri3_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_clen.201400054,_dup_clen.201400054_SQG_TEL-PEL,pH,12.5,Unknown,table_p18_ri6_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_clen.201400054,_dup_clen.201400054_SQG_ERL-ERM_(ng/g),Flu_ngg,2850.0,Unknown,table_p18_ri8_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_clen.201400054,_dup_clen.201400054_%_of_stations,Flu_ngg,100.0,Unknown,table_p18_ri8_ci2,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_clen.201400054,_dup_clen.201400054_SQG_ERL-ERM_(ng/g),BaA_ngg,930.5,Unknown,table_p18_ri10_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_clen.201400054,_dup_clen.201400054_%_of_stations,BaA_ngg,100.0,Unknown,table_p18_ri10_ci2,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_clen.201400054,_dup_clen.201400054_SQG_ERL-ERM_(ng/g),BaP_ngg,1015.0,Unknown,table_p18_ri14_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_clen.201400054,_dup_clen.201400054_%_of_stations,BaP_ngg,100.0,Unknown,table_p18_ri14_ci2,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_clen.201400054,_dup_clen.201400054_SQG_ERL-ERM_(ng/g),DahA_ngg,161.5,Unknown,table_p18_ri16_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_clen.201400054,_dup_clen.201400054_%_of_stations,DahA_ngg,100.0,Unknown,table_p18_ri16_ci2,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
