paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
_dup_es071956d,_dup_es071956d_Q_district,SumPBDE_ngg,2.3970000000000002,Unknown,table_p2_ri11_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_es071956d,_dup_es071956d_F_district,SumPBDE_ngg,2.4,Unknown,table_p2_ri11_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_es071956d,_dup_es071956d_G_district,SumPBDE_ngg,0.4465,Unknown,table_p2_ri11_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_es071956d,_dup_es071956d_D_district,SumPBDE_ngg,0.454,Unknown,table_p2_ri11_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_es071956d,_dup_es071956d_point-source,SumPBDE_ngg,1.3615,Unknown,table_p2_ri11_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_es071956d,_dup_es071956d_col6,SumPBDE_ngg,0.841,Unknown,table_p2_ri11_ci6,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_es071956d,_dup_es071956d_col7,SumPBDE_ngg,1.0615,Unknown,table_p2_ri11_ci7,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_es071956d,_dup_es071956d_col8,SumPBDE_ngg,0.889,Unknown,table_p2_ri11_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_es071956d,_dup_es071956d_col9,SumPBDE_ngg,2.42,Unknown,table_p2_ri11_ci9,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_es071956d,_dup_es071956d_col10,SumPBDE_ngg,19.5,Unknown,table_p2_ri11_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_es071956d,_dup_es071956d_col11,SumPBDE_ngg,1.93,Unknown,table_p2_ri11_ci11,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_es071956d,_dup_es071956d_UK_and_Norway_7,SumPBDE_ngg,1.36,Unknown,table_p2_ri12_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_es071956d,"_dup_es071956d_Guiyu,_China",SumPBDE_ngg,1086.0,Unknown,table_p2_ri12_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_es071956d,_dup_es071956d_U.S._12,SumPBDE_ngg,940.0,Unknown,table_p2_ri12_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_es071956d,_dup_es071956d_Sweden,SumPBDE_ngg,29.9,Unknown,table_p2_ri12_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_es071956d,_dup_es071956d_PRD,SumPBDE_ngg,0.127,Unknown,table_p2_ri12_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_es071956d,_dup_es071956d_col6,SumPBDE_ngg,284.0,Unknown,table_p2_ri12_ci6,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_es071956d,_dup_es071956d_col7,SumPBDE_ngg,20.0,Unknown,table_p2_ri12_ci7,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_es071956d,_dup_es071956d_col8,SumPBDE_ngg,1.02,Unknown,table_p2_ri12_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_es071956d,_dup_es071956d_col9,SumPBDE_ngg,7.95,Unknown,table_p2_ri12_ci9,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
