paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
_dup_etc.154,_dup_etc.154_$\mathrm_{_B_S_A_F_}_\_(_\times_1_0_^_{_-_2_}_)$,Nap_ngg,48.0,Unknown,table_p4_ri1_ci2,sediment,mining,,phase14_auto; confidence=high; flag=,,
_dup_etc.154,_dup_etc.154_$\mathbf_{_M_}___{_\mathrm_{_d_i_f_f_}_}_\_(_\%_)$,Nap_ngg,17.0,Unknown,table_p4_ri1_ci3,sediment,mining,,phase14_auto; confidence=high; flag=,,
_dup_etc.154,_dup_etc.154_$\mathrm_{_B_S_A_F_}_\_(_\times_1_0_^_{_-_2_}_)$,Acy_ngg,34.0,Unknown,table_p4_ri2_ci2,sediment,mining,,phase14_auto; confidence=high; flag=,,
_dup_etc.154,_dup_etc.154_$\mathbf_{_M_}___{_\mathrm_{_d_i_f_f_}_}_\_(_\%_)$,Acy_ngg,73.0,Unknown,table_p4_ri2_ci3,sediment,mining,,phase14_auto; confidence=high; flag=,,
_dup_etc.154,_dup_etc.154_$\mathrm_{_B_S_A_F_}_\_(_\times_1_0_^_{_-_2_}_)$,Ace_ngg,21.0,Unknown,table_p4_ri3_ci2,sediment,mining,,phase14_auto; confidence=high; flag=,,
_dup_etc.154,_dup_etc.154_$\mathbf_{_M_}___{_\mathrm_{_d_i_f_f_}_}_\_(_\%_)$,Ace_ngg,62.0,Unknown,table_p4_ri3_ci3,sediment,mining,,phase14_auto; confidence=high; flag=,,
_dup_etc.154,_dup_etc.154_$\mathrm_{_B_S_A_F_}_\_(_\times_1_0_^_{_-_2_}_)$,Phe_ngg,22.0,Unknown,table_p4_ri5_ci2,sediment,mining,,phase14_auto; confidence=high; flag=,,
_dup_etc.154,_dup_etc.154_$\mathbf_{_M_}___{_\mathrm_{_d_i_f_f_}_}_\_(_\%_)$,Phe_ngg,70.0,Unknown,table_p4_ri5_ci3,sediment,mining,,phase14_auto; confidence=high; flag=,,
_dup_etc.154,_dup_etc.154_$\mathrm_{_B_S_A_F_}_\_(_\times_1_0_^_{_-_2_}_)$,Ant_ngg,18.0,Unknown,table_p4_ri6_ci2,sediment,mining,,phase14_auto; confidence=high; flag=,,
_dup_etc.154,_dup_etc.154_$\mathbf_{_M_}___{_\mathrm_{_d_i_f_f_}_}_\_(_\%_)$,Ant_ngg,59.0,Unknown,table_p4_ri6_ci3,sediment,mining,,phase14_auto; confidence=high; flag=,,
_dup_etc.154,_dup_etc.154_$\mathrm_{_B_S_A_F_}_\_(_\times_1_0_^_{_-_2_}_)$,Pyr_ngg,5.5,Unknown,table_p4_ri8_ci2,sediment,mining,,phase14_auto; confidence=high; flag=,,
_dup_etc.154,_dup_etc.154_$\mathbf_{_M_}___{_\mathrm_{_d_i_f_f_}_}_\_(_\%_)$,Pyr_ngg,50.0,Unknown,table_p4_ri8_ci3,sediment,mining,,phase14_auto; confidence=high; flag=,,
_dup_etc.154,_dup_etc.154_$\mathrm_{_B_S_A_F_}_\_(_\times_1_0_^_{_-_2_}_)$,BaA_ngg,4.0,Unknown,table_p4_ri9_ci2,sediment,mining,,phase14_auto; confidence=high; flag=,,
_dup_etc.154,_dup_etc.154_$\mathbf_{_M_}___{_\mathrm_{_d_i_f_f_}_}_\_(_\%_)$,BaA_ngg,30.0,Unknown,table_p4_ri9_ci3,sediment,mining,,phase14_auto; confidence=high; flag=,,
_dup_etc.154,_dup_etc.154_$\mathrm_{_B_S_A_F_}_\_(_\times_1_0_^_{_-_2_}_)$,Chr_ngg,3.6,Unknown,table_p4_ri10_ci2,sediment,mining,,phase14_auto; confidence=high; flag=,,
_dup_etc.154,_dup_etc.154_$\mathbf_{_M_}___{_\mathrm_{_d_i_f_f_}_}_\_(_\%_)$,Chr_ngg,20.0,Unknown,table_p4_ri10_ci3,sediment,mining,,phase14_auto; confidence=high; flag=,,
_dup_etc.154,_dup_etc.154_$\mathrm_{_B_S_A_F_}_\_(_\times_1_0_^_{_-_2_}_)$,BbF_ngg,3.0,Unknown,table_p4_ri11_ci2,sediment,mining,,phase14_auto; confidence=high; flag=,,
_dup_etc.154,_dup_etc.154_$\mathbf_{_M_}___{_\mathrm_{_d_i_f_f_}_}_\_(_\%_)$,BbF_ngg,17.0,Unknown,table_p4_ri11_ci3,sediment,mining,,phase14_auto; confidence=high; flag=,,
_dup_etc.154,_dup_etc.154_$\mathrm_{_B_S_A_F_}_\_(_\times_1_0_^_{_-_2_}_)$,BkF_ngg,2.7,Unknown,table_p4_ri12_ci2,sediment,mining,,phase14_auto; confidence=high; flag=,,
_dup_etc.154,_dup_etc.154_$\mathbf_{_M_}___{_\mathrm_{_d_i_f_f_}_}_\_(_\%_)$,BkF_ngg,13.0,Unknown,table_p4_ri12_ci3,sediment,mining,,phase14_auto; confidence=high; flag=,,
_dup_etc.154,_dup_etc.154_$\mathrm_{_B_S_A_F_}_\_(_\times_1_0_^_{_-_2_}_)$,BaP_ngg,2.8,Unknown,table_p4_ri13_ci2,sediment,mining,,phase14_auto; confidence=high; flag=,,
_dup_etc.154,_dup_etc.154_$\mathbf_{_M_}___{_\mathrm_{_d_i_f_f_}_}_\_(_\%_)$,BaP_ngg,11.0,Unknown,table_p4_ri13_ci3,sediment,mining,,phase14_auto; confidence=high; flag=,,
_dup_etc.154,_dup_etc.154_$\mathbf_{_M_}___{_\mathrm_{_d_i_f_f_}_}_\_(_\%_)$,Sum_PAH_ngg,50.0,Unknown,table_p4_ri17_ci3,sediment,mining,,phase14_auto; confidence=high; flag=,,
_dup_etc.154,"_dup_etc.154_Kitimat_Harbour,_Canada",Sum_PAH_ngg,15.0,Unknown,table_p4_ri2_ci1,sediment,mining,,phase14_auto; confidence=high; flag=,,
_dup_etc.154,"_dup_etc.154_Bilbao_Port,_Spain",Sum_PAH_ngg,12.0,Unknown,table_p4_ri3_ci1,sediment,mining,,phase14_auto; confidence=high; flag=,,
_dup_etc.154,"_dup_etc.154_Baltimore_Harbor,_Maryland,_USA",Sum_PAH_ngg,32.0,Unknown,table_p4_ri4_ci1,sediment,mining,,phase14_auto; confidence=high; flag=,,
_dup_etc.154,"_dup_etc.154_San_Francisco_Bay,_California,_USA",Sum_PAH_ngg,17.0,Unknown,table_p4_ri5_ci1,sediment,mining,,phase14_auto; confidence=high; flag=,,
