paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
_dup_ijerph120605775,_dup_ijerph120605775_Arable_Desert_Soil_Area_(AD),Nap_ngg,283.6,Unknown,table_p4_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_Arable_Desert_Soil_Area_(AD),BkF_ngg,4.13,Unknown,table_p4_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_Arable_Desert_Soil_Area_(AD),BaP_ngg,4.98,Unknown,table_p4_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_Arable_Desert_Soil_Area_(AD),Ind_ngg,15.13,Unknown,table_p4_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_Arable_Desert_Soil_Area_(AD),Flu_ngg,8.65,Unknown,table_p4_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_Arable_Desert_Soil_Area_(AD),Phe_ngg,22.82,Unknown,table_p4_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_Arable_Desert_Soil_Area_(AD),Ant_ngg,20.26,Unknown,table_p4_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_Arable_Desert_Soil_Area_(AD),Pyr_ngg,3.52,Unknown,table_p5_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_Arable_Desert_Soil_Area_(AD),BghiP_ngg,0.3,Unknown,table_p5_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_Arable_Desert_Soil_Area_(AD),Sum_PAH_ngg,372.8,Unknown,table_p5_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_Arable_Desert_Soil_Area_(AD),Sum_PAH_ngg,307.8,Unknown,table_p5_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
