paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
_dup_ijerph16010146,_dup_ijerph16010146_0-10_cm,SumHCH_ngg,0.05,Unknown,table_p5_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16010146,_dup_ijerph16010146_10–20_cm,SumHCH_ngg,0.17,Unknown,table_p5_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16010146,_dup_ijerph16010146_0-10_cm,SumHCH_ngg,0.05,Unknown,table_p5_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16010146,_dup_ijerph16010146_10–20_cm,SumHCH_ngg,0.16,Unknown,table_p5_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16010146,_dup_ijerph16010146_0-10_cm,SumHCH_ngg,0.05,Unknown,table_p5_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16010146,_dup_ijerph16010146_10–20_cm,SumHCH_ngg,0.16,Unknown,table_p5_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16010146,_dup_ijerph16010146_0-10_cm,SumHCH_ngg,0.05,Unknown,table_p5_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16010146,_dup_ijerph16010146_10–20_cm,SumHCH_ngg,0.16,Unknown,table_p5_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16010146,_dup_ijerph16010146_0-10_cm,SumDDT_ngg,0.05,Unknown,table_p5_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16010146,_dup_ijerph16010146_10–20_cm,SumDDT_ngg,0.15,Unknown,table_p5_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16010146,_dup_ijerph16010146_Iran,SumOCP_ngg,8.0,Unknown,table_p5_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16010146,_dup_ijerph16010146_Iran,OC_pct,8.0,Unknown,table_p5_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16010146,"_dup_ijerph16010146_China,_Wuhan",SumOCP_ngg,8.0,Unknown,table_p5_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16010146,"_dup_ijerph16010146_China,_Wuhan",OC_pct,8.0,Unknown,table_p5_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16010146,"_dup_ijerph16010146_Taihu_Lake,_China",SumOCP_ngg,8.0,Unknown,table_p5_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16010146,"_dup_ijerph16010146_Taihu_Lake,_China",OC_pct,8.0,Unknown,table_p5_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16010146,_dup_ijerph16010146_Xinghua_Bay_Southeast_China,SumOCP_ngg,12.0,Unknown,table_p5_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16010146,_dup_ijerph16010146_Xinghua_Bay_Southeast_China,OC_pct,12.0,Unknown,table_p5_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16010146,"_dup_ijerph16010146_Tianjin,_China",SumOCP_ngg,8.0,Unknown,table_p6_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16010146,"_dup_ijerph16010146_Tianjin,_China",OC_pct,8.0,Unknown,table_p6_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16010146,"_dup_ijerph16010146_CauBay_River,_Vietnam",SumOCP_ngg,8.0,Unknown,table_p6_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16010146,"_dup_ijerph16010146_CauBay_River,_Vietnam",OC_pct,8.0,Unknown,table_p6_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16010146,"_dup_ijerph16010146_Yangtze_River,_China",SumOCP_ngg,8.0,Unknown,table_p6_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16010146,"_dup_ijerph16010146_Yangtze_River,_China",OC_pct,8.0,Unknown,table_p6_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16010146,_dup_ijerph16010146_East_Central_China,SumOCP_ngg,8.0,Unknown,table_p6_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16010146,_dup_ijerph16010146_East_Central_China,OC_pct,8.0,Unknown,table_p6_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16010146,"_dup_ijerph16010146_Lahore_city,_Pakistan",SumOCP_ngg,9.0,Unknown,table_p6_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16010146,"_dup_ijerph16010146_Lahore_city,_Pakistan",OC_pct,9.0,Unknown,table_p6_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16010146,"_dup_ijerph16010146_Honghu_Lake,_China",SumOCP_ngg,8.0,Unknown,table_p6_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16010146,"_dup_ijerph16010146_Honghu_Lake,_China",OC_pct,8.0,Unknown,table_p6_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
