paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
_dup_ijerph16132302,_dup_ijerph16132302_PAHs_(ng/g),Sum_PAH_ngg,160.66,Unknown,table_p6_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16132302,_dup_ijerph16132302_Depth_(cm),Sum_PAH_ngg,256.67,Unknown,table_p6_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16132302,_dup_ijerph16132302_PAHs_(ng/g),Sum_PAH_ngg,261.33,Unknown,table_p6_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16132302,_dup_ijerph16132302_Depth_(cm),Sum_PAH_ngg,300.23,Unknown,table_p6_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16132302,_dup_ijerph16132302_PAHs_(ng/g),Sum_PAH_ngg,87.77,Unknown,table_p6_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16132302,_dup_ijerph16132302_Depth_(cm),Sum_PAH_ngg,63.59,Unknown,table_p6_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16132302,_dup_ijerph16132302_PAHs_(ng/g),Sum_PAH_ngg,95.05,Unknown,table_p6_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16132302,_dup_ijerph16132302_Depth_(cm),Sum_PAH_ngg,68.01,Unknown,table_p6_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16132302,_dup_ijerph16132302_PAHs_(ng/g),Sum_PAH_ngg,21.22,Unknown,table_p6_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16132302,_dup_ijerph16132302_Depth_(cm),Sum_PAH_ngg,21.87,Unknown,table_p6_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16132302,_dup_ijerph16132302_PAHs_(ng/g),Sum_PAH_ngg,12.41,Unknown,table_p6_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16132302,_dup_ijerph16132302_Depth_(cm),Sum_PAH_ngg,15.51,Unknown,table_p6_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph16132302,_dup_ijerph16132302_Weakly_contaminated,Sum_PAH_ngg,400.0,Unknown,table_p10_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
