paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Proportion_(%),Sum_PAH_ngg,100.0,Unknown,table_p21_ri15_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_TEFs,Nap_ngg,0.001,Unknown,table_p23_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_TEFs,Nap_ngg,0.1,Unknown,table_p23_ri1_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_TEFs,Acy_ngg,0.001,Unknown,table_p23_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_TEFs,Acy_ngg,0.01,Unknown,table_p23_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_TEFs,Ace_ngg,0.001,Unknown,table_p23_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_TEFs,Ace_ngg,0.1,Unknown,table_p23_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_TEFs,Flu_ngg,0.001,Unknown,table_p23_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_TEFs,Flu_ngg,0.1,Unknown,table_p23_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_TEFs,Phe_ngg,0.001,Unknown,table_p23_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_TEFs,Phe_ngg,1.0,Unknown,table_p23_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_TEFs,Ant_ngg,0.01,Unknown,table_p23_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_TEFs,Ant_ngg,1.0,Unknown,table_p23_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_TEFs,Flu_ngg,0.001,Unknown,table_p23_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_TEFs,Flt_ngg,0.001,Unknown,table_p23_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_TEFs,Flu_ngg,0.01,Unknown,table_p23_ri7_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_TEFs,Flt_ngg,0.01,Unknown,table_p23_ri7_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_TEFs,Pyr_ngg,0.001,Unknown,table_p23_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_TEFs,Pyr_ngg,0.1,Unknown,table_p23_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
