paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
_dup_j.chemosphere.2020.127212,"_dup_j.chemosphere.2020.127212_HC5,_acute",SumHCH_ngg,114.0,Unknown,table_p7_ri2_ci1,water,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2020.127212,_dup_j.chemosphere.2020.127212_WQC_(ng/L),SumHCH_ngg,5700.0,Unknown,table_p7_ri2_ci3,water,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2020.127212,_dup_j.chemosphere.2020.127212_$\mathrm_{_H_Q_}_\left(_\mathrm_{_W_a_t_e_r_}_\right)$,SumHCH_ngg,0.01,Unknown,table_p7_ri2_ci4,water,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2020.127212,"_dup_j.chemosphere.2020.127212_${_\mathrm_{_H_C_}_}___{_5_,_\mathrm_{_~_a_c_u_t_e_}_}$",SumHCH_ngg,0.0,Unknown,table_p7_ri2_ci5,water,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2020.127212,"_dup_j.chemosphere.2020.127212_$\mathrm_{_H_C_}___{_5_,_\mathrm_{_\_c_h_r_o_n_i_c_}_}$",SumHCH_ngg,0.0,Unknown,table_p7_ri2_ci6,water,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2020.127212,_dup_j.chemosphere.2020.127212_SpmQC,SumHCH_ngg,7847.0,Unknown,table_p7_ri2_ci7,water,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2020.127212,"_dup_j.chemosphere.2020.127212_HC5,_acute",SumHCH_ngg,1.0,Unknown,table_p7_ri3_ci1,water,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2020.127212,"_dup_j.chemosphere.2020.127212_HC5,_chronic",SumHCH_ngg,0.02,Unknown,table_p7_ri3_ci2,water,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2020.127212,_dup_j.chemosphere.2020.127212_WQC_(ng/L),SumHCH_ngg,12.4,Unknown,table_p7_ri3_ci3,water,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2020.127212,_dup_j.chemosphere.2020.127212_$\mathrm_{_H_Q_}_\left(_\mathrm_{_W_a_t_e_r_}_\right)$,SumHCH_ngg,0.41,Unknown,table_p7_ri3_ci4,water,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2020.127212,"_dup_j.chemosphere.2020.127212_${_\mathrm_{_H_C_}_}___{_5_,_\mathrm_{_~_a_c_u_t_e_}_}$",SumHCH_ngg,0.34,Unknown,table_p7_ri3_ci5,water,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2020.127212,"_dup_j.chemosphere.2020.127212_$\mathrm_{_H_C_}___{_5_,_\mathrm_{_\_c_h_r_o_n_i_c_}_}$",SumHCH_ngg,0.37,Unknown,table_p7_ri3_ci6,water,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2020.127212,_dup_j.chemosphere.2020.127212_HQ_(suspended_particulate_matter),SumHCH_ngg,6.53,Unknown,table_p7_ri3_ci8,water,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2020.127212,"_dup_j.chemosphere.2020.127212_HC5,_acute",SumDDT_ngg,0.19,Unknown,table_p7_ri4_ci1,water,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2020.127212,_dup_j.chemosphere.2020.127212_WQC_(ng/L),SumDDT_ngg,9.47,Unknown,table_p7_ri4_ci3,water,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2020.127212,_dup_j.chemosphere.2020.127212_$\mathrm_{_H_Q_}_\left(_\mathrm_{_W_a_t_e_r_}_\right)$,SumDDT_ngg,16.1,Unknown,table_p7_ri4_ci4,water,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2020.127212,"_dup_j.chemosphere.2020.127212_${_\mathrm_{_H_C_}_}___{_5_,_\mathrm_{_~_a_c_u_t_e_}_}$",SumDDT_ngg,0.86,Unknown,table_p7_ri4_ci5,water,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2020.127212,"_dup_j.chemosphere.2020.127212_$\mathrm_{_H_C_}___{_5_,_\mathrm_{_\_c_h_r_o_n_i_c_}_}$",SumDDT_ngg,1.92,Unknown,table_p7_ri4_ci6,water,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.chemosphere.2020.127212,_dup_j.chemosphere.2020.127212_SpmQC,SumDDT_ngg,8.08,Unknown,table_p7_ri4_ci7,water,agricultural,,phase14_auto; confidence=high; flag=,,
