paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
_dup_j.ecoenv.2013.10.034,_dup_j.ecoenv.2013.10.034_Detection_rate_(%),SumHCH_ngg,10.31,Unknown,table_p2_ri1_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2013.10.034,_dup_j.ecoenv.2013.10.034_Detection_rate_(%),SumHCH_ngg,87.05,Unknown,table_p2_ri2_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2013.10.034,_dup_j.ecoenv.2013.10.034_Detection_rate_(%),SumHCH_ngg,90.24,Unknown,table_p2_ri3_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2013.10.034,_dup_j.ecoenv.2013.10.034_Detection_rate_(%),SumHCH_ngg,35.58,Unknown,table_p2_ri4_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2013.10.034,_dup_j.ecoenv.2013.10.034_Detection_rate_(%),SumDDT_ngg,68.81,Unknown,table_p2_ri7_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2013.10.034,_dup_j.ecoenv.2013.10.034_Detection_rate_(%),SumDDT_ngg,50.97,Unknown,table_p2_ri8_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2013.10.034,_dup_j.ecoenv.2013.10.034_Detection_rate_(%),SumHCH_ngg,51.37,Unknown,table_p2_ri11_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2013.10.034,_dup_j.ecoenv.2013.10.034_Detection_rate_(%),SumDDT_ngg,68.51,Unknown,table_p2_ri12_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2013.10.034,_dup_j.ecoenv.2013.10.034_Taihu,SumDDT_ngg,6.7,Unknown,table_p3_ri2_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.ecoenv.2013.10.034,_dup_j.ecoenv.2013.10.034_Taihu,SumHCH_ngg,6.7,Unknown,table_p3_ri2_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.ecoenv.2013.10.034,_dup_j.ecoenv.2013.10.034_Quanzhou_Bay,SumDDT_ngg,2.56,Unknown,table_p3_ri3_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.ecoenv.2013.10.034,_dup_j.ecoenv.2013.10.034_Quanzhou_Bay,SumHCH_ngg,2.56,Unknown,table_p3_ri3_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.ecoenv.2013.10.034,_dup_j.ecoenv.2013.10.034_Deep_Bay,SumDDT_ngg,3.755,Unknown,table_p3_ri4_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.ecoenv.2013.10.034,_dup_j.ecoenv.2013.10.034_Deep_Bay,SumHCH_ngg,3.755,Unknown,table_p3_ri4_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.ecoenv.2013.10.034,_dup_j.ecoenv.2013.10.034_Sanya_Bay,SumDDT_ngg,0.75,Unknown,table_p3_ri5_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.ecoenv.2013.10.034,_dup_j.ecoenv.2013.10.034_Sanya_Bay,SumHCH_ngg,0.75,Unknown,table_p3_ri5_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.ecoenv.2013.10.034,_dup_j.ecoenv.2013.10.034_Pearl_River_Estuary,SumDDT_ngg,18.6,Unknown,table_p3_ri7_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.ecoenv.2013.10.034,_dup_j.ecoenv.2013.10.034_Pearl_River_Estuary,SumHCH_ngg,18.6,Unknown,table_p3_ri7_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.ecoenv.2013.10.034,_dup_j.ecoenv.2013.10.034_Daya_Bay,SumDDT_ngg,16.384999999999998,Unknown,table_p3_ri8_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.ecoenv.2013.10.034,_dup_j.ecoenv.2013.10.034_Daya_Bay,SumHCH_ngg,16.384999999999998,Unknown,table_p3_ri8_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.ecoenv.2013.10.034,_dup_j.ecoenv.2013.10.034_Deep_Bay,SumDDT_ngg,27.75,Unknown,table_p3_ri10_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.ecoenv.2013.10.034,_dup_j.ecoenv.2013.10.034_Deep_Bay,SumHCH_ngg,27.75,Unknown,table_p3_ri10_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
