paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
_dup_j.ecoenv.2019.110022,_dup_j.ecoenv.2019.110022_CAS_number,SMZ_ngg,103.0,Unknown,table_p1_ri7_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_j.ecoenv.2019.110022,_dup_j.ecoenv.2019.110022_Molecular_weight_(g_mol−1),SMZ_ngg,264.3,Unknown,table_p1_ri7_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_j.ecoenv.2019.110022,_dup_j.ecoenv.2019.110022_$\mathrm_{_p_K___{_a_}_}$,SMZ_ngg,2.29,Unknown,table_p1_ri7_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_j.ecoenv.2019.110022,_dup_j.ecoenv.2019.110022_$\mathrm_{_f___{_n_}_(_p_H_=_8_._1_7_)_^_{_d_}_}$,SMZ_ngg,1.0,Unknown,table_p1_ri7_ci6,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_j.ecoenv.2019.110022,_dup_j.ecoenv.2019.110022_$\log_{_\mathbf_{_D___{_o_w_}_}_}_^_{_\mathrm_{_~_d_~_}_}$,SMZ_ngg,0.44,Unknown,table_p1_ri7_ci7,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_j.ecoenv.2019.110022,_dup_j.ecoenv.2019.110022_Fresh_weight_concentration_a_(μg_kg−¹),SMZ_ngg,0.14,Unknown,table_p7_ri8_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_j.ecoenv.2019.110022,_dup_j.ecoenv.2019.110022_Daily_consumption_(kg)_by_a_70_kg_person_to_reach_TTC,SMZ_ngg,0.045,Unknown,table_p7_ri8_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_j.ecoenv.2019.110022,_dup_j.ecoenv.2019.110022_Daily_consumption_(kg)_by_a_25_kg_person_to_reach_TTC,SMZ_ngg,0.216,Unknown,table_p7_ri8_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_j.ecoenv.2019.110022,_dup_j.ecoenv.2019.110022_col4,SMZ_ngg,0.222,Unknown,table_p7_ri8_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_j.ecoenv.2019.110022,_dup_j.ecoenv.2019.110022_col5,SMZ_ngg,1.25,Unknown,table_p7_ri8_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_j.ecoenv.2019.110022,_dup_j.ecoenv.2019.110022_col6,SMZ_ngg,3.889,Unknown,table_p7_ri8_ci6,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_j.ecoenv.2019.110022,_dup_j.ecoenv.2019.110022_col7,SMZ_ngg,0.81,Unknown,table_p7_ri8_ci7,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_j.ecoenv.2019.110022,_dup_j.ecoenv.2019.110022_col8,SMZ_ngg,0.788,Unknown,table_p7_ri8_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_j.ecoenv.2019.110022,_dup_j.ecoenv.2019.110022_col9,SMZ_ngg,0.214,Unknown,table_p7_ri8_ci9,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_j.ecoenv.2019.110022,_dup_j.ecoenv.2019.110022_col10,SMZ_ngg,0.667,Unknown,table_p7_ri8_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_j.ecoenv.2019.110022,_dup_j.ecoenv.2019.110022_col11,SMZ_ngg,0.139,Unknown,table_p7_ri8_ci11,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
