paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
_dup_j.envpol.2019.05.022,_dup_j.envpol.2019.05.022_Hefei,Sum_PAH_ngg,29.19,Unknown,table_p18_ri1_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2019.05.022,_dup_j.envpol.2019.05.022_Beijing,Sum_PAH_ngg,87.8,Unknown,table_p18_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2019.05.022,_dup_j.envpol.2019.05.022_Chongqing,Sum_PAH_ngg,6.27,Unknown,table_p18_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2019.05.022,_dup_j.envpol.2019.05.022_Chongqing,Sum_PAH_ngg,29.92,Unknown,table_p18_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2019.05.022,_dup_j.envpol.2019.05.022_Fuzhou,Sum_PAH_ngg,45.73,Unknown,table_p18_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2019.05.022,_dup_j.envpol.2019.05.022_Fuzhou,Sum_PAH_ngg,9.4,Unknown,table_p18_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.envpol.2019.05.022,_dup_j.envpol.2019.05.022_Lanzhou,Sum_PAH_ngg,159.5,Unknown,table_p18_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.envpol.2019.05.022,_dup_j.envpol.2019.05.022_Lanzhou,Sum_PAH_ngg,150.0,Unknown,table_p18_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.envpol.2019.05.022,_dup_j.envpol.2019.05.022_Guangzhou,Sum_PAH_ngg,98.0,Unknown,table_p18_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2019.05.022,_dup_j.envpol.2019.05.022_Guangzhou,Sum_PAH_ngg,33.89,Unknown,table_p18_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2019.05.022,_dup_j.envpol.2019.05.022_Nanning,Sum_PAH_ngg,56.88,Unknown,table_p18_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2019.05.022,_dup_j.envpol.2019.05.022_Nanning,Sum_PAH_ngg,59.92,Unknown,table_p18_ri7_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2019.05.022,_dup_j.envpol.2019.05.022_Guiyang,Sum_PAH_ngg,31.49,Unknown,table_p18_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2019.05.022,_dup_j.envpol.2019.05.022_Guiyang,Sum_PAH_ngg,16.9,Unknown,table_p18_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2019.05.022,_dup_j.envpol.2019.05.022_Haikou,Sum_PAH_ngg,6.77,Unknown,table_p18_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2019.05.022,_dup_j.envpol.2019.05.022_Shijiazhuang_Harbin,Sum_PAH_ngg,139.84,Unknown,table_p18_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2019.05.022,_dup_j.envpol.2019.05.022_S11,Sum_PAH_ngg,13.6,Unknown,table_p18_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2019.05.022,_dup_j.envpol.2019.05.022_Zhengzhou,Sum_PAH_ngg,57.7,Unknown,table_p18_ri12_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2019.05.022,_dup_j.envpol.2019.05.022_Zhengzhou,Sum_PAH_ngg,162.0,Unknown,table_p18_ri12_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2019.05.022,_dup_j.envpol.2019.05.022_Wuhan,Sum_PAH_ngg,59.77,Unknown,table_p18_ri13_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2019.05.022,_dup_j.envpol.2019.05.022_Xiangtan,Sum_PAH_ngg,19.31,Unknown,table_p18_ri14_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2019.05.022,_dup_j.envpol.2019.05.022_Anhui,Sum_PAH_ngg,1252.12,Unknown,table_p27_ri2_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2019.05.022,_dup_j.envpol.2019.05.022_Beijing,Sum_PAH_ngg,397.93,Unknown,table_p27_ri3_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2019.05.022,_dup_j.envpol.2019.05.022_Chongqing,Sum_PAH_ngg,382.89,Unknown,table_p27_ri4_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2019.05.022,_dup_j.envpol.2019.05.022_Fujian,Sum_PAH_ngg,229.25,Unknown,table_p27_ri5_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2019.05.022,_dup_j.envpol.2019.05.022_Gansu,Sum_PAH_ngg,892.29,Unknown,table_p27_ri6_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2019.05.022,_dup_j.envpol.2019.05.022_Guangdong,Sum_PAH_ngg,537.27,Unknown,table_p27_ri7_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2019.05.022,_dup_j.envpol.2019.05.022_Guangxi,Sum_PAH_ngg,898.62,Unknown,table_p27_ri8_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2019.05.022,_dup_j.envpol.2019.05.022_Guizhou,Sum_PAH_ngg,1437.23,Unknown,table_p27_ri9_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2019.05.022,_dup_j.envpol.2019.05.022_Hainan,Sum_PAH_ngg,107.71,Unknown,table_p27_ri10_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2019.05.022,_dup_j.envpol.2019.05.022_Hebei,Sum_PAH_ngg,3709.23,Unknown,table_p27_ri11_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
