paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
aaqr-13-01-oa-0026,aaqr-13-01-oa-0026_Ningbo,SumHCH_ngg,16.7,Unknown,table_p3_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
aaqr-13-01-oa-0026,aaqr-13-01-oa-0026_Ningbo,SumHCH_ngg,1.5,Unknown,table_p3_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
aaqr-13-01-oa-0026,aaqr-13-01-oa-0026_Ningbo,SumDDT_ngg,17.7,Unknown,table_p3_ri1_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
aaqr-13-01-oa-0026,aaqr-13-01-oa-0026_Ningbo,SumDDT_ngg,14.3,Unknown,table_p3_ri1_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
aaqr-13-01-oa-0026,aaqr-13-01-oa-0026_Tengchong,SumHCH_ngg,42.0,Unknown,table_p3_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
aaqr-13-01-oa-0026,aaqr-13-01-oa-0026_Tengchong,SumHCH_ngg,130.0,Unknown,table_p3_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
aaqr-13-01-oa-0026,aaqr-13-01-oa-0026_Tengchong,SumDDT_ngg,11.0,Unknown,table_p3_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
aaqr-13-01-oa-0026,aaqr-13-01-oa-0026_Tengchong,SumDDT_ngg,20.0,Unknown,table_p3_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
aaqr-13-01-oa-0026,aaqr-13-01-oa-0026_Tibetan_Plateau,SumHCH_ngg,91.0,Unknown,table_p3_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
aaqr-13-01-oa-0026,aaqr-13-01-oa-0026_Tibetan_Plateau,SumHCH_ngg,15.8,Unknown,table_p3_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
