paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Highland_barley,SumDDT_ngg,4.56,Unknown,table_p3_ri5_ci2,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Rape,SumDDT_ngg,0.305,Unknown,table_p3_ri5_ci3,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Highland_barley,SumDDT_ngg,21.3,Unknown,table_p3_ri6_ci2,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Rape,SumDDT_ngg,6.65,Unknown,table_p3_ri6_ci3,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Highland_barley,SumDDT_ngg,41.6,Unknown,table_p3_ri7_ci2,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Rape,SumDDT_ngg,1.36,Unknown,table_p3_ri7_ci3,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Soil,SumHCH_ngg,0.0019,Unknown,table_p3_ri8_ci1,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Highland_barley,SumHCH_ngg,0.265,Unknown,table_p3_ri8_ci2,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Rape,SumHCH_ngg,0.0353,Unknown,table_p3_ri8_ci3,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Highland_barley,SumHCH_ngg,7.76,Unknown,table_p3_ri9_ci2,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Rape,SumHCH_ngg,0.295,Unknown,table_p3_ri9_ci3,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Highland_barley,SumHCH_ngg,0.153,Unknown,table_p3_ri10_ci2,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Rape,SumHCH_ngg,0.0203,Unknown,table_p3_ri10_ci3,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Highland_barley,SumHCH_ngg,0.189,Unknown,table_p3_ri11_ci2,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Rape,SumHCH_ngg,0.0186,Unknown,table_p3_ri11_ci3,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Highland_barley,SumHCH_ngg,8.36,Unknown,table_p3_ri12_ci2,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Rape,SumHCH_ngg,0.349,Unknown,table_p3_ri12_ci3,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Tibetan_rape,SumDDT_ngg,2.2575000000000003,Unknown,table_p3_ri2_ci1,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=range_mean,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Tibetan_rape,SumHCH_ngg,0.025249999999999998,Unknown,table_p3_ri2_ci2,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=range_mean,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Tibetan_highland_barley,SumDDT_ngg,3.88855,Unknown,table_p3_ri3_ci1,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=range_mean,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Soil_Tibetan_remote_soil,SumHCH_ngg,0.375,Unknown,table_p3_ri4_ci2,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=range_mean,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Antarctica_soil,SumDDT_ngg,3.1599999999999997,Unknown,table_p3_ri5_ci1,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=range_mean,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Antarctica_soil,SumHCH_ngg,0.915,Unknown,table_p3_ri5_ci2,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=range_mean,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_China,SumHCH_ngg,12.049999999999999,Unknown,table_p3_ri6_ci2,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=range_mean,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Southern_china,SumDDT_ngg,67.3,Unknown,table_p3_ri7_ci1,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Southern_china,SumHCH_ngg,4.4,Unknown,table_p3_ri7_ci2,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Northern_China,SumDDT_ngg,80.1,Unknown,table_p3_ri8_ci1,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
