paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
j.ecoenv.2014.01.037,j.ecoenv.2014.01.037_Bighead_carp,Nap_ngg,81.0,Unknown,table_p2_ri2_ci1,water,,,phase14_batch2; matrix=score=24:high; conf=high; flag=,,
j.ecoenv.2014.01.037,j.ecoenv.2014.01.037_Silver_carp,Nap_ngg,1.44,Unknown,table_p2_ri2_ci2,water,,,phase14_batch2; matrix=score=24:high; conf=high; flag=,,
j.ecoenv.2014.01.037,j.ecoenv.2014.01.037_Bighead_carp,Flu_ngg,36.9,Unknown,table_p2_ri5_ci1,water,,,phase14_batch2; matrix=score=24:high; conf=high; flag=,,
j.ecoenv.2014.01.037,j.ecoenv.2014.01.037_Silver_carp,Flu_ngg,11.0,Unknown,table_p2_ri5_ci2,water,,,phase14_batch2; matrix=score=24:high; conf=high; flag=,,
j.ecoenv.2014.01.037,j.ecoenv.2014.01.037_Bighead_carp,Phe_ngg,95.7,Unknown,table_p2_ri6_ci1,water,,,phase14_batch2; matrix=score=24:high; conf=high; flag=,,
j.ecoenv.2014.01.037,j.ecoenv.2014.01.037_Silver_carp,Phe_ngg,28.8,Unknown,table_p2_ri6_ci2,water,,,phase14_batch2; matrix=score=24:high; conf=high; flag=,,
j.ecoenv.2014.01.037,j.ecoenv.2014.01.037_Bighead_carp,Ant_ngg,44.0,Unknown,table_p2_ri7_ci1,water,,,phase14_batch2; matrix=score=24:high; conf=high; flag=,,
j.ecoenv.2014.01.037,j.ecoenv.2014.01.037_Silver_carp,Ant_ngg,13.5,Unknown,table_p2_ri7_ci2,water,,,phase14_batch2; matrix=score=24:high; conf=high; flag=,,
j.ecoenv.2014.01.037,j.ecoenv.2014.01.037_Bighead_carp,Pyr_ngg,66.4,Unknown,table_p2_ri9_ci1,water,,,phase14_batch2; matrix=score=24:high; conf=high; flag=,,
j.ecoenv.2014.01.037,j.ecoenv.2014.01.037_Silver_carp,Pyr_ngg,21.7,Unknown,table_p2_ri9_ci2,water,,,phase14_batch2; matrix=score=24:high; conf=high; flag=,,
j.ecoenv.2014.01.037,j.ecoenv.2014.01.037_Bighead_carp,Chr_ngg,28.7,Unknown,table_p2_ri11_ci1,water,,,phase14_batch2; matrix=score=24:high; conf=high; flag=,,
j.ecoenv.2014.01.037,j.ecoenv.2014.01.037_Silver_carp,Chr_ngg,9.42,Unknown,table_p2_ri11_ci2,water,,,phase14_batch2; matrix=score=24:high; conf=high; flag=,,
j.ecoenv.2014.01.037,j.ecoenv.2014.01.037_Bighead_carp,BbF_ngg,89.4,Unknown,table_p2_ri12_ci1,water,,,phase14_batch2; matrix=score=24:high; conf=high; flag=,,
j.ecoenv.2014.01.037,j.ecoenv.2014.01.037_Silver_carp,BbF_ngg,24.2,Unknown,table_p2_ri12_ci2,water,,,phase14_batch2; matrix=score=24:high; conf=high; flag=,,
j.ecoenv.2014.01.037,j.ecoenv.2014.01.037_Bighead_carp,BkF_ngg,32.2,Unknown,table_p2_ri13_ci1,water,,,phase14_batch2; matrix=score=24:high; conf=high; flag=,,
j.ecoenv.2014.01.037,j.ecoenv.2014.01.037_Silver_carp,BkF_ngg,9.42,Unknown,table_p2_ri13_ci2,water,,,phase14_batch2; matrix=score=24:high; conf=high; flag=,,
j.ecoenv.2014.01.037,j.ecoenv.2014.01.037_Bighead_carp,BaP_ngg,6.85,Unknown,table_p2_ri14_ci1,water,,,phase14_batch2; matrix=score=24:high; conf=high; flag=,,
j.ecoenv.2014.01.037,j.ecoenv.2014.01.037_Silver_carp,BaP_ngg,1.91,Unknown,table_p2_ri14_ci2,water,,,phase14_batch2; matrix=score=24:high; conf=high; flag=,,
j.ecoenv.2014.01.037,j.ecoenv.2014.01.037_Bighead_carp,DahA_ngg,4.84,Unknown,table_p2_ri15_ci1,water,,,phase14_batch2; matrix=score=24:high; conf=high; flag=,,
j.ecoenv.2014.01.037,j.ecoenv.2014.01.037_Silver_carp,DahA_ngg,1.15,Unknown,table_p2_ri15_ci2,water,,,phase14_batch2; matrix=score=24:high; conf=high; flag=,,
j.ecoenv.2014.01.037,j.ecoenv.2014.01.037_Bighead_carp,Sum_PAH_ngg,513.0,Unknown,table_p2_ri18_ci1,water,,,phase14_batch2; matrix=score=24:high; conf=high; flag=,,
j.ecoenv.2014.01.037,j.ecoenv.2014.01.037_Silver_carp,Sum_PAH_ngg,139.0,Unknown,table_p2_ri18_ci2,water,,,phase14_batch2; matrix=score=24:high; conf=high; flag=,,
