paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
j.envpol.2020.116038,j.envpol.2020.116038_Minimum_Maximum_National,HM_total,126.0,Unknown,table_p4_ri1_ci5,soil,,,phase14_batch2; matrix=score=145:high; conf=low; flag=,,
j.envpol.2020.116038,j.envpol.2020.116038_Background_valuec,HM_total,45.7,Unknown,table_p4_ri1_ci7,soil,,,phase14_batch2; matrix=score=145:high; conf=low; flag=,,
j.envpol.2020.116038,j.envpol.2020.116038_Canadian_standardd,HM_total,87.0,Unknown,table_p4_ri1_ci8,soil,,,phase14_batch2; matrix=score=145:high; conf=low; flag=,,
j.envpol.2020.116038,j.envpol.2020.116038_Netherlands_standarde,HM_total,382.0,Unknown,table_p4_ri1_ci9,soil,,,phase14_batch2; matrix=score=145:high; conf=low; flag=,,
j.envpol.2020.116038,j.envpol.2020.116038_Minimum_Maximum_National,OP_total,47.7,Unknown,table_p4_ri13_ci5,soil,,,phase14_batch2; matrix=score=145:high; conf=low; flag=,,
j.envpol.2020.116038,j.envpol.2020.116038_standardb,OP_total,400.0,Unknown,table_p4_ri13_ci6,soil,,,phase14_batch2; matrix=score=145:high; conf=low; flag=,,
j.envpol.2020.116038,j.envpol.2020.116038_Background_valuec,OP_total,23.1,Unknown,table_p4_ri13_ci7,soil,,,phase14_batch2; matrix=score=145:high; conf=low; flag=,,
j.envpol.2020.116038,j.envpol.2020.116038_Canadian_standardd,OP_total,260.0,Unknown,table_p4_ri13_ci8,soil,,,phase14_batch2; matrix=score=145:high; conf=low; flag=,,
j.envpol.2020.116038,j.envpol.2020.116038_Netherlands_standarde,OP_total,530.0,Unknown,table_p4_ri13_ci9,soil,,,phase14_batch2; matrix=score=145:high; conf=low; flag=,,
j.envpol.2020.116038,j.envpol.2020.116038_standardb,SumOCP_ngg,0.09,Unknown,table_p4_ri38_ci6,soil,,,phase14_batch2; matrix=score=145:high; conf=high; flag=,,
j.envpol.2020.116038,j.envpol.2020.116038_standardb,OC_pct,0.09,Unknown,table_p4_ri38_ci6,soil,,,phase14_batch2; matrix=score=145:high; conf=high; flag=,,
j.envpol.2020.116038,j.envpol.2020.116038_Background_valuec,SumOCP_ngg,0.14,Unknown,table_p4_ri38_ci7,soil,,,phase14_batch2; matrix=score=145:high; conf=high; flag=,,
j.envpol.2020.116038,j.envpol.2020.116038_Background_valuec,OC_pct,0.14,Unknown,table_p4_ri38_ci7,soil,,,phase14_batch2; matrix=score=145:high; conf=high; flag=,,
