paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
j.jhazmat.2021.125730,j.jhazmat.2021.125730_Aromatic,Nap_ngg,2.0,Unknown,table_p4_ri1_ci1,soil,,,phase14_batch2; matrix=score=160:high; conf=high; flag=,,
j.jhazmat.2021.125730,j.jhazmat.2021.125730_Standard_deviation,Nap_ngg,3.92,Unknown,table_p4_ri1_ci3,soil,,,phase14_batch2; matrix=score=160:high; conf=high; flag=,,
j.jhazmat.2021.125730,j.jhazmat.2021.125730_Coefficient_variation,Nap_ngg,4.81,Unknown,table_p4_ri1_ci4,soil,,,phase14_batch2; matrix=score=160:high; conf=high; flag=,,
j.jhazmat.2021.125730,j.jhazmat.2021.125730_Geometric_mean,Nap_ngg,0.19,Unknown,table_p4_ri1_ci5,soil,,,phase14_batch2; matrix=score=160:high; conf=high; flag=,,
j.jhazmat.2021.125730,j.jhazmat.2021.125730_90th,Nap_ngg,0.15,Unknown,table_p4_ri1_ci11,soil,,,phase14_batch2; matrix=score=160:high; conf=high; flag=,,
j.jhazmat.2021.125730,j.jhazmat.2021.125730_Aromatic,BaA_ngg,4.0,Unknown,table_p4_ri9_ci1,soil,,,phase14_batch2; matrix=score=160:high; conf=high; flag=,,
j.jhazmat.2021.125730,j.jhazmat.2021.125730_Standard_deviation,BaA_ngg,6.81,Unknown,table_p4_ri9_ci3,soil,,,phase14_batch2; matrix=score=160:high; conf=high; flag=,,
j.jhazmat.2021.125730,j.jhazmat.2021.125730_Coefficient_variation,BaA_ngg,1.56,Unknown,table_p4_ri9_ci4,soil,,,phase14_batch2; matrix=score=160:high; conf=high; flag=,,
j.jhazmat.2021.125730,j.jhazmat.2021.125730_Geometric_mean,BaA_ngg,1.82,Unknown,table_p4_ri9_ci5,soil,,,phase14_batch2; matrix=score=160:high; conf=high; flag=,,
j.jhazmat.2021.125730,j.jhazmat.2021.125730_10th,BaA_ngg,0.15,Unknown,table_p4_ri9_ci7,soil,,,phase14_batch2; matrix=score=160:high; conf=high; flag=,,
j.jhazmat.2021.125730,j.jhazmat.2021.125730_25th,BaA_ngg,0.79,Unknown,table_p4_ri9_ci8,soil,,,phase14_batch2; matrix=score=160:high; conf=high; flag=,,
j.jhazmat.2021.125730,j.jhazmat.2021.125730_50th,BaA_ngg,2.54,Unknown,table_p4_ri9_ci9,soil,,,phase14_batch2; matrix=score=160:high; conf=high; flag=,,
j.jhazmat.2021.125730,j.jhazmat.2021.125730_75th,BaA_ngg,5.33,Unknown,table_p4_ri9_ci10,soil,,,phase14_batch2; matrix=score=160:high; conf=high; flag=,,
j.jhazmat.2021.125730,j.jhazmat.2021.125730_90th,BaA_ngg,9.13,Unknown,table_p4_ri9_ci11,soil,,,phase14_batch2; matrix=score=160:high; conf=high; flag=,,
j.jhazmat.2021.125730,j.jhazmat.2021.125730_Aromatic,BaP_ngg,5.0,Unknown,table_p4_ri13_ci1,soil,,,phase14_batch2; matrix=score=160:high; conf=high; flag=,,
j.jhazmat.2021.125730,j.jhazmat.2021.125730_Standard_deviation,BaP_ngg,3.26,Unknown,table_p4_ri13_ci3,soil,,,phase14_batch2; matrix=score=160:high; conf=high; flag=,,
j.jhazmat.2021.125730,j.jhazmat.2021.125730_Coefficient_variation,BaP_ngg,2.17,Unknown,table_p4_ri13_ci4,soil,,,phase14_batch2; matrix=score=160:high; conf=high; flag=,,
