paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
j.scitotenv.2016.09.133,j.scitotenv.2016.09.133_Central_Europe,SumDDT_ngg,5.895,Unknown,table_p4_ri1_ci2,soil,,,phase14_batch2; matrix=score=150:high; conf=high; flag=range_mean,,
j.scitotenv.2016.09.133,j.scitotenv.2016.09.133_Central_Europe,SumDDT_ngg,13.065,Unknown,table_p4_ri1_ci6,soil,,,phase14_batch2; matrix=score=150:high; conf=high; flag=range_mean,,
j.scitotenv.2016.09.133,"j.scitotenv.2016.09.133_Beijing,_China",SumDDT_ngg,1089.885,Unknown,table_p4_ri2_ci6,soil,,,phase14_batch2; matrix=score=150:high; conf=high; flag=range_mean,,
j.scitotenv.2016.09.133,"j.scitotenv.2016.09.133_Beijing,_China",SumHCH_ngg,4.26,Unknown,table_p4_ri2_ci7,soil,,,phase14_batch2; matrix=score=150:high; conf=high; flag=range_mean,,
j.scitotenv.2016.09.133,"j.scitotenv.2016.09.133_Beijing,_China",SumHCH_ngg,29.18,Unknown,table_p4_ri2_ci9,soil,,,phase14_batch2; matrix=score=150:high; conf=high; flag=range_mean,,
j.scitotenv.2016.09.133,"j.scitotenv.2016.09.133_Shenzhen,_China",SumDDT_ngg,12.705,Unknown,table_p4_ri3_ci1,soil,,,phase14_batch2; matrix=score=150:high; conf=high; flag=range_mean,,
j.scitotenv.2016.09.133,"j.scitotenv.2016.09.133_Shenzhen,_China",SumDDT_ngg,59.705,Unknown,table_p4_ri3_ci2,soil,,,phase14_batch2; matrix=score=150:high; conf=high; flag=range_mean,,
j.scitotenv.2016.09.133,"j.scitotenv.2016.09.133_Shenzhen,_China",SumDDT_ngg,100.465,Unknown,table_p4_ri3_ci6,soil,,,phase14_batch2; matrix=score=150:high; conf=high; flag=range_mean,,
j.scitotenv.2016.09.133,"j.scitotenv.2016.09.133_Shenzhen,_China",SumHCH_ngg,4.944999999999999,Unknown,table_p4_ri3_ci7,soil,,,phase14_batch2; matrix=score=150:high; conf=high; flag=range_mean,,
j.scitotenv.2016.09.133,"j.scitotenv.2016.09.133_Shenzhen,_China",SumHCH_ngg,45.365,Unknown,table_p4_ri3_ci8,soil,,,phase14_batch2; matrix=score=150:high; conf=high; flag=range_mean,,
j.scitotenv.2016.09.133,"j.scitotenv.2016.09.133_Shenzhen,_China",SumHCH_ngg,140.675,Unknown,table_p4_ri3_ci9,soil,,,phase14_batch2; matrix=score=150:high; conf=high; flag=range_mean,,
j.scitotenv.2016.09.133,"j.scitotenv.2016.09.133_Shanghai,_China",SumDDT_ngg,123.92,Unknown,table_p4_ri4_ci6,soil,,,phase14_batch2; matrix=score=150:high; conf=high; flag=range_mean,,
j.scitotenv.2016.09.133,"j.scitotenv.2016.09.133_Kihihi,_Uganda",SumDDT_ngg,15.5,Unknown,table_p4_ri6_ci1,soil,,,phase14_batch2; matrix=score=150:high; conf=high; flag=range_mean,,
j.scitotenv.2016.09.133,"j.scitotenv.2016.09.133_Kihihi,_Uganda",SumDDT_ngg,20.5,Unknown,table_p4_ri6_ci2,soil,,,phase14_batch2; matrix=score=150:high; conf=high; flag=range_mean,,
j.scitotenv.2016.09.133,"j.scitotenv.2016.09.133_Kihihi,_Uganda",SumDDT_ngg,52.0,Unknown,table_p4_ri6_ci6,soil,,,phase14_batch2; matrix=score=150:high; conf=high; flag=range_mean,,
j.scitotenv.2016.09.133,"j.scitotenv.2016.09.133_Narok,_Kenya",SumDDT_ngg,5.33,Unknown,table_p4_ri7_ci2,soil,,,phase14_batch2; matrix=score=150:high; conf=high; flag=range_mean,,
j.scitotenv.2016.09.133,"j.scitotenv.2016.09.133_Narok,_Kenya",SumDDT_ngg,6.605,Unknown,table_p4_ri7_ci6,soil,,,phase14_batch2; matrix=score=150:high; conf=high; flag=range_mean,,
j.scitotenv.2016.09.133,"j.scitotenv.2016.09.133_Hyderabad,_Pakistan",SumDDT_ngg,0.08,Unknown,table_p4_ri8_ci1,soil,,,phase14_batch2; matrix=score=150:high; conf=high; flag=range_mean,,
