paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
s00128-021-03245-0,s00128-021-03245-0_Retention_time_(min),SumHCH_ngg,9.07,Unknown,table_p3_ri1_ci1,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_Correlation_coef-_ficient_(r),SumHCH_ngg,0.9998,Unknown,table_p3_ri1_ci2,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_Detection_frequency_(%),SumHCH_ngg,92.0,Unknown,table_p3_ri1_ci3,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_Retention_time_(min),SumHCH_ngg,10.197,Unknown,table_p3_ri2_ci1,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_Correlation_coef-_ficient_(r),SumHCH_ngg,0.9998,Unknown,table_p3_ri2_ci2,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_Detection_frequency_(%),SumHCH_ngg,73.0,Unknown,table_p3_ri2_ci3,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_Retention_time_(min),SumHCH_ngg,12.433,Unknown,table_p3_ri3_ci1,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_Correlation_coef-_ficient_(r),SumHCH_ngg,0.9991,Unknown,table_p3_ri3_ci2,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_Detection_frequency_(%),SumHCH_ngg,96.0,Unknown,table_p3_ri3_ci3,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_Retention_time_(min),SumHCH_ngg,12.917,Unknown,table_p3_ri4_ci1,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_Correlation_coef-_ficient_(r),SumHCH_ngg,0.9996,Unknown,table_p3_ri4_ci2,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_Detection_frequency_(%),SumHCH_ngg,62.0,Unknown,table_p3_ri4_ci3,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_Maximum,SumHCH_ngg,21.93,Unknown,table_p4_ri1_ci2,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_Det.Fre,SumHCH_ngg,92.0,Unknown,table_p4_ri1_ci5,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_RV,SumHCH_ngg,2.5,Unknown,table_p4_ri1_ci7,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_Maximum,SumHCH_ngg,19.37,Unknown,table_p4_ri2_ci2,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_Det.Fre,SumHCH_ngg,73.0,Unknown,table_p4_ri2_ci5,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_RV,SumHCH_ngg,0.5,Unknown,table_p4_ri2_ci7,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_Maximum,SumHCH_ngg,82.34,Unknown,table_p4_ri3_ci2,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_Det.Fre,SumHCH_ngg,96.0,Unknown,table_p4_ri3_ci5,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_RV,SumHCH_ngg,1.0,Unknown,table_p4_ri3_ci7,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_Maximum,SumHCH_ngg,38.1,Unknown,table_p4_ri4_ci2,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_Det.Fre,SumHCH_ngg,62.0,Unknown,table_p4_ri4_ci5,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_Minimum,SumHCH_ngg,0.19,Unknown,table_p4_ri5_ci1,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_Maximum,SumHCH_ngg,135.28,Unknown,table_p4_ri5_ci2,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_RV,SumHCH_ngg,10.0,Unknown,table_p4_ri5_ci7,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_Minimum,SumDDT_ngg,2.48,Unknown,table_p4_ri10_ci1,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_Maximum,SumDDT_ngg,987.25,Unknown,table_p4_ri10_ci2,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_RV,SumDDT_ngg,2.5,Unknown,table_p4_ri10_ci7,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_Minimum,pH,5.84,Unknown,table_p4_ri11_ci1,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_Maximum,pH,8.7,Unknown,table_p4_ri11_ci2,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_Minimum,OC_pct,0.07,Unknown,table_p4_ri12_ci1,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_Maximum,OC_pct,5.59,Unknown,table_p4_ri12_ci2,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_VL,SumHCH_ngg,2.73,Unknown,table_p6_ri1_ci2,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_VL,SumHCH_ngg,0.59,Unknown,table_p6_ri1_ci3,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_VL,SumHCH_ngg,9.86,Unknown,table_p6_ri1_ci4,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_VL,SumHCH_ngg,0.55,Unknown,table_p6_ri1_ci5,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_VL,SumHCH_ngg,10.77,Unknown,table_p6_ri1_ci6,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_VL,SumDDT_ngg,987.25,Unknown,table_p6_ri1_ci11,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_VL,SumOCP_ngg,994.44,Unknown,table_p6_ri1_ci12,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_S2,SumHCH_ngg,0.03,Unknown,table_p6_ri2_ci3,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_S2,SumHCH_ngg,0.13,Unknown,table_p6_ri2_ci4,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_S2,SumHCH_ngg,1.13,Unknown,table_p6_ri2_ci6,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_S2,SumDDT_ngg,2.71,Unknown,table_p6_ri2_ci11,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
s00128-021-03245-0,s00128-021-03245-0_S2,SumOCP_ngg,5.91,Unknown,table_p6_ri2_ci12,soil,,,phase14_batch2; matrix=score=172:high; conf=high; flag=,,
