paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
s10653-021-01089-5,s10653-021-01089-5_1.65,SumDDT_ngg,1.37,Unknown,table_p5_ri3_ci1,soil,,,phase14_batch2; matrix=score=146:high; conf=high; flag=,,
s10653-021-01089-5,s10653-021-01089-5_0.35,SumDDT_ngg,0.62,Unknown,table_p5_ri3_ci2,soil,,,phase14_batch2; matrix=score=146:high; conf=high; flag=,,
s10653-021-01089-5,s10653-021-01089-5_0.09,SumDDT_ngg,1.47,Unknown,table_p5_ri3_ci3,soil,,,phase14_batch2; matrix=score=146:high; conf=high; flag=,,
s10653-021-01089-5,s10653-021-01089-5_0.09,SumDDT_ngg,0.53,Unknown,table_p5_ri3_ci4,soil,,,phase14_batch2; matrix=score=146:high; conf=high; flag=,,
s10653-021-01089-5,s10653-021-01089-5_0.64,SumDDT_ngg,3.76,Unknown,table_p5_ri3_ci5,soil,,,phase14_batch2; matrix=score=146:high; conf=high; flag=,,
s10653-021-01089-5,s10653-021-01089-5_0.18,SumDDT_ngg,1.7,Unknown,table_p5_ri3_ci6,soil,,,phase14_batch2; matrix=score=146:high; conf=high; flag=,,
s10653-021-01089-5,s10653-021-01089-5_0.19,SumDDT_ngg,0.06,Unknown,table_p5_ri3_ci10,soil,,,phase14_batch2; matrix=score=146:high; conf=high; flag=,,
s10653-021-01089-5,s10653-021-01089-5_0.11,SumDDT_ngg,0.06,Unknown,table_p5_ri3_ci11,soil,,,phase14_batch2; matrix=score=146:high; conf=high; flag=,,
s10653-021-01089-5,s10653-021-01089-5_0.09,SumDDT_ngg,0.6,Unknown,table_p5_ri3_ci12,soil,,,phase14_batch2; matrix=score=146:high; conf=high; flag=,,
s10653-021-01089-5,s10653-021-01089-5_0.09,SumDDT_ngg,0.15,Unknown,table_p5_ri3_ci13,soil,,,phase14_batch2; matrix=score=146:high; conf=high; flag=,,
s10653-021-01089-5,s10653-021-01089-5_0.09,SumDDT_ngg,1.48,Unknown,table_p5_ri3_ci14,soil,,,phase14_batch2; matrix=score=146:high; conf=high; flag=,,
s10653-021-01089-5,s10653-021-01089-5_0.09,SumDDT_ngg,0.41,Unknown,table_p5_ri3_ci15,soil,,,phase14_batch2; matrix=score=146:high; conf=high; flag=,,
s10653-021-01089-5,s10653-021-01089-5_0.09,SumDDT_ngg,0.45,Unknown,table_p5_ri3_ci16,soil,,,phase14_batch2; matrix=score=146:high; conf=high; flag=,,
s10653-021-01089-5,s10653-021-01089-5_0.09,SumDDT_ngg,0.22,Unknown,table_p5_ri3_ci17,soil,,,phase14_batch2; matrix=score=146:high; conf=high; flag=,,
s10653-021-01089-5,s10653-021-01089-5_0.09_0.09,SumDDT_ngg,0.87,Unknown,table_p5_ri3_ci19,soil,,,phase14_batch2; matrix=score=146:high; conf=high; flag=,,
s10653-021-01089-5,s10653-021-01089-5_1.65,SumDDT_ngg,7.28,Unknown,table_p5_ri4_ci1,soil,,,phase14_batch2; matrix=score=146:high; conf=high; flag=,,
s10653-021-01089-5,s10653-021-01089-5_0.35,SumDDT_ngg,1.77,Unknown,table_p5_ri4_ci2,soil,,,phase14_batch2; matrix=score=146:high; conf=high; flag=,,
s10653-021-01089-5,s10653-021-01089-5_0.09,SumDDT_ngg,2.21,Unknown,table_p5_ri4_ci3,soil,,,phase14_batch2; matrix=score=146:high; conf=high; flag=,,
s10653-021-01089-5,s10653-021-01089-5_0.09,SumDDT_ngg,0.82,Unknown,table_p5_ri4_ci4,soil,,,phase14_batch2; matrix=score=146:high; conf=high; flag=,,
s10653-021-01089-5,s10653-021-01089-5_0.64,SumDDT_ngg,8.85,Unknown,table_p5_ri4_ci5,soil,,,phase14_batch2; matrix=score=146:high; conf=high; flag=,,
s10653-021-01089-5,s10653-021-01089-5_0.18,SumDDT_ngg,2.75,Unknown,table_p5_ri4_ci6,soil,,,phase14_batch2; matrix=score=146:high; conf=high; flag=,,
s10653-021-01089-5,s10653-021-01089-5_0.19,SumDDT_ngg,1.0,Unknown,table_p5_ri4_ci10,soil,,,phase14_batch2; matrix=score=146:high; conf=high; flag=,,
s10653-021-01089-5,s10653-021-01089-5_0.11,SumDDT_ngg,0.39,Unknown,table_p5_ri4_ci11,soil,,,phase14_batch2; matrix=score=146:high; conf=high; flag=,,
s10653-021-01089-5,s10653-021-01089-5_0.09,SumDDT_ngg,2.09,Unknown,table_p5_ri4_ci12,soil,,,phase14_batch2; matrix=score=146:high; conf=high; flag=,,
