paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
s10661-016-5156-z,s10661-016-5156-z_Aromatic_rings,Nap_ngg,2.0,Unknown,table_p5_ri2_ci1,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_TEF,Nap_ngg,0.001,Unknown,table_p5_ri2_ci2,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_Suburban_soils_(n=_162),Nap_ngg,4.4,Unknown,table_p5_ri2_ci3,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_Rural_soils_(n_=_73),Nap_ngg,9.6,Unknown,table_p5_ri2_ci4,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_Aromatic_rings,Phe_ngg,3.0,Unknown,table_p5_ri6_ci1,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_Rural_soils_(n_=_73),Phe_ngg,14.1,Unknown,table_p5_ri6_ci4,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_Aromatic_rings,Ant_ngg,3.0,Unknown,table_p5_ri7_ci1,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_TEF,Ant_ngg,0.01,Unknown,table_p5_ri7_ci2,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_Suburban_soils_(n=_162),Ant_ngg,0.5,Unknown,table_p5_ri7_ci3,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_Rural_soils_(n_=_73),Ant_ngg,1.8,Unknown,table_p5_ri7_ci4,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_Aromatic_rings,Flt_ngg,4.0,Unknown,table_p5_ri8_ci1,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_Rural_soils_(n_=_73),Flt_ngg,11.1,Unknown,table_p5_ri8_ci4,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_Aromatic_rings,Pyr_ngg,4.0,Unknown,table_p5_ri9_ci1,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_Rural_soils_(n_=_73),Pyr_ngg,9.0,Unknown,table_p5_ri9_ci4,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_Aromatic_rings,BaA_ngg,4.0,Unknown,table_p5_ri10_ci1,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_TEF,BaA_ngg,0.1,Unknown,table_p5_ri10_ci2,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_Suburban_soils_(n=_162),BaA_ngg,0.8,Unknown,table_p5_ri10_ci3,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_Rural_soils_(n_=_73),BaA_ngg,4.9,Unknown,table_p5_ri10_ci4,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_Aromatic_rings,Chr_ngg,4.0,Unknown,table_p5_ri11_ci1,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_TEF,Chr_ngg,0.01,Unknown,table_p5_ri11_ci2,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_Suburban_soils_(n=_162),Chr_ngg,1.8,Unknown,table_p5_ri11_ci3,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_Rural_soils_(n_=_73),Chr_ngg,9.3,Unknown,table_p5_ri11_ci4,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_Aromatic_rings,BbF_ngg,5.0,Unknown,table_p5_ri12_ci1,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_TEF,BbF_ngg,0.1,Unknown,table_p5_ri12_ci2,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_Suburban_soils_(n=_162),BbF_ngg,2.5,Unknown,table_p5_ri12_ci3,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_Rural_soils_(n_=_73),BbF_ngg,17.3,Unknown,table_p5_ri12_ci4,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_Aromatic_rings,BkF_ngg,5.0,Unknown,table_p5_ri13_ci1,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_TEF,BkF_ngg,0.1,Unknown,table_p5_ri13_ci2,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_Suburban_soils_(n=_162),BkF_ngg,0.7,Unknown,table_p5_ri13_ci3,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_Rural_soils_(n_=_73),BkF_ngg,9.5,Unknown,table_p5_ri13_ci4,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_Aromatic_rings,BaP_ngg,5.0,Unknown,table_p5_ri14_ci1,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_TEF,BaP_ngg,1.0,Unknown,table_p5_ri14_ci2,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_Suburban_soils_(n=_162),BaP_ngg,0.8,Unknown,table_p5_ri14_ci3,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_Rural_soils_(n_=_73),BaP_ngg,5.3,Unknown,table_p5_ri14_ci4,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_Aromatic_rings,Ind_ngg,6.0,Unknown,table_p5_ri15_ci1,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_TEF,Ind_ngg,0.1,Unknown,table_p5_ri15_ci2,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_Suburban_soils_(n=_162),Ind_ngg,1.2,Unknown,table_p5_ri15_ci3,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_Rural_soils_(n_=_73),Ind_ngg,7.7,Unknown,table_p5_ri15_ci4,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_Aromatic_rings,BghiP_ngg,6.0,Unknown,table_p5_ri17_ci1,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_TEF,BghiP_ngg,0.01,Unknown,table_p5_ri17_ci2,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_Suburban_soils_(n=_162),BghiP_ngg,1.4,Unknown,table_p5_ri17_ci3,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_Rural_soils_(n_=_73),BghiP_ngg,8.0,Unknown,table_p5_ri17_ci4,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_Suburban_soils_(n=_162),Sum_PAH_ngg,13.4,Unknown,table_p5_ri18_ci3,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_Rural_soils_(n_=_73),Sum_PAH_ngg,29.7,Unknown,table_p5_ri18_ci4,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_Suburban_soils_(n=_162),Sum_PAH_ngg,15.2,Unknown,table_p5_ri19_ci3,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
s10661-016-5156-z,s10661-016-5156-z_Rural_soils_(n_=_73),Sum_PAH_ngg,90.8,Unknown,table_p5_ri19_ci4,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
