paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
s11356-022-20623-1,s11356-022-20623-1_Aboveground_part,Sum_PAH_ngg,2189.0,Unknown,table_p3_ri2_ci2,soil,,,phase14_batch2; matrix=score=111:high; conf=high; flag=,,
s11356-022-20623-1,s11356-022-20623-1_Aboveground_part,Sum_PAH_ngg,1980.71,Unknown,table_p3_ri2_ci3,soil,,,phase14_batch2; matrix=score=111:high; conf=high; flag=,,
s11356-022-20623-1,s11356-022-20623-1_Aboveground_part,Sum_PAH_ngg,906.95,Unknown,table_p3_ri2_ci4,soil,,,phase14_batch2; matrix=score=111:high; conf=high; flag=,,
s11356-022-20623-1,s11356-022-20623-1_Carrot,Sum_PAH_ngg,2669.48,Unknown,table_p3_ri3_ci2,soil,,,phase14_batch2; matrix=score=111:high; conf=high; flag=,,
s11356-022-20623-1,s11356-022-20623-1_Carrot,Sum_PAH_ngg,1249.98,Unknown,table_p3_ri3_ci3,soil,,,phase14_batch2; matrix=score=111:high; conf=high; flag=,,
s11356-022-20623-1,s11356-022-20623-1_Carrot,Sum_PAH_ngg,2949.18,Unknown,table_p3_ri3_ci4,soil,,,phase14_batch2; matrix=score=111:high; conf=high; flag=,,
s11356-022-20623-1,s11356-022-20623-1_Pea,Sum_PAH_ngg,1890.66,Unknown,table_p3_ri4_ci2,soil,,,phase14_batch2; matrix=score=111:high; conf=high; flag=,,
s11356-022-20623-1,s11356-022-20623-1_Pea,Sum_PAH_ngg,1230.55,Unknown,table_p3_ri4_ci3,soil,,,phase14_batch2; matrix=score=111:high; conf=high; flag=,,
s11356-022-20623-1,s11356-022-20623-1_Pea,Sum_PAH_ngg,2178.17,Unknown,table_p3_ri4_ci4,soil,,,phase14_batch2; matrix=score=111:high; conf=high; flag=,,
s11356-022-20623-1,s11356-022-20623-1_Rice,Sum_PAH_ngg,1533.9,Unknown,table_p3_ri5_ci2,soil,,,phase14_batch2; matrix=score=111:high; conf=high; flag=,,
s11356-022-20623-1,s11356-022-20623-1_Rice,Sum_PAH_ngg,821.54,Unknown,table_p3_ri5_ci3,soil,,,phase14_batch2; matrix=score=111:high; conf=high; flag=,,
s11356-022-20623-1,s11356-022-20623-1_Rice,Sum_PAH_ngg,2930.87,Unknown,table_p3_ri5_ci4,soil,,,phase14_batch2; matrix=score=111:high; conf=high; flag=,,
s11356-022-20623-1,s11356-022-20623-1_Underground_part,Sum_PAH_ngg,1355.7,Unknown,table_p3_ri6_ci2,soil,,,phase14_batch2; matrix=score=111:high; conf=high; flag=,,
s11356-022-20623-1,s11356-022-20623-1_Underground_part,Sum_PAH_ngg,1269.47,Unknown,table_p3_ri6_ci3,soil,,,phase14_batch2; matrix=score=111:high; conf=high; flag=,,
s11356-022-20623-1,s11356-022-20623-1_Underground_part,Sum_PAH_ngg,729.02,Unknown,table_p3_ri6_ci4,soil,,,phase14_batch2; matrix=score=111:high; conf=high; flag=,,
s11356-022-20623-1,s11356-022-20623-1_Carrot,Sum_PAH_ngg,1411.66,Unknown,table_p3_ri7_ci2,soil,,,phase14_batch2; matrix=score=111:high; conf=high; flag=,,
s11356-022-20623-1,s11356-022-20623-1_Carrot,Sum_PAH_ngg,744.47,Unknown,table_p3_ri7_ci3,soil,,,phase14_batch2; matrix=score=111:high; conf=high; flag=,,
s11356-022-20623-1,s11356-022-20623-1_Carrot,Sum_PAH_ngg,2301.33,Unknown,table_p3_ri7_ci4,soil,,,phase14_batch2; matrix=score=111:high; conf=high; flag=,,
s11356-022-20623-1,s11356-022-20623-1_Pea,Sum_PAH_ngg,1079.22,Unknown,table_p3_ri8_ci2,soil,,,phase14_batch2; matrix=score=111:high; conf=high; flag=,,
s11356-022-20623-1,s11356-022-20623-1_Pea,Sum_PAH_ngg,860.94,Unknown,table_p3_ri8_ci3,soil,,,phase14_batch2; matrix=score=111:high; conf=high; flag=,,
s11356-022-20623-1,s11356-022-20623-1_Pea,Sum_PAH_ngg,1579.85,Unknown,table_p3_ri8_ci4,soil,,,phase14_batch2; matrix=score=111:high; conf=high; flag=,,
s11356-022-20623-1,s11356-022-20623-1_Rice,Sum_PAH_ngg,1232.65,Unknown,table_p3_ri9_ci2,soil,,,phase14_batch2; matrix=score=111:high; conf=high; flag=,,
s11356-022-20623-1,s11356-022-20623-1_Rice,Sum_PAH_ngg,672.78,Unknown,table_p3_ri9_ci3,soil,,,phase14_batch2; matrix=score=111:high; conf=high; flag=,,
s11356-022-20623-1,s11356-022-20623-1_Rice,Sum_PAH_ngg,1750.01,Unknown,table_p3_ri9_ci4,soil,,,phase14_batch2; matrix=score=111:high; conf=high; flag=,,
