paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
s41598-024-80314-4,s41598-024-80314-4_CV_(%),Clay_pct,25.0,Unknown,table_p2_ri5_ci5,soil,,,phase14_batch2; matrix=score=282:high; conf=high; flag=,,
s41598-024-80314-4,s41598-024-80314-4_CV_(%),Silt_pct,23.0,Unknown,table_p2_ri6_ci5,soil,,,phase14_batch2; matrix=score=282:high; conf=high; flag=,,
s41598-024-80314-4,s41598-024-80314-4_CV_(%),Sand_pct,15.0,Unknown,table_p2_ri7_ci5,soil,,,phase14_batch2; matrix=score=282:high; conf=high; flag=,,
s41598-024-80314-4,s41598-024-80314-4_CV_(%),pH,3.1,Unknown,table_p2_ri13_ci5,soil,,,phase14_batch2; matrix=score=282:high; conf=high; flag=,,
s41598-024-80314-4,s41598-024-80314-4_CV_(%),Nap_ngg,47.0,Unknown,table_p2_ri14_ci5,soil,,,phase14_batch2; matrix=score=282:high; conf=high; flag=,,
s41598-024-80314-4,s41598-024-80314-4_CV_(%),Flu_ngg,20.7,Unknown,table_p2_ri15_ci5,soil,,,phase14_batch2; matrix=score=282:high; conf=high; flag=,,
s41598-024-80314-4,s41598-024-80314-4_CV_(%),Phe_ngg,27.0,Unknown,table_p2_ri16_ci5,soil,,,phase14_batch2; matrix=score=282:high; conf=high; flag=,,
s41598-024-80314-4,s41598-024-80314-4_CV_(%),Ant_ngg,21.1,Unknown,table_p2_ri17_ci5,soil,,,phase14_batch2; matrix=score=282:high; conf=high; flag=,,
s41598-024-80314-4,s41598-024-80314-4_CV_(%),Pyr_ngg,50.3,Unknown,table_p2_ri19_ci5,soil,,,phase14_batch2; matrix=score=282:high; conf=high; flag=,,
s41598-024-80314-4,s41598-024-80314-4_CV_(%),BaA_ngg,45.5,Unknown,table_p2_ri20_ci5,soil,,,phase14_batch2; matrix=score=282:high; conf=high; flag=,,
s41598-024-80314-4,s41598-024-80314-4_CV_(%),Chr_ngg,60.6,Unknown,table_p2_ri21_ci5,soil,,,phase14_batch2; matrix=score=282:high; conf=high; flag=,,
s41598-024-80314-4,s41598-024-80314-4_CV_(%),BbF_ngg,38.8,Unknown,table_p2_ri22_ci5,soil,,,phase14_batch2; matrix=score=282:high; conf=high; flag=,,
s41598-024-80314-4,s41598-024-80314-4_CV_(%),BkF_ngg,27.3,Unknown,table_p2_ri23_ci5,soil,,,phase14_batch2; matrix=score=282:high; conf=high; flag=,,
s41598-024-80314-4,s41598-024-80314-4_CV_(%),BaP_ngg,38.8,Unknown,table_p2_ri24_ci5,soil,,,phase14_batch2; matrix=score=282:high; conf=high; flag=,,
s41598-024-80314-4,s41598-024-80314-4_CV_(%),Sum_PAH_ngg,392.0,Unknown,table_p2_ri25_ci5,soil,,,phase14_batch2; matrix=score=282:high; conf=high; flag=,,
s41598-024-80314-4,s41598-024-80314-4_CV_(%),Sum_PAH_ngg,68.1,Unknown,table_p2_ri26_ci5,soil,,,phase14_batch2; matrix=score=282:high; conf=high; flag=,,
s41598-024-80314-4,s41598-024-80314-4_CV_(%),Sum_PAH_ngg,256.0,Unknown,table_p2_ri27_ci5,soil,,,phase14_batch2; matrix=score=282:high; conf=high; flag=,,
