paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
scias46_80,scias46_80_Min,Nap_ngg,1.7,Unknown,table_p1_ri1_ci1,soil,,,phase14_batch2; matrix=score=94:high; conf=medium; flag=,,
scias46_80,scias46_80_Max,Nap_ngg,79.0,Unknown,table_p1_ri1_ci2,soil,,,phase14_batch2; matrix=score=94:high; conf=medium; flag=,,
scias46_80,scias46_80_Mean,Nap_ngg,17.2,Unknown,table_p1_ri1_ci3,soil,,,phase14_batch2; matrix=score=94:high; conf=medium; flag=,,
scias46_80,scias46_80_Median,Nap_ngg,11.8,Unknown,table_p1_ri1_ci4,soil,,,phase14_batch2; matrix=score=94:high; conf=medium; flag=,,
scias46_80,scias46_80_SD,Nap_ngg,15.79,Unknown,table_p1_ri1_ci5,soil,,,phase14_batch2; matrix=score=94:high; conf=medium; flag=,,
scias46_80,scias46_80_Min,Ace_ngg,1.3,Unknown,table_p1_ri3_ci1,soil,,,phase14_batch2; matrix=score=94:high; conf=medium; flag=,,
scias46_80,scias46_80_Max,Ace_ngg,86.8,Unknown,table_p1_ri3_ci2,soil,,,phase14_batch2; matrix=score=94:high; conf=medium; flag=,,
scias46_80,scias46_80_Mean,Ace_ngg,21.5,Unknown,table_p1_ri3_ci3,soil,,,phase14_batch2; matrix=score=94:high; conf=medium; flag=,,
scias46_80,scias46_80_Median,Ace_ngg,14.1,Unknown,table_p1_ri3_ci4,soil,,,phase14_batch2; matrix=score=94:high; conf=medium; flag=,,
scias46_80,scias46_80_SD,Ace_ngg,19.23,Unknown,table_p1_ri3_ci5,soil,,,phase14_batch2; matrix=score=94:high; conf=medium; flag=,,
scias46_80,scias46_80_Min,Phe_ngg,56.2,Unknown,table_p1_ri5_ci1,soil,,,phase14_batch2; matrix=score=94:high; conf=medium; flag=,,
scias46_80,scias46_80_Max,Phe_ngg,915.6,Unknown,table_p1_ri5_ci2,soil,,,phase14_batch2; matrix=score=94:high; conf=medium; flag=,,
scias46_80,scias46_80_Mean,Phe_ngg,295.7,Unknown,table_p1_ri5_ci3,soil,,,phase14_batch2; matrix=score=94:high; conf=medium; flag=,,
scias46_80,scias46_80_Median,Phe_ngg,217.7,Unknown,table_p1_ri5_ci4,soil,,,phase14_batch2; matrix=score=94:high; conf=medium; flag=,,
scias46_80,scias46_80_SD,Phe_ngg,235.52,Unknown,table_p1_ri5_ci5,soil,,,phase14_batch2; matrix=score=94:high; conf=medium; flag=,,
scias46_80,scias46_80_Min,Pyr_ngg,189.2,Unknown,table_p1_ri8_ci1,soil,,,phase14_batch2; matrix=score=94:high; conf=medium; flag=,,
scias46_80,scias46_80_Max,Pyr_ngg,2173.4,Unknown,table_p1_ri8_ci2,soil,,,phase14_batch2; matrix=score=94:high; conf=medium; flag=,,
scias46_80,scias46_80_Mean,Pyr_ngg,585.5,Unknown,table_p1_ri8_ci3,soil,,,phase14_batch2; matrix=score=94:high; conf=medium; flag=,,
scias46_80,scias46_80_Median,Pyr_ngg,392.8,Unknown,table_p1_ri8_ci4,soil,,,phase14_batch2; matrix=score=94:high; conf=medium; flag=,,
scias46_80,scias46_80_SD,Pyr_ngg,539.79,Unknown,table_p1_ri8_ci5,soil,,,phase14_batch2; matrix=score=94:high; conf=medium; flag=,,
scias46_80,scias46_80_Min,Sum_PAH_ngg,546.1,Unknown,table_p1_ri19_ci1,soil,,,phase14_batch2; matrix=score=94:high; conf=medium; flag=,,
scias46_80,scias46_80_Max,Sum_PAH_ngg,5742.3,Unknown,table_p1_ri19_ci2,soil,,,phase14_batch2; matrix=score=94:high; conf=medium; flag=,,
scias46_80,scias46_80_Mean,Sum_PAH_ngg,1510.4,Unknown,table_p1_ri19_ci3,soil,,,phase14_batch2; matrix=score=94:high; conf=medium; flag=,,
scias46_80,scias46_80_Median,Sum_PAH_ngg,1108.7,Unknown,table_p1_ri19_ci4,soil,,,phase14_batch2; matrix=score=94:high; conf=medium; flag=,,
scias46_80,scias46_80_SD,Sum_PAH_ngg,1207.19,Unknown,table_p1_ri19_ci5,soil,,,phase14_batch2; matrix=score=94:high; conf=medium; flag=,,
scias46_80,scias46_80_TEF,Phe_ngg,0.001,Unknown,table_p4_ri5_ci1,soil,,,phase14_batch2; matrix=score=94:high; conf=high; flag=,,
