paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
sustainability-15-16801,sustainability-15-16801_Statistical_Parameters_(ng/g),SumHCH_ngg,0.33,Unknown,table_p5_ri2_ci1,soil,,,phase14_batch2; matrix=score=276:high; conf=high; flag=,,
sustainability-15-16801,sustainability-15-16801_MDLs_(ng/g),SumHCH_ngg,1.38,Unknown,table_p5_ri2_ci3,soil,,,phase14_batch2; matrix=score=276:high; conf=high; flag=,,
sustainability-15-16801,sustainability-15-16801_DF,SumHCH_ngg,1.0,Unknown,table_p5_ri2_ci4,soil,,,phase14_batch2; matrix=score=276:high; conf=high; flag=,,
sustainability-15-16801,sustainability-15-16801_MDLs_(ng/g),SumHCH_ngg,4.94,Unknown,table_p5_ri3_ci3,soil,,,phase14_batch2; matrix=score=276:high; conf=high; flag=,,
sustainability-15-16801,sustainability-15-16801_DF,SumHCH_ngg,3.23,Unknown,table_p5_ri3_ci4,soil,,,phase14_batch2; matrix=score=276:high; conf=high; flag=,,
sustainability-15-16801,sustainability-15-16801_Statistical_Parameters_(ng/g),SumHCH_ngg,1.54,Unknown,table_p5_ri4_ci1,soil,,,phase14_batch2; matrix=score=276:high; conf=high; flag=,,
sustainability-15-16801,sustainability-15-16801_MDLs_(ng/g),SumHCH_ngg,7.24,Unknown,table_p5_ri4_ci3,soil,,,phase14_batch2; matrix=score=276:high; conf=high; flag=,,
sustainability-15-16801,sustainability-15-16801_DF,SumHCH_ngg,6.42,Unknown,table_p5_ri4_ci4,soil,,,phase14_batch2; matrix=score=276:high; conf=high; flag=,,
sustainability-15-16801,sustainability-15-16801_Statistical_Parameters_(ng/g),SumHCH_ngg,0.15,Unknown,table_p5_ri5_ci1,soil,,,phase14_batch2; matrix=score=276:high; conf=high; flag=,,
sustainability-15-16801,sustainability-15-16801_MDLs_(ng/g),SumHCH_ngg,2.11,Unknown,table_p5_ri5_ci3,soil,,,phase14_batch2; matrix=score=276:high; conf=high; flag=,,
sustainability-15-16801,sustainability-15-16801_DF,SumHCH_ngg,1.58,Unknown,table_p5_ri5_ci4,soil,,,phase14_batch2; matrix=score=276:high; conf=high; flag=,,
sustainability-15-16801,sustainability-15-16801_Statistical_Parameters_(ng/g),SumHCH_ngg,2.62,Unknown,table_p5_ri20_ci1,soil,,,phase14_batch2; matrix=score=276:high; conf=high; flag=,,
sustainability-15-16801,sustainability-15-16801_MDLs_(ng/g),SumHCH_ngg,16.36,Unknown,table_p5_ri20_ci3,soil,,,phase14_batch2; matrix=score=276:high; conf=high; flag=,,
sustainability-15-16801,sustainability-15-16801_DF,SumHCH_ngg,14.08,Unknown,table_p5_ri20_ci4,soil,,,phase14_batch2; matrix=score=276:high; conf=high; flag=,,
sustainability-15-16801,sustainability-15-16801_Statistical_Parameters_(ng/g),SumDDT_ngg,4.4,Unknown,table_p5_ri21_ci1,soil,,,phase14_batch2; matrix=score=276:high; conf=high; flag=,,
sustainability-15-16801,sustainability-15-16801_MDLs_(ng/g),SumDDT_ngg,11.87,Unknown,table_p5_ri21_ci3,soil,,,phase14_batch2; matrix=score=276:high; conf=high; flag=,,
sustainability-15-16801,sustainability-15-16801_DF,SumDDT_ngg,10.8,Unknown,table_p5_ri21_ci4,soil,,,phase14_batch2; matrix=score=276:high; conf=high; flag=,,
sustainability-15-16801,sustainability-15-16801_DF,OC_pct,0.02,Unknown,table_p5_ri27_ci4,soil,,,phase14_batch2; matrix=score=276:high; conf=high; flag=,,
