paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留,同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留_Sample_1,SumHCH_ngg,1393.08,Unknown,table_p3_ri1_ci1,soil,,,phase14_batch2; matrix=score=7:low; conf=high; flag=,,
同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留,同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留_Sample_2,SumHCH_ngg,3.93,Unknown,table_p3_ri1_ci2,soil,,,phase14_batch2; matrix=score=7:low; conf=high; flag=,,
同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留,同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留_Sample_3,SumHCH_ngg,61.22,Unknown,table_p3_ri1_ci3,soil,,,phase14_batch2; matrix=score=7:low; conf=high; flag=,,
同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留,同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留_Sample_1,SumHCH_ngg,3852.21,Unknown,table_p3_ri3_ci1,soil,,,phase14_batch2; matrix=score=7:low; conf=high; flag=,,
同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留,同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留_Sample_2,SumHCH_ngg,96.89,Unknown,table_p3_ri3_ci2,soil,,,phase14_batch2; matrix=score=7:low; conf=high; flag=,,
同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留,同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留_Sample_3,SumHCH_ngg,24.62,Unknown,table_p3_ri3_ci3,soil,,,phase14_batch2; matrix=score=7:low; conf=high; flag=,,
同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留,同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留_Sample_1,SumHCH_ngg,1246.53,Unknown,table_p3_ri5_ci1,soil,,,phase14_batch2; matrix=score=7:low; conf=high; flag=,,
同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留,同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留_Sample_1,SumDDT_ngg,7100.06,Unknown,table_p3_ri9_ci1,soil,,,phase14_batch2; matrix=score=7:low; conf=high; flag=,,
同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留,同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留_Sample_2,SumDDT_ngg,0.23,Unknown,table_p3_ri9_ci2,soil,,,phase14_batch2; matrix=score=7:low; conf=high; flag=,,
同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留,同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留_Sample_3,SumDDT_ngg,222.31,Unknown,table_p3_ri9_ci3,soil,,,phase14_batch2; matrix=score=7:low; conf=high; flag=,,
同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留,同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留_Sample_1,SumDDT_ngg,18310.48,Unknown,table_p3_ri10_ci1,soil,,,phase14_batch2; matrix=score=7:low; conf=high; flag=,,
同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留,同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留_Sample_2,SumDDT_ngg,1.47,Unknown,table_p3_ri10_ci2,soil,,,phase14_batch2; matrix=score=7:low; conf=high; flag=,,
同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留,同位素稀释高分辨气相色谱-高分辨质谱法测定土壤中痕量有机氯农药残留_Sample_3,SumDDT_ngg,730.9,Unknown,table_p3_ri10_ci3,soil,,,phase14_batch2; matrix=score=7:low; conf=high; flag=,,
