paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
1-s2.0-S004565352103681X,1-s2.0-S004565352103681X_T3.2.A_T5.1.A,T3.2.A T5.1.A,TotalPHC_mgkg,26900454.0,Unknown,,high,table_p3_ri2_ci2,Table 1 Physicochemical properties of the soil in the oil fields of the Yellow River Delta Nature Reserve.
1-s2.0-S004565352103681X,1-s2.0-S004565352103681X_T5.2.A,T5.2.A,TotalPHC_mgkg,912.0,Unknown,,high,table_p3_ri3_ci2,Table 1 Physicochemical properties of the soil in the oil fields of the Yellow River Delta Nature Reserve.
1-s2.0-S004565352103681X,1-s2.0-S004565352103681X_T5.2.A,T5.2.A,pH,9.4,Unknown,,high,table_p3_ri3_ci10,Table 1 Physicochemical properties of the soil in the oil fields of the Yellow River Delta Nature Reserve.
1-s2.0-S004565352103681X,1-s2.0-S004565352103681X_T5.2.A,T5.2.A,EC_mScm,107.5,Unknown,,high,table_p3_ri3_ci11,Table 1 Physicochemical properties of the soil in the oil fields of the Yellow River Delta Nature Reserve.
1-s2.0-S004565352103681X,1-s2.0-S004565352103681X_T5.5.A,T5.5.A,TotalPHC_mgkg,6970.0,Unknown,,high,table_p3_ri4_ci2,Table 1 Physicochemical properties of the soil in the oil fields of the Yellow River Delta Nature Reserve.
1-s2.0-S004565352103681X,1-s2.0-S004565352103681X_T5.5.A,T5.5.A,pH,9.4,Unknown,,high,table_p3_ri4_ci10,Table 1 Physicochemical properties of the soil in the oil fields of the Yellow River Delta Nature Reserve.
1-s2.0-S004565352103681X,1-s2.0-S004565352103681X_T5.5.A,T5.5.A,EC_mScm,167.8,Unknown,,high,table_p3_ri4_ci11,Table 1 Physicochemical properties of the soil in the oil fields of the Yellow River Delta Nature Reserve.
1-s2.0-S004565352103681X,1-s2.0-S004565352103681X_T5.6.A,T5.6.A,TotalPHC_mgkg,1690.0,Unknown,,high,table_p3_ri5_ci2,Table 1 Physicochemical properties of the soil in the oil fields of the Yellow River Delta Nature Reserve.
1-s2.0-S004565352103681X,1-s2.0-S004565352103681X_T5.6.A,T5.6.A,pH,9.1,Unknown,,high,table_p3_ri5_ci10,Table 1 Physicochemical properties of the soil in the oil fields of the Yellow River Delta Nature Reserve.
1-s2.0-S004565352103681X,1-s2.0-S004565352103681X_T5.6.A,T5.6.A,EC_mScm,102.6,Unknown,,high,table_p3_ri5_ci11,Table 1 Physicochemical properties of the soil in the oil fields of the Yellow River Delta Nature Reserve.
