paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
1-s2.0-S2405665022000105,1-s2.0-S2405665022000105_Nigeria,Nigeria,SumPBDE_ngg,196.3,Unknown,,high,table_p4_ri1_ci2,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,1-s2.0-S2405665022000105_S3,S3,SumPBDE_ngg,224.8,Unknown,,high,table_p4_ri3_ci2,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,1-s2.0-S2405665022000105_S6,S6,SumPBDE_ngg,858.6,Unknown,,high,table_p4_ri6_ci2,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,1-s2.0-S2405665022000105_S7,S7,SumPBDE_ngg,52.0,Unknown,,high,table_p4_ri7_ci2,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,1-s2.0-S2405665022000105_S8,S8,SumPBDE_ngg,7.97,Unknown,,high,table_p4_ri8_ci2,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,1-s2.0-S2405665022000105_S10,S10,SumPBDE_ngg,0.94,Unknown,,high,table_p4_ri10_ci2,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,1-s2.0-S2405665022000105_S11,S11,SumPBDE_ngg,113731140.0,Unknown,,high,table_p4_ri11_ci2,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,1-s2.0-S2405665022000105_S12,S12,SumPBDE_ngg,1169.0,Unknown,,high,table_p4_ri12_ci2,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,1-s2.0-S2405665022000105_S14,S14,SumPBDE_ngg,945.2,Unknown,,high,table_p4_ri14_ci2,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,1-s2.0-S2405665022000105_S16,S16,SumPBDE_ngg,1149.8,Unknown,,high,table_p4_ri16_ci2,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,1-s2.0-S2405665022000105_S16,S16,SumPBDE_ngg,2689.1,Unknown,,high,table_p4_ri16_ci4,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,1-s2.0-S2405665022000105_S18,S18,SumPBDE_ngg,42.2,Unknown,,high,table_p4_ri18_ci4,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,1-s2.0-S2405665022000105_Location,Location,SumPBDE_ngg,39.1,Unknown,,high,table_p4_ri19_ci4,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,1-s2.0-S2405665022000105_China,China,SumPBDE_ngg,4.5,Unknown,,high,table_p4_ri22_ci2,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,1-s2.0-S2405665022000105_China,China,SumPBDE_ngg,64.3,Unknown,,high,table_p4_ri22_ci4,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,1-s2.0-S2405665022000105_USA,USA,SumPBDE_ngg,38.05,Unknown,range_mean,high,table_p4_ri23_ci2,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,1-s2.0-S2405665022000105_Sweden,Sweden,SumPBDE_ngg,0.065,Unknown,range_mean,high,table_p4_ri30_ci2,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,1-s2.0-S2405665022000105_S33,S33,SumPBDE_ngg,0.14500000000000002,Unknown,range_mean,high,table_p4_ri33_ci2,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,"1-s2.0-S2405665022000105_Ponds_around_e-waste_dumpsites,_Lagos","Ponds around e-waste dumpsites, Lagos",SumPBDE_ngg,2012.0,Unknown,,high,table_p4_ri35_ci2,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,"1-s2.0-S2405665022000105_Ponds_around_e-waste_dumpsites,_Lagos","Ponds around e-waste dumpsites, Lagos",SumPBDE_ngg,2013.0,Unknown,,high,table_p4_ri36_ci2,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,"1-s2.0-S2405665022000105_Lagos_Lagoon,_Nigeria","Lagos Lagoon, Nigeria",SumPBDE_ngg,2012.0,Unknown,,high,table_p4_ri37_ci2,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,"1-s2.0-S2405665022000105_Lake_Shihwa,_Korea","Lake Shihwa, Korea",SumPBDE_ngg,2008.0,Unknown,,high,table_p4_ri38_ci2,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,"1-s2.0-S2405665022000105_Lake_Shihwa,_Korea","Lake Shihwa, Korea",SumPBDE_ngg,8900.41,Unknown,range_mean,high,table_p4_ri38_ci4,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,1-s2.0-S2405665022000105_Korea_Coasts,Korea Coasts,SumPBDE_ngg,2004.0,Unknown,,high,table_p4_ri39_ci2,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,1-s2.0-S2405665022000105_Korea_Coasts,Korea Coasts,SumPBDE_ngg,246.61,Unknown,range_mean,high,table_p4_ri39_ci4,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,"1-s2.0-S2405665022000105_Busan_Bay,_Korea","Busan Bay, Korea",SumPBDE_ngg,2003.0,Unknown,,high,table_p4_ri40_ci2,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,"1-s2.0-S2405665022000105_Busan_Bay,_Korea","Busan Bay, Korea",SumPBDE_ngg,1133.5,Unknown,range_mean,high,table_p4_ri40_ci4,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,"1-s2.0-S2405665022000105_Ulsan_Bay,","Ulsan Bay,",SumPBDE_ngg,2004.0,Unknown,,high,table_p4_ri41_ci2,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,"1-s2.0-S2405665022000105_Ulsan_Bay,","Ulsan Bay,",SumPBDE_ngg,144.7,Unknown,range_mean,high,table_p4_ri41_ci4,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,"1-s2.0-S2405665022000105_Jinhae_Bay,_Korea","Jinhae Bay, Korea",SumPBDE_ngg,2003.0,Unknown,,high,table_p4_ri43_ci2,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,"1-s2.0-S2405665022000105_Jinhae_Bay,_Korea","Jinhae Bay, Korea",SumPBDE_ngg,73.5,Unknown,range_mean,high,table_p4_ri43_ci4,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,1-s2.0-S2405665022000105_Pearl_River,Pearl River,SumPBDE_ngg,2002.0,Unknown,,high,table_p4_ri44_ci2,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,1-s2.0-S2405665022000105_Pearl_River,Pearl River,SumPBDE_ngg,3670.7,Unknown,range_mean,high,table_p4_ri44_ci4,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,"1-s2.0-S2405665022000105_Yangtze_River_Delta,_China","Yangtze River Delta, China",SumPBDE_ngg,2003.0,Unknown,range_mean,high,table_p4_ri46_ci2,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,"1-s2.0-S2405665022000105_Yangtze_River_Delta,_China","Yangtze River Delta, China",SumPBDE_ngg,55.5,Unknown,range_mean,high,table_p4_ri46_ci4,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,"1-s2.0-S2405665022000105_Beijiang_River,_China","Beijiang River, China",SumPBDE_ngg,2006.0,Unknown,,high,table_p4_ri47_ci2,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,"1-s2.0-S2405665022000105_Beijiang_River,_China","Beijiang River, China",SumPBDE_ngg,779.115,Unknown,range_mean,high,table_p4_ri47_ci4,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,1-s2.0-S2405665022000105_South_China,South China,SumPBDE_ngg,2006.0,Unknown,,high,table_p4_ri48_ci2,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,1-s2.0-S2405665022000105_South_China,South China,SumPBDE_ngg,2865.0,Unknown,range_mean,high,table_p4_ri48_ci4,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,"1-s2.0-S2405665022000105_Bo_Sea,_China","Bo Sea, China",SumPBDE_ngg,2006.0,Unknown,,high,table_p4_ri49_ci2,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,"1-s2.0-S2405665022000105_Bo_Sea,_China","Bo Sea, China",SumPBDE_ngg,1388.15,Unknown,range_mean,high,table_p4_ri49_ci4,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,"1-s2.0-S2405665022000105_Xiamen_area,_China","Xiamen area, China",SumPBDE_ngg,2007.0,Unknown,,high,table_p4_ri50_ci2,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,"1-s2.0-S2405665022000105_Xiamen_area,_China","Xiamen area, China",SumPBDE_ngg,35.099999999999994,Unknown,range_mean,high,table_p4_ri50_ci4,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,"1-s2.0-S2405665022000105_Bohai_Sea,_China","Bohai Sea, China",SumPBDE_ngg,2007.0,Unknown,,high,table_p4_ri51_ci2,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,"1-s2.0-S2405665022000105_Bohai_Sea,_China","Bohai Sea, China",SumPBDE_ngg,8.45,Unknown,range_mean,high,table_p4_ri51_ci4,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,"1-s2.0-S2405665022000105_Liangiang_river,_Guiyu,_China","Liangiang river, Guiyu, China",SumPBDE_ngg,2004.0,Unknown,,high,table_p4_ri52_ci2,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,1-s2.0-S2405665022000105_Hong_Kong,Hong Kong,SumPBDE_ngg,2004.0,Unknown,,high,table_p4_ri54_ci2,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,1-s2.0-S2405665022000105_Taiwan,Taiwan,SumPBDE_ngg,2005.0,Unknown,,high,table_p4_ri55_ci2,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,"1-s2.0-S2405665022000105_Great_Lakes,_USA","Great Lakes, USA",SumPBDE_ngg,2001.5,Unknown,range_mean,high,table_p4_ri56_ci2,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,1-s2.0-S2405665022000105_The_Netherlands,The Netherlands,SumPBDE_ngg,2001.0,Unknown,,high,table_p4_ri58_ci2,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,1-s2.0-S2405665022000105_Spain,Spain,SumPBDE_ngg,2002.0,Unknown,,high,table_p4_ri59_ci2,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,"1-s2.0-S2405665022000105_Lake_Maggiore,_Italy","Lake Maggiore, Italy",SumPBDE_ngg,2005.0,Unknown,,high,table_p4_ri60_ci2,Comparison of PBDEs concentrations (ng g<sup>1</sup>dry wt.)in soil with those of other studies.
1-s2.0-S2405665022000105,1-s2.0-S2405665022000105_BDE_28,BDE 28,SumPBDE_ngg,-0.43638,Unknown,,medium,table_p6_ri8_ci1,The correlation table between BDE-47 and other congeners in the waters samples.
1-s2.0-S2405665022000105,1-s2.0-S2405665022000105_BDE_47,BDE 47,SumPBDE_ngg,0.992056,Unknown,,medium,table_p6_ri8_ci2,The correlation table between BDE-47 and other congeners in the waters samples.
1-s2.0-S2405665022000105,1-s2.0-S2405665022000105_BDE_99,BDE 99,SumPBDE_ngg,0.950794,Unknown,,medium,table_p6_ri8_ci3,The correlation table between BDE-47 and other congeners in the waters samples.
1-s2.0-S2405665022000105,1-s2.0-S2405665022000105_BDE_100,BDE 100,SumPBDE_ngg,0.995705,Unknown,,medium,table_p6_ri8_ci4,The correlation table between BDE-47 and other congeners in the waters samples.
1-s2.0-S2405665022000105,1-s2.0-S2405665022000105_BDE_153,BDE 153,SumPBDE_ngg,-0.99155,Unknown,,medium,table_p6_ri8_ci5,The correlation table between BDE-47 and other congeners in the waters samples.
1-s2.0-S2405665022000105,1-s2.0-S2405665022000105_BDE_154,BDE 154,SumPBDE_ngg,0.823082,Unknown,,medium,table_p6_ri8_ci6,The correlation table between BDE-47 and other congeners in the waters samples.
1-s2.0-S2405665022000105,1-s2.0-S2405665022000105_BDE_183,BDE 183,SumPBDE_ngg,-0.12761,Unknown,,medium,table_p6_ri8_ci7,The correlation table between BDE-47 and other congeners in the waters samples.
